SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	0	0	0	0.94	0	0	0	0	0	0	0.062	0	0	0	5	0.26	0	0.2	0.032
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0.26	0	0.32
2	0	0	0	0	0.63	0	0	0	0.34	0	0	0	0	0.036	0	0	4	0.26	0.23	0.31	0.29
3	0.83	0	0.16	0	0	0.0098	0	0	0	0	0	0	4.2e-05	0	0	0	0	0.082	0	0.31	0
4	0	0	0	0	0	0.86	0	0	0	0	0	0	0.14	0	0	0	5	0.26	0	0.2	0.032
5	0	4.9e-05	0	0	0.26	0.0063	0.00092	0	0.68	0	0	0.045	0.01	0	0	0	8	0.26	0.23	0.26	0.29
6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0.26	0.026	0.26	0.032
7	0	0	0	0	0	0.88	0	0	0	0	0	0	0.12	0	0	0	5	0.26	0	0.2	0.032
8	0	0.67	0	0	0.0081	0	0	0	0.32	0	0	9.4e-05	0	0	0	0	1	0.26	0.23	0.087	0.29
9	0.0086	0	0	0	0	0.96	0	0	0	0	0	0	0.032	0	0	0	5	0.26	0	0.2	0.032
10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0.26	0.026	0.26	0.032
11	0	0	0	0	0	0.56	0	0	0	0	0	0	0.44	0	0	0	5	0.26	0	0.2	0.032
12	0.59	0	0	0	0	0.1	0	0	0	0	0	0	0.31	0	0	0	0	0.082	0	0.31	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.31	0.41	0.26	0.52
14	0	0	0	0	0.59	0	0	0	0.41	0	0	0	0	0	0	0	4	0.26	0.23	0.31	0.29
15	0	0	0	6e-05	0.061	0	0.00015	0.00066	0.26	0	6.2e-05	0	0	0.68	0	0	13	0.31	0.41	0.26	0.52
16	0	0	0	0	0	0	0	0	0.99	3.3e-05	1.1e-05	0	0	0.0074	0	0	8	0.26	0.23	0.26	0.29
17	0	0	0	0	0.12	0	0	0	0.88	0	0	0	0	0	0	0	8	0.26	0.23	0.26	0.29
18	0	0.43	0	0.023	0.047	0	0.0019	1.2e-05	0.5	0	4.8e-06	0.007	0	5.1e-05	0	0	8	0.26	0.23	0.26	0.29
19	0.00058	0.6	0	0	0.4	0	0	0	4.3e-05	0	0	0	0	0	0	0	1	0.26	0.23	0.087	0.29
20	0	0	0	0	3.4e-06	0	0	0	0.00068	0	0	0	0	0.0056	0	0.99	15	0	0.26	0	0.32
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00014	0	1	15	0	0.26	0	0.32
22	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.31	0.41	0.26	0.52
23	0	0	6.6e-06	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0.2	0.026	0	0
24	0	0	0	0	0	0	0	0	4.6e-06	0.69	0	0	0	0.31	0	0	9	0.25	0.43	0.59	0.55
25	0	0.091	0	3.7e-06	0.041	0	2.2e-05	0.0038	0.75	0.00033	0.00018	0.00011	0	0.11	0	0	8	0.26	0.23	0.26	0.29
26	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.26	0	0.029	0
27	4.8e-06	0.73	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	1	0.26	0.23	0.087	0.29
28	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0.26	0	0.2	0.032
29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0	0.31	0
30	7.1e-05	0.77	0	0	0.23	0	0	0	3.7e-05	0	0	0	0	0	0	0	1	0.26	0.23	0.087	0.29
31	0	0	0	0.025	0.05	0	0.77	6.6e-06	0.15	0	0	0	0	0.0051	0	0	6	0.69	0.29	0.47	0.29
32	0	3.6e-05	0	6.8e-05	0.0095	0	0.023	0	0.23	0	5e-05	0.73	0	0	0	0	11	0.63	0.23	0.25	0.29
33	0	0	0	0	0	0	0	0	0	0	0	0	1	3.8e-05	0	0	12	0.26	0.026	0.26	0.032
34	0	0	0	0	0	0	0	0	0.00033	0	0	0	0	0.21	0	0.79	15	0	0.26	0	0.32
35	0	0	0	0	0	0	0	0.5	0.0028	0.00039	0	0	0	0.5	0	0	7	0.63	0.77	0.47	0.71
36	0.0076	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.26	0	0.029	0
37	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0.26	0.026	0.26	0.032
38	0	0	0	0.00078	0.14	0	1.8e-06	0.21	0.53	0	0.12	0	0	0	0	0	8	0.26	0.23	0.26	0.29
39	0	0	0	0	0	0	0	0.0058	0.0012	0.018	3.9e-05	0	0	0.98	0	0	13	0.31	0.41	0.26	0.52
40	0.00069	0.7	0	0	0.11	0	0	0	0.2	0	0	0	0	0	0	0	1	0.26	0.23	0.087	0.29
41	0	0	0	0	0.075	0	0	0	0.92	0	0	0	0	0	0	0	8	0.26	0.23	0.26	0.29
42	0	0	0	2.9e-05	0.092	0	0	0.033	0.27	0	0	0	0	0.61	0	0	13	0.31	0.41	0.26	0.52
43	0	0	0	0	0.0012	0	0	0	0.52	0	0	0	0	0.48	0	0	8	0.26	0.23	0.26	0.29
44	0.67	0	0	0	0	0.073	0	0	0	0	0	0	0.26	0	0	0	0	0.082	0	0.31	0
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0.87	15	0	0.26	0	0.32
46	0	0	0	0	0.48	0	2.6e-05	0	0.48	0	0	0.033	0	0	0	0	8	0.26	0.23	0.26	0.29
47	0	0	0	1e-06	0	0.74	0	0	0	0	0	0	0.26	0	0	0	5	0.26	0	0.2	0.032
48	0	0	0	0.00012	0	0	0	0.0074	0	0	2e-05	0	0	0.99	0	0	13	0.31	0.41	0.26	0.52
49	0	0	0	0	0.00087	0	0	0	0.52	0	0	0	0	0.045	0	0.43	8	0.26	0.23	0.26	0.29
50	0	0	0	0	0.72	0	0	0	0.28	0	0	0	0	0	0	0	4	0.26	0.23	0.31	0.29
51	0.0001	0	0	0	0	0.39	0.21	0	0	0	0	0.29	0.11	0	0	0	5	0.26	0	0.2	0.032
52	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0.26	0.23	0.31	0.29
53	0.0002	0.71	0	0	0.28	0	0	0	0.00019	0	0	0	0	0	0	0	1	0.26	0.23	0.087	0.29
54	0	0	0	0	0.59	0	0	0.24	0.17	0	0.0035	0	0	0	0	0	4	0.26	0.23	0.31	0.29
55	0	0.00016	0	1	0	0	0	5.7e-05	0.00021	0	0	0	0	0	0	0	3	0.69	0.53	0.42	0.43
56	0	0	0	0	0	0.095	0.26	0	0	0	0	0.57	0.071	0	0	0	11	0.63	0.23	0.25	0.29
57	0	0	0	0	0.033	0	0	0.087	0.86	0	0.016	0	0	0	0	0	8	0.26	0.23	0.26	0.29
58	0	0	0	0	0.23	0	0	0.00043	0.77	0	0.00048	0	0	0	0	0	8	0.26	0.23	0.26	0.29
59	0	0	0	0	0.22	0	4.1e-05	0.073	0.71	0	0.00099	0	0	0.00056	0	0	8	0.26	0.23	0.26	0.29
60	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.31	0.41	0.26	0.52
61	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.26	0	0.029	0
62	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.26	0	0.029	0
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0.61	15	0	0.26	0	0.32
64	0	0	0	0	0.012	0	0	0	0.99	0	0	0	0	0	0	0	8	0.26	0.23	0.26	0.29
65	0	0	0	0	0	0.88	0	0	0	0	0	0	0.12	0	0	0	5	0.26	0	0.2	0.032
66	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.59	15	0	0.26	0	0.32
67	0	0	0	0	0.014	0	0	9.5e-05	0.97	0	0	0	0	0.013	0	0	8	0.26	0.23	0.26	0.29
68	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.26	0	0.029	0
69	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0.26	0.026	0.26	0.032
70	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.26	0.23	0.087	0.29
71	0	1	0	0	0	0	0	0	0	0	0	0	0	5.9e-05	0	0	1	0.26	0.23	0.087	0.29
72	0.91	0	0.09	0	0	0.00086	0	0	0	0	0	0	0	0	0	0	0	0.082	0	0.31	0
73	0	0	0	4.5e-05	0.34	0	0	0	0.66	0	1.3e-06	8.4e-05	0	6e-06	0	0	8	0.26	0.23	0.26	0.29
74	0	0	0	0	0.18	0	0	0	0.77	0	0	0	0	0.046	0	0	8	0.26	0.23	0.26	0.29
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0.26	0	0.32
76	0	0	0	0	0.063	0	0	0	0.94	0	2.7e-06	2.8e-06	0	0.0013	0	0	8	0.26	0.23	0.26	0.29
77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0.2	0.026	0	0
78	0	0	0	1.7e-06	0.33	0	0	0	0.67	0	9.5e-05	0.00028	0	1.2e-05	0	0	8	0.26	0.23	0.26	0.29
79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0.26	0	0.32
80	0	0	0	0.0046	0.014	0	0.00053	0.66	0.14	0	0	0	0	0.18	0	0	7	0.63	0.77	0.47	0.71
81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0.26	0	0.32
82	0	0	0.085	0	0	0	0	0	0	0	0	0	0	0	0.91	0	14	0.2	0.026	0	0
83	0	0	0	3.8e-05	0.31	0	1.4e-06	0	0.67	0	2e-06	0	0	0.012	0	0	8	0.26	0.23	0.26	0.29
84	0	0	0	0	0	0.44	0	0	0	0	0	0	0.56	0	0	0	12	0.26	0.026	0.26	0.032
85	0	0	0	0.00057	0.28	0	9e-05	5.2e-05	0.72	0	0.00011	0	0	0.0015	0	0	8	0.26	0.23	0.26	0.29
86	0	0	0	0	0.22	0	0	0	0.73	0	0	0	0	0.05	0	0	8	0.26	0.23	0.26	0.29
87	0	0	0.0034	0	2.5e-05	0	0	0	0.75	0	0	0	0	0	0.25	0	8	0.26	0.23	0.26	0.29
88	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0	0.31	0
89	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.31	0.41	0.26	0.52
90	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0.26	0.026	0.26	0.032
91	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2e-05	0	1	15	0	0.26	0	0.32
92	0	0	0	0	0.17	0	0	0	0.83	0	0	0	0	0	0	0	8	0.26	0.23	0.26	0.29
93	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0.26	0.026	0.26	0.032
94	0	0	0	0	0.0088	0	0	0	0.99	0	0	0	0	0	0	0	8	0.26	0.23	0.26	0.29
