SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2	dcf3
0	0	0	1	2	0.26	0.026	0.26	0.032
1	1	0	0	0	0.26	0.23	0.26	0.29
2	0.89	0.11	0	0	0.26	0.23	0.26	0.29
3	0	0	1	2	0.26	0.026	0.26	0.032
4	0	0	1	2	0.26	0.026	0.26	0.032
5	0.98	0	0.024	0	0.26	0.23	0.26	0.29
6	0	0	1	2	0.26	0.026	0.26	0.032
7	0	0	1	2	0.26	0.026	0.26	0.032
8	1	0	0	0	0.26	0.23	0.26	0.29
9	0	0	1	2	0.26	0.026	0.26	0.032
10	0	0	1	2	0.26	0.026	0.26	0.032
11	0	0	1	2	0.26	0.026	0.26	0.032
12	0	0	1	2	0.26	0.026	0.26	0.032
13	1	0	0	0	0.26	0.23	0.26	0.29
14	1	0	0	0	0.26	0.23	0.26	0.29
15	0.41	0.59	0	1	0.26	0.41	0.26	0.57
16	1	0.0014	0	0	0.26	0.23	0.26	0.29
17	1	0	0	0	0.26	0.23	0.26	0.29
18	1	0	0	0	0.26	0.23	0.26	0.29
19	1	0	0	0	0.26	0.23	0.26	0.29
20	0.0032	1	0	1	0.26	0.41	0.26	0.57
21	0	1	0	1	0.26	0.41	0.26	0.57
22	1	0	0	0	0.26	0.23	0.26	0.29
23	0	0	1	2	0.26	0.026	0.26	0.032
24	3.2e-06	1	0	1	0.26	0.41	0.26	0.57
25	0.93	0.066	0	0	0.26	0.23	0.26	0.29
26	0	0	1	2	0.26	0.026	0.26	0.032
27	1	0	0	0	0.26	0.23	0.26	0.29
28	0	0	1	2	0.26	0.026	0.26	0.032
29	0	0	1	2	0.26	0.026	0.26	0.032
30	1	0	0	0	0.26	0.23	0.26	0.29
31	1	0.00067	0	0	0.26	0.23	0.26	0.29
32	1	0	0	0	0.26	0.23	0.26	0.29
33	0	0	1	2	0.26	0.026	0.26	0.032
34	0.00026	1	0	1	0.26	0.41	0.26	0.57
35	0.024	0.98	0	1	0.26	0.41	0.26	0.57
36	0	0	1	2	0.26	0.026	0.26	0.032
37	0	0	1	2	0.26	0.026	0.26	0.032
38	1	0	0	0	0.26	0.23	0.26	0.29
39	0.0039	1	0	1	0.26	0.41	0.26	0.57
40	1	0	0	0	0.26	0.23	0.26	0.29
41	1	0	0	0	0.26	0.23	0.26	0.29
42	0.83	0.17	0	0	0.26	0.23	0.26	0.29
43	0.8	0.2	0	0	0.26	0.23	0.26	0.29
44	0	0	1	2	0.26	0.026	0.26	0.032
45	0	1	0	1	0.26	0.41	0.26	0.57
46	1	0	0	0	0.26	0.23	0.26	0.29
47	0	0	1	2	0.26	0.026	0.26	0.032
48	0	1	0	1	0.26	0.41	0.26	0.57
49	0.59	0.41	0	0	0.26	0.23	0.26	0.29
50	1	0	0	0	0.26	0.23	0.26	0.29
51	0	0	1	2	0.26	0.026	0.26	0.032
52	0	1	0	1	0.26	0.41	0.26	0.57
53	1	0	0	0	0.26	0.23	0.26	0.29
54	1	0	0	0	0.26	0.23	0.26	0.29
55	1	0	0	0	0.26	0.23	0.26	0.29
56	0	0	1	2	0.26	0.026	0.26	0.032
57	1	0	0	0	0.26	0.23	0.26	0.29
58	1	0	0	0	0.26	0.23	0.26	0.29
59	1	0.00012	0	0	0.26	0.23	0.26	0.29
60	1	0	0	0	0.26	0.23	0.26	0.29
61	0	0	1	2	0.26	0.026	0.26	0.032
62	0	0	1	2	0.26	0.026	0.26	0.032
63	0	1	0	1	0.26	0.41	0.26	0.57
64	1	0	0	0	0.26	0.23	0.26	0.29
65	0	0	1	2	0.26	0.026	0.26	0.032
66	0	1	0	1	0.26	0.41	0.26	0.57
67	1	0.004	0	0	0.26	0.23	0.26	0.29
68	0	0	1	2	0.26	0.026	0.26	0.032
69	0	0	1	2	0.26	0.026	0.26	0.032
70	1	0	0	0	0.26	0.23	0.26	0.29
71	2.6e-05	1	0	1	0.26	0.41	0.26	0.57
72	0	0	1	2	0.26	0.026	0.26	0.032
73	1	0	0	0	0.26	0.23	0.26	0.29
74	0.99	0.0057	0	0	0.26	0.23	0.26	0.29
75	1	0	0	0	0.26	0.23	0.26	0.29
76	1	0.00055	0	0	0.26	0.23	0.26	0.29
77	0	0	1	2	0.26	0.026	0.26	0.032
78	1	0	0	0	0.26	0.23	0.26	0.29
79	0	1	0	1	0.26	0.41	0.26	0.57
80	0.96	0.039	0	0	0.26	0.23	0.26	0.29
81	1	0	0	0	0.26	0.23	0.26	0.29
82	0	0	1	2	0.26	0.026	0.26	0.032
83	1	0.0031	0	0	0.26	0.23	0.26	0.29
84	0	0	1	2	0.26	0.026	0.26	0.032
85	1	0.00018	0	0	0.26	0.23	0.26	0.29
86	0.99	0.0058	0	0	0.26	0.23	0.26	0.29
87	1	0	0	0	0.26	0.23	0.26	0.29
88	0	0	1	2	0.26	0.026	0.26	0.032
89	0	0	1	2	0.26	0.026	0.26	0.032
90	0	0	1	2	0.26	0.026	0.26	0.032
91	0	1	0	1	0.26	0.41	0.26	0.57
92	1	0	0	0	0.26	0.23	0.26	0.29
93	0	0	1	2	0.26	0.026	0.26	0.032
94	1	0	0	0	0.26	0.23	0.26	0.29
95	1	2.8e-05	0	0	0.26	0.23	0.26	0.29
96	0.99	0.0055	0	0	0.26	0.23	0.26	0.29
97	1	0	0	0	0.26	0.23	0.26	0.29
