k	loglikelihood	observations	parameters	BIC
1	-6435.88	4904	8	12939.7
2	-3557.84	4904	12	7217.66
3	-3330.68	4904	16	6797.33
4	-3093.46	4904	20	6356.88
5	-2878.67	4904	24	5961.28
6	-2638.98	4904	28	5515.9
7	-2510.71	4904	32	5293.35
8	-2264.32	4904	36	4834.57
9	-2376.69	4904	40	5093.29
10	-2257.58	4904	44	4889.07
11	-2347.49	4904	48	5102.87
12	-2325.88	4904	52	5093.64
13	-2195.11	4904	56	4866.1
14	-2179.35	4904	60	4868.56
15	-2195.34	4904	64	4934.53
16	-2174.78	4904	68	4927.4
17	-2102.9	4904	72	4817.65
18	-1.79769e+308	4904	76	inf
19	-1.79769e+308	4904	80	inf
20	-6416.85	4904	84	13547.5
