SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0	dcf1	dcf2
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0.53	0
1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0.027	0.26	0
3	0	0	0	0	1	1.8e-05	0	0	0	0	0	0	0	0	0	4	0.21	0	0
4	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0.0071	0	0	0	0.26	0
5	1	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0.26	0
6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0.21	0	0
7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
8	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0	0	0	0.26	0
9	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0024	0	0	0	0.26	0
10	0	0	0	0	0	0	0	0.053	0	0	0.93	0	0.018	0	0	10	0	0	0.11
11	0	0	0	0	0	0	0	0.00093	0.059	0	0.016	0	0.92	0	0	12	0	0	0.18
12	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0011	0	4	0.21	0	0
13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
14	0	0	0	0	0	0	0	0.015	0.037	0	0.27	0	0.68	0	0	12	0	0	0.18
15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0.24	0.082	0.52
16	0	0.99	0.00049	0	0	0	0.0083	0	0	0	0	0	0	0	0	1	0.24	0.26	0.37
17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0.26	0.11
18	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0.022	0	0	0	0.26	0
19	0	0	0	0	0	0	0	0.021	0	0	0.37	0	0.61	0	0	12	0	0	0.18
20	0	0.2	0	0	0	0	0.8	0	0	0	0	0	0	0	0	6	0.24	0.37	0.33
21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0.26	0.11
22	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0.26	0.11
23	0.98	0	0	0	0	0	0	0	0	0	0	0.016	0	0.0069	0	0	0	0.26	0
24	0	1	0	0	0	0	0.0005	0	0	0	0	0	0	0	0	1	0.24	0.26	0.37
25	0	0	0	0	0	0	0	0	0.0046	0	0.18	0	0.82	0	0	12	0	0	0.18
26	0	0	0.0004	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
27	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0.26	0
28	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0.24	0.082	0.52
29	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0.027	0	0.26
30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0.21	0	0
31	0	0.59	0.00044	0	0	0	0.081	0	0	0.33	0	0	0	0	0	1	0.24	0.26	0.37
32	1	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.26	0
33	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0.21	0	0
34	0.12	0	0	0	0	0	0	7.9e-05	0	0	0	0.87	0	0.0061	0	11	0	0.53	0
35	0	0.62	0	3.5e-05	0	0	0.38	0	0	0	0	0	0	0	0	1	0.24	0.26	0.37
36	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0.027	0.26	0
37	0	0.85	0	1.2e-05	0	0	0.15	0	0	0	0	0	0	0	0	1	0.24	0.26	0.37
38	0	0	0	0	1	2.4e-06	0	0	0	0	0	0	0	0	0	4	0.21	0	0
39	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0044	0	0	0	0.26	0
40	0	0	0	0	0	0	0	0	0.00022	0	0.2	0	0.79	0	0	12	0	0	0.18
41	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0.21	0	0
42	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0.0066	0	0	0	0.26	0
43	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0.21	0	0
44	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0.21	0	0
45	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0.21	0	0
46	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
47	0.99	0	0	0	0	0	0	0	0	0	0	0.00034	0	0.011	0	0	0	0.26	0
48	0	0	0.0057	0	0	0	0	0	0	0.99	0	0	0	0	0	9	0.47	0.082	0.67
49	0	0.058	0	0	0	0	0	0	0	0	0.94	0	2e-05	0	0	10	0	0	0.11
50	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0.26	0.11
51	0	0	2.6e-05	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
52	0	0	0	0	1	1.3e-05	0	0	0	0	0	0	0	0	0	4	0.21	0	0
53	0	1.6e-05	0	0	0	0	0	0	0	0	0.98	0	0.019	0	0	10	0	0	0.11
54	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0.027	0.26	0
55	0.06	0	0	0	0	0	0.94	0	0	0	0	0	0	0.00046	0	6	0.24	0.37	0.33
56	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0.26	0.11
57	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0.24	0.37	0.33
58	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0.21	0	0
59	0.005	0	0	0	0	0	0	0	0	0	0	0.99	0	0.00019	0	11	0	0.53	0
60	0.98	0	0	0	0	0	3.7e-05	0	0	0	0	5.8e-06	0	0.019	0	0	0	0.26	0
61	0.99	0	0	0	0	0	0.00019	0	0	0	0	0	0	0.014	0	0	0	0.26	0
62	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0.027	0.26	0
63	2.1e-06	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0.24	0.37	0.33
64	0	0	0	0	0	0	0	0	0.15	0	0.001	0	0.85	0	4.6e-06	12	0	0	0.18
65	0.97	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0.26	0
66	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0.53	0
67	0	0.33	0	0	0	0	0.67	0	0	0	0	0	0	0	0	6	0.24	0.37	0.33
68	0	0	0	0	0	0	0	0	0.0082	0	0.4	0	0.59	0	0	12	0	0	0.18
69	0	0	0	0	0	0	0	0	0.0038	0	0.66	0	0.34	0	0	10	0	0	0.11
70	0	0	7.7e-05	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
71	0	0	7.5e-06	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
72	0	0	0	0	1	2.3e-06	0	0	0	0	0	0	0	0	0	4	0.21	0	0
73	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0	0	0	0.26	0
74	0	0	0	0	0	0	0	0	0.00036	0	0.77	0	0.23	0	0	10	0	0	0.11
75	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0.24	0.37	0.33
76	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
77	0	0.6	0	0	0	0	0	0	0	0	0.4	0	0.00014	0	0	1	0.24	0.26	0.37
78	0	0	0	0	1	8.6e-06	0	0	0	0	0	0	0	0	0	4	0.21	0	0
79	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0.53	0
80	0	0.19	0	0	0	0	0.81	0	0	0	0	0	0	0	0	6	0.24	0.37	0.33
81	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0.24	0.37	0.33
82	0.98	0	0	0	0	0	0.00023	2.3e-06	0	0	0	2.9e-05	0	0.023	0	0	0	0.26	0
83	0	0	0	0	1	0.00038	0	0	0	0	0	0	0	0	0	4	0.21	0	0
84	0	0	9.9e-06	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
85	0	0	0	0	0	0	0	0	0.0071	0	0.68	0	0.32	0	0	10	0	0	0.11
86	0	0	0	0	0	0	0	0	0.0029	0	0.0011	0	1	0	0	12	0	0	0.18
87	0	0.16	0	0	0	0	0.84	0	0	0	0	0	0	0	0	6	0.24	0.37	0.33
88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0.52
89	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0.26	0.11
90	0	0.24	0	0	0	0	0.76	0	0	0	0	0	0	0	0	6	0.24	0.37	0.33
91	0	0	0	0	0	0	0	0	0	0	1	0	0.0022	0	0	10	0	0	0.11
92	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0.24	0.082	0.52
93	0	0	0	0	0	0	0	0	0.00015	0	0.82	0	0.18	0	0	10	0	0	0.11
94	0	0	0	0	0	0	0	0	7.4e-05	0	0.63	0	0.37	0	0	10	0	0	0.11
95	0	0.99	0	0	0	0	0.013	0	0	0	0	0	0	0	0	1	0.24	0.26	0.37
96	0	0	0	0	0	0	0	0	0.0011	0	0.031	0	0.97	0	0	12	0	0	0.18
97	0	1.2e-06	2.4e-05	0	0	1e-06	0	0	0.54	0	0.0086	0	0.35	0	0.096	8	0.027	0	0.26
98	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0.24	0.37	0.33
99	0	0.43	0	0	0	0	0.57	0	0	0	0	0	0	0	0	6	0.24	0.37	0.33
100	0	0.6	0	1.4e-05	0	0	0.4	0	0	0	0	0	0	0	0	1	0.24	0.26	0.37
101	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
102	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0.21	0	0
103	0.0019	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0.53	0
104	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00074	0	0	0	0.26	0
105	0.97	0	0	0	0	0	0	1.6e-05	0	0	0	0.00093	0	0.026	0	0	0	0.26	0
106	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
107	0	0.55	0	0	0	0	0.45	0	0	0	0	0	0	0	0	1	0.24	0.26	0.37
108	0	0	0	0	0	0	0	0	0.0085	0	0.67	0	0.32	0	0	10	0	0	0.11
109	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00042	0	0	0	0.26	0
110	0	0	0	0	0	0	0	0.036	0	0	0.63	0	0.34	0	0	10	0	0	0.11
111	0	0	0	0	0	5.1e-06	0	0	0.0019	0	0.024	0	0.97	0	0	12	0	0	0.18
112	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0.24	0.082	0.52
113	0	0	0.023	0	0	0	0	0	0	0.98	0	0	0	0	0	9	0.47	0.082	0.67
114	0	0.00052	0	0	0	0.00054	0	0	0.0041	0	0.55	0	0.44	0	0	10	0	0	0.11
115	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00032	0	0	0	0.26	0
116	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0.26	0
117	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0.0075	0	0	0	0.26	0
118	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0.0061	0	0	0	0.26	0
119	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0.0067	0	0	0	0.26	0
120	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
121	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
122	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0016	0	0	0	0.26	0
123	0	0	0	0	0	0	0	0	0	0	0.99	0	0.0056	0	0	10	0	0	0.11
124	0	0.9	0	6.5e-06	0	0	0.098	0	0	0	0	0	0	0	0	1	0.24	0.26	0.37
125	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
126	0	0.078	0	0	0	0	0.92	0	0	0	0	0	0	0	0	6	0.24	0.37	0.33
127	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0.027	0	0.26
128	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0.027	0.26	0
129	0	0	0	0	0	0	0	0	0	0	0.88	0	0.12	0	0	10	0	0	0.11
130	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0.027	0.26	0
131	0	0	0	0	0.99	0.013	0	0	0	0	0	0	0	0	0	4	0.21	0	0
132	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0.0078	0	0	0	0.26	0
133	0	0	0	0	0	0	0	0	0	0	1	0	0.0016	0	0	10	0	0	0.11
134	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
135	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0.027	0	0.26
136	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0.24	0.082	0.52
137	0	3.2e-06	0.0034	0	0	0	0	0	0.00026	0.00016	0	0	2e-06	0	1	14	0	0	0.52
138	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0.3	0	0.15
139	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0.027	0.26	0
140	0.98	0	0	0	0	0	0	0	0	0	0	1.6e-06	0	0.015	0	0	0	0.26	0
141	0.97	0	0	0	0	0	0	0	0	0	0	1.7e-06	0	0.031	0	0	0	0.26	0
142	0	1	0	2.9e-06	0	0	0.0037	0	0	0	0	0	0	0	0	1	0.24	0.26	0.37
143	0	0	0	0	0	0	0	0	0.31	0	0	0	0.69	0	0	12	0	0	0.18
144	0	0	0	0	0	0	0	0	3.2e-06	0	0.96	0	0.04	0	0	10	0	0	0.11
145	0	0	0	0	0	0	0	0	0	0	1	0	0.0012	0	0	10	0	0	0.11
146	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0037	0	0	0	0.26	0
147	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0.47	0.082	0.67
148	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0.26	0.11
149	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0.0054	0	0	0	0.26	0
150	0	0.72	0	0	0	0	0.28	0	0	0	0	0	0	0	0	1	0.24	0.26	0.37
151	0.00031	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0.53	0
152	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00045	0	0	0	0.26	0
153	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0.53	0
154	0	0	0	0	0	0	0	0	0.23	0	0.036	0	0.73	0	0.0012	12	0	0	0.18
155	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0.0092	0	0	0	0.26	0
156	0	0	0.33	0	0	0	0	0	0	0.67	0	0	0	0	0	9	0.47	0.082	0.67
157	0.94	0	0	0	0	0	0	4.2e-05	0	0	0	0.00056	0	0.055	0	0	0	0.26	0
158	0	0	0	0	0	0	0	0	0	0	1	0	0.00098	0	0	10	0	0	0.11
159	0	0.85	0	0	0	0	0.15	0	0	0	0	0	0	0	0	1	0.24	0.26	0.37
160	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0.24	0.082	0.52
161	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0.027	0.26	0
162	0	0	0	0	0	0	0	0	0.22	0	0.02	0	0.76	0	0.00035	12	0	0	0.18
163	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0.21	0	0
164	0	0.58	0	0	0	0	0.42	0	0	0	0	0	0	0	0	1	0.24	0.26	0.37
165	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0.027	0	0.26
166	0	0	0	0	0	0	0	0	0	0	1	0	0.00075	0	0	10	0	0	0.11
167	9.9e-05	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0.24	0.37	0.33
168	0.62	0	0	0	0	0	0	0	0	0	0	0.38	0	0.0028	0	0	0	0.26	0
169	0.94	0	0	0	0	0	0	0.00022	0	0	0	0.00038	0	0.063	0	0	0	0.26	0
170	0	0	0	0	0	0	0	0	0.035	0	0	0	0.0011	0	0.96	14	0	0	0.52
