SNV	cluster0	cluster1	cluster2	cluster	dcf0	dcf1	dcf2
0	1	0	0	0	0.027	0.26	0
1	0	1	0	1	0.3	0.26	0.41
2	1	0	0	0	0.027	0.26	0
3	0	1	0	1	0.3	0.26	0.41
4	1	0	0	0	0.027	0.26	0
5	1	0	0	0	0.027	0.26	0
6	8.8e-05	0	1	2	0.053	0	0.15
7	0	1	0	1	0.3	0.26	0.41
8	1	0	0	0	0.027	0.26	0
9	1	0	0	0	0.027	0.26	0
10	0	0	1	2	0.053	0	0.15
11	0	0	1	2	0.053	0	0.15
12	1	0	0.0016	0	0.027	0.26	0
13	0	1	0	1	0.3	0.26	0.41
14	0	0	1	2	0.053	0	0.15
15	0	1	0	1	0.3	0.26	0.41
16	0	1	0	1	0.3	0.26	0.41
17	0	1	0	1	0.3	0.26	0.41
18	1	0	0	0	0.027	0.26	0
19	0	0	1	2	0.053	0	0.15
20	0	1	0	1	0.3	0.26	0.41
21	0	1	0	1	0.3	0.26	0.41
22	0	1	0	1	0.3	0.26	0.41
23	1	0	0	0	0.027	0.26	0
24	0	1	0	1	0.3	0.26	0.41
25	0	0	1	2	0.053	0	0.15
26	0	1	0	1	0.3	0.26	0.41
27	1	0	0	0	0.027	0.26	0
28	0	1	0	1	0.3	0.26	0.41
29	0	0	1	2	0.053	0	0.15
30	0	0	1	2	0.053	0	0.15
31	0	1	0	1	0.3	0.26	0.41
32	1	0	0	0	0.027	0.26	0
33	1.1e-06	0	1	2	0.053	0	0.15
34	1	0	0	0	0.027	0.26	0
35	0	1	0	1	0.3	0.26	0.41
36	1	0	0	0	0.027	0.26	0
37	0	1	0	1	0.3	0.26	0.41
38	0.00025	0	1	2	0.053	0	0.15
39	1	0	0	0	0.027	0.26	0
40	0	0	1	2	0.053	0	0.15
41	0	0	1	2	0.053	0	0.15
42	1	0	0	0	0.027	0.26	0
43	0	0	1	2	0.053	0	0.15
44	0	0	1	2	0.053	0	0.15
45	9.9e-05	0	1	2	0.053	0	0.15
46	0	1	0	1	0.3	0.26	0.41
47	1	0	0	0	0.027	0.26	0
48	0	1	0	1	0.3	0.26	0.41
49	0	0.99	0.0078	1	0.3	0.26	0.41
50	0	1	0	1	0.3	0.26	0.41
51	0	1	0	1	0.3	0.26	0.41
52	0	1	0.0023	1	0.3	0.26	0.41
53	0	0.13	0.87	2	0.053	0	0.15
54	1	0	0	0	0.027	0.26	0
55	1	0	0	0	0.027	0.26	0
56	0	1	0	1	0.3	0.26	0.41
57	1	0	0	0	0.027	0.26	0
58	0	1	0	1	0.3	0.26	0.41
59	1	0	0	0	0.027	0.26	0
60	1	0	0	0	0.027	0.26	0
61	1	0	0	0	0.027	0.26	0
62	1	0	0	0	0.027	0.26	0
63	1	0	0	0	0.027	0.26	0
64	0	0	1	2	0.053	0	0.15
65	1	0	0	0	0.027	0.26	0
66	1	0	0	0	0.027	0.26	0
67	0	1	0	1	0.3	0.26	0.41
68	0	0	1	2	0.053	0	0.15
69	0	0	1	2	0.053	0	0.15
70	0	1	0	1	0.3	0.26	0.41
71	0	1	0	1	0.3	0.26	0.41
72	0.001	0	1	2	0.053	0	0.15
73	1	0	0	0	0.027	0.26	0
74	0	0	1	2	0.053	0	0.15
75	1	0	0	0	0.027	0.26	0
76	0	1	0	1	0.3	0.26	0.41
77	0	0.99	0.014	1	0.3	0.26	0.41
78	0.19	0	0.81	2	0.053	0	0.15
79	1	0	0	0	0.027	0.26	0
80	0	1	0	1	0.3	0.26	0.41
81	1	0	0	0	0.027	0.26	0
82	1	0	0	0	0.027	0.26	0
83	6.4e-06	8.6e-06	1	2	0.053	0	0.15
84	0	1	0	1	0.3	0.26	0.41
85	0	0	1	2	0.053	0	0.15
86	0	0	1	2	0.053	0	0.15
87	0	1	0	1	0.3	0.26	0.41
88	0	0	1	2	0.053	0	0.15
89	0	1	0	1	0.3	0.26	0.41
90	0	1	0	1	0.3	0.26	0.41
91	0	0	1	2	0.053	0	0.15
92	0	1	0	1	0.3	0.26	0.41
93	0	0	1	2	0.053	0	0.15
94	0	0	1	2	0.053	0	0.15
95	0	1	0	1	0.3	0.26	0.41
96	0	0	1	2	0.053	0	0.15
97	0	1.2e-05	1	2	0.053	0	0.15
98	0	1	0	1	0.3	0.26	0.41
99	0	1	0	1	0.3	0.26	0.41
100	0	1	0	1	0.3	0.26	0.41
101	0	1	0	1	0.3	0.26	0.41
102	0	0.036	0.96	2	0.053	0	0.15
103	1	0	0	0	0.027	0.26	0
104	1	0	0	0	0.027	0.26	0
105	1	0	0	0	0.027	0.26	0
106	0	1	0	1	0.3	0.26	0.41
107	0	1	0	1	0.3	0.26	0.41
108	0	0	1	2	0.053	0	0.15
109	1	0	0	0	0.027	0.26	0
110	0	0	1	2	0.053	0	0.15
111	0	8.2e-05	1	2	0.053	0	0.15
112	0	1	0	1	0.3	0.26	0.41
113	0	1	0	1	0.3	0.26	0.41
114	0	0.12	0.88	2	0.053	0	0.15
115	1	0	0	0	0.027	0.26	0
116	1	0	0	0	0.027	0.26	0
117	1	0	0	0	0.027	0.26	0
118	1	0	0	0	0.027	0.26	0
119	1	0	0	0	0.027	0.26	0
120	0	1	0	1	0.3	0.26	0.41
121	0	1	0	1	0.3	0.26	0.41
122	1	0	0	0	0.027	0.26	0
123	0	0	1	2	0.053	0	0.15
124	0	1	0	1	0.3	0.26	0.41
125	0	1	0	1	0.3	0.26	0.41
126	0	1	0	1	0.3	0.26	0.41
127	0	0	1	2	0.053	0	0.15
128	1	0	0	0	0.027	0.26	0
129	0	0	1	2	0.053	0	0.15
130	1	0	0	0	0.027	0.26	0
131	0	1	5.7e-06	1	0.3	0.26	0.41
132	1	0	0	0	0.027	0.26	0
133	0	0	1	2	0.053	0	0.15
134	0	1	0	1	0.3	0.26	0.41
135	0	0	1	2	0.053	0	0.15
136	0	1	0	1	0.3	0.26	0.41
137	0	1	0.0029	1	0.3	0.26	0.41
138	0	0	1	2	0.053	0	0.15
139	1	0	0	0	0.027	0.26	0
140	1	0	0	0	0.027	0.26	0
141	1	0	0	0	0.027	0.26	0
142	0	1	0	1	0.3	0.26	0.41
143	0	0	1	2	0.053	0	0.15
144	0	0	1	2	0.053	0	0.15
145	0	0	1	2	0.053	0	0.15
146	1	0	0	0	0.027	0.26	0
147	0	1	0	1	0.3	0.26	0.41
148	0	1	0	1	0.3	0.26	0.41
149	1	0	0	0	0.027	0.26	0
150	0	1	0	1	0.3	0.26	0.41
151	1	0	0	0	0.027	0.26	0
152	1	0	0	0	0.027	0.26	0
153	1	0	0	0	0.027	0.26	0
154	0	0	1	2	0.053	0	0.15
155	1	0	0	0	0.027	0.26	0
156	0	1	0	1	0.3	0.26	0.41
157	1	0	0	0	0.027	0.26	0
158	0	0	1	2	0.053	0	0.15
159	0	1	0	1	0.3	0.26	0.41
160	0	1	0	1	0.3	0.26	0.41
161	1	0	0	0	0.027	0.26	0
162	0	0	1	2	0.053	0	0.15
163	0	0	1	2	0.053	0	0.15
164	0	1	0	1	0.3	0.26	0.41
165	0	0.32	0.68	2	0.053	0	0.15
166	0	0	1	2	0.053	0	0.15
167	1	0	0	0	0.027	0.26	0
168	1	0	0	0	0.027	0.26	0
169	1	0	0	0	0.027	0.26	0
170	0	0	1	2	0.053	0	0.15
171	1	0	0	0	0.027	0.26	0
172	1	0	0	0	0.027	0.26	0
173	0	1	0	1	0.3	0.26	0.41
174	1	0	0	0	0.027	0.26	0
175	1	0	0	0	0.027	0.26	0
176	1	0	0	0	0.027	0.26	0
177	0	1	0	1	0.3	0.26	0.41
178	0	1	0	1	0.3	0.26	0.41
179	0	0	1	2	0.053	0	0.15
180	1	0	0	0	0.027	0.26	0
