SNV	cluster0	cluster	dcf0	dcf1	dcf2
0	1	0	0.24	0.26	0.33
1	1	0	0.24	0.26	0.33
2	1	0	0.24	0.26	0.33
3	1	0	0.24	0.26	0.33
4	1	0	0.24	0.26	0.33
5	1	0	0.24	0.26	0.33
6	1	0	0.24	0.26	0.33
7	1	0	0.24	0.26	0.33
8	1	0	0.24	0.26	0.33
9	1	0	0.24	0.26	0.33
10	1	0	0.24	0.26	0.33
11	1	0	0.24	0.26	0.33
12	1	0	0.24	0.26	0.33
13	1	0	0.24	0.26	0.33
14	1	0	0.24	0.26	0.33
15	1	0	0.24	0.26	0.33
16	1	0	0.24	0.26	0.33
17	1	0	0.24	0.26	0.33
18	1	0	0.24	0.26	0.33
19	1	0	0.24	0.26	0.33
20	1	0	0.24	0.26	0.33
21	1	0	0.24	0.26	0.33
22	1	0	0.24	0.26	0.33
23	1	0	0.24	0.26	0.33
24	1	0	0.24	0.26	0.33
25	1	0	0.24	0.26	0.33
26	1	0	0.24	0.26	0.33
27	1	0	0.24	0.26	0.33
28	1	0	0.24	0.26	0.33
29	1	0	0.24	0.26	0.33
30	1	0	0.24	0.26	0.33
31	1	0	0.24	0.26	0.33
32	1	0	0.24	0.26	0.33
33	1	0	0.24	0.26	0.33
34	1	0	0.24	0.26	0.33
35	1	0	0.24	0.26	0.33
36	1	0	0.24	0.26	0.33
37	1	0	0.24	0.26	0.33
38	1	0	0.24	0.26	0.33
39	1	0	0.24	0.26	0.33
40	1	0	0.24	0.26	0.33
41	1	0	0.24	0.26	0.33
42	1	0	0.24	0.26	0.33
43	1	0	0.24	0.26	0.33
44	1	0	0.24	0.26	0.33
45	1	0	0.24	0.26	0.33
46	1	0	0.24	0.26	0.33
47	1	0	0.24	0.26	0.33
48	1	0	0.24	0.26	0.33
49	1	0	0.24	0.26	0.33
50	1	0	0.24	0.26	0.33
51	1	0	0.24	0.26	0.33
52	1	0	0.24	0.26	0.33
53	1	0	0.24	0.26	0.33
54	1	0	0.24	0.26	0.33
55	1	0	0.24	0.26	0.33
56	1	0	0.24	0.26	0.33
57	1	0	0.24	0.26	0.33
58	1	0	0.24	0.26	0.33
59	1	0	0.24	0.26	0.33
60	1	0	0.24	0.26	0.33
61	1	0	0.24	0.26	0.33
62	1	0	0.24	0.26	0.33
63	1	0	0.24	0.26	0.33
64	1	0	0.24	0.26	0.33
65	1	0	0.24	0.26	0.33
66	1	0	0.24	0.26	0.33
67	1	0	0.24	0.26	0.33
68	1	0	0.24	0.26	0.33
69	1	0	0.24	0.26	0.33
70	1	0	0.24	0.26	0.33
71	1	0	0.24	0.26	0.33
72	1	0	0.24	0.26	0.33
73	1	0	0.24	0.26	0.33
74	1	0	0.24	0.26	0.33
75	1	0	0.24	0.26	0.33
76	1	0	0.24	0.26	0.33
77	1	0	0.24	0.26	0.33
78	1	0	0.24	0.26	0.33
79	1	0	0.24	0.26	0.33
80	1	0	0.24	0.26	0.33
81	1	0	0.24	0.26	0.33
82	1	0	0.24	0.26	0.33
83	1	0	0.24	0.26	0.33
84	1	0	0.24	0.26	0.33
85	1	0	0.24	0.26	0.33
86	1	0	0.24	0.26	0.33
87	1	0	0.24	0.26	0.33
88	1	0	0.24	0.26	0.33
89	1	0	0.24	0.26	0.33
90	1	0	0.24	0.26	0.33
91	1	0	0.24	0.26	0.33
92	1	0	0.24	0.26	0.33
93	1	0	0.24	0.26	0.33
94	1	0	0.24	0.26	0.33
95	1	0	0.24	0.26	0.33
96	1	0	0.24	0.26	0.33
97	1	0	0.24	0.26	0.33
98	1	0	0.24	0.26	0.33
99	1	0	0.24	0.26	0.33
100	1	0	0.24	0.26	0.33
101	1	0	0.24	0.26	0.33
102	1	0	0.24	0.26	0.33
103	1	0	0.24	0.26	0.33
104	1	0	0.24	0.26	0.33
105	1	0	0.24	0.26	0.33
106	1	0	0.24	0.26	0.33
107	1	0	0.24	0.26	0.33
108	1	0	0.24	0.26	0.33
109	1	0	0.24	0.26	0.33
110	1	0	0.24	0.26	0.33
111	1	0	0.24	0.26	0.33
112	1	0	0.24	0.26	0.33
113	1	0	0.24	0.26	0.33
114	1	0	0.24	0.26	0.33
115	1	0	0.24	0.26	0.33
116	1	0	0.24	0.26	0.33
117	1	0	0.24	0.26	0.33
118	1	0	0.24	0.26	0.33
119	1	0	0.24	0.26	0.33
120	1	0	0.24	0.26	0.33
121	1	0	0.24	0.26	0.33
122	1	0	0.24	0.26	0.33
123	1	0	0.24	0.26	0.33
124	1	0	0.24	0.26	0.33
125	1	0	0.24	0.26	0.33
126	1	0	0.24	0.26	0.33
127	1	0	0.24	0.26	0.33
128	1	0	0.24	0.26	0.33
129	1	0	0.24	0.26	0.33
130	1	0	0.24	0.26	0.33
131	1	0	0.24	0.26	0.33
132	1	0	0.24	0.26	0.33
133	1	0	0.24	0.26	0.33
134	1	0	0.24	0.26	0.33
135	1	0	0.24	0.26	0.33
136	1	0	0.24	0.26	0.33
137	1	0	0.24	0.26	0.33
138	1	0	0.24	0.26	0.33
139	1	0	0.24	0.26	0.33
140	1	0	0.24	0.26	0.33
141	1	0	0.24	0.26	0.33
142	1	0	0.24	0.26	0.33
143	1	0	0.24	0.26	0.33
144	1	0	0.24	0.26	0.33
145	1	0	0.24	0.26	0.33
146	1	0	0.24	0.26	0.33
147	1	0	0.24	0.26	0.33
148	1	0	0.24	0.26	0.33
149	1	0	0.24	0.26	0.33
150	1	0	0.24	0.26	0.33
151	1	0	0.24	0.26	0.33
152	1	0	0.24	0.26	0.33
153	1	0	0.24	0.26	0.33
154	1	0	0.24	0.26	0.33
155	1	0	0.24	0.26	0.33
156	1	0	0.24	0.26	0.33
157	1	0	0.24	0.26	0.33
158	1	0	0.24	0.26	0.33
159	1	0	0.24	0.26	0.33
160	1	0	0.24	0.26	0.33
161	1	0	0.24	0.26	0.33
162	1	0	0.24	0.26	0.33
163	1	0	0.24	0.26	0.33
164	1	0	0.24	0.26	0.33
165	1	0	0.24	0.26	0.33
166	1	0	0.24	0.26	0.33
167	1	0	0.24	0.26	0.33
168	1	0	0.24	0.26	0.33
169	1	0	0.24	0.26	0.33
170	1	0	0.24	0.26	0.33
171	1	0	0.24	0.26	0.33
172	1	0	0.24	0.26	0.33
173	1	0	0.24	0.26	0.33
174	1	0	0.24	0.26	0.33
175	1	0	0.24	0.26	0.33
176	1	0	0.24	0.26	0.33
177	1	0	0.24	0.26	0.33
178	1	0	0.24	0.26	0.33
179	1	0	0.24	0.26	0.33
180	1	0	0.24	0.26	0.33
181	1	0	0.24	0.26	0.33
182	1	0	0.24	0.26	0.33
183	1	0	0.24	0.26	0.33
184	1	0	0.24	0.26	0.33
185	1	0	0.24	0.26	0.33
186	1	0	0.24	0.26	0.33
187	1	0	0.24	0.26	0.33
188	1	0	0.24	0.26	0.33
189	1	0	0.24	0.26	0.33
190	1	0	0.24	0.26	0.33
191	1	0	0.24	0.26	0.33
192	1	0	0.24	0.26	0.33
193	1	0	0.24	0.26	0.33
194	1	0	0.24	0.26	0.33
195	1	0	0.24	0.26	0.33
196	1	0	0.24	0.26	0.33
197	1	0	0.24	0.26	0.33
198	1	0	0.24	0.26	0.33
199	1	0	0.24	0.26	0.33
200	1	0	0.24	0.26	0.33
201	1	0	0.24	0.26	0.33
202	1	0	0.24	0.26	0.33
203	1	0	0.24	0.26	0.33
204	1	0	0.24	0.26	0.33
205	1	0	0.24	0.26	0.33
206	1	0	0.24	0.26	0.33
207	1	0	0.24	0.26	0.33
208	1	0	0.24	0.26	0.33
209	1	0	0.24	0.26	0.33
