k	loglikelihood	observations	parameters	BIC
1	-22049.7	7989	6	44153.2
2	-11938.3	7989	9	23957.4
3	-9995.74	7989	12	20099.3
4	-7789.88	7989	15	15714.5
5	-7663.53	7989	18	15488.8
6	-6640.49	7989	21	13469.7
7	-5849.34	7989	24	11914.3
8	-5844.8	7989	27	11932.2
9	-5615.88	7989	30	11501.3
10	-5653.13	7989	33	11602.8
11	-5109.44	7989	36	10542.4
12	-4853.34	7989	39	10057.1
13	-4502.72	7989	42	9382.84
14	-4315.15	7989	45	9034.67
15	-4692.04	7989	48	9815.4
16	-4562.37	7989	51	9583.02
17	-4247.34	7989	54	8979.92
18	-4209.12	7989	57	8930.44
19	-4821.17	7989	60	10181.5
20	-4237.48	7989	63	9041.06
