SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2
0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	8	0	0.47	0
1	0	0	0	0	0	1	0	0.00037	0	0	0	0	0	0	0	0	0	0	0	0	5	0.47	0.082	0.67
2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0.027	0.26	0
3	0	0	0	0	1	0	0	0	0	0	0	0	0	0.00055	0	0	0	0	0	0	4	0.51	0	0
4	0.00019	0	0	0	0	0	0	0	1.3e-05	0	0.011	0	0	0	0	0	0.99	0	0	1.3e-05	16	0	0.26	0
5	0.00013	0	0	0	0	0	0	0	2.6e-05	0	0.0061	0	0	0	0	0	0.99	0	0	2.6e-05	16	0	0.26	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0.93	5.6e-06	0	0	0	6.9e-06	0.067	0	12	0.11	0	0
7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0.47	0.082	0.67
8	0.0034	0	0	0.014	0	0	0	0	3e-05	0	0.032	0	0	0	0	0	0.95	0	0	3e-05	16	0	0.26	0
9	4.3e-05	0	0	0	0	0	0	0	2.1e-05	0	0.0037	0	0	0	0	0	1	0	0	2.1e-05	16	0	0.26	0
10	2.2e-06	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.15
11	0	0	0.99	0	0	0	0.0055	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.15
12	0	0	0	0	0	0	0	0	0	0	0.00072	0	0.79	0.00085	0	0	0	0.00035	0.21	0	12	0.11	0	0
13	0	0	0	0	0	0.096	0	0.85	0	0	0	0	0	0	0	0.051	0	0	0	0	7	0.7	0.082	0.67
14	0	0	1	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.15
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.24	0.029	0.33
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.24	0.029	0.33
17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.037
18	0.00012	0	0	0.87	0	0	0	0	0	0	0.0043	0	0	0	0	0	0.12	0	0	0	3	0	0.087	0
19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.15
20	0	0.00029	0	0	0	0	0	0	0	0.0092	0	0.99	0	0	0	0	0	0	0	0	11	0.24	0.26	0.33
21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.037
22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26	0.037
23	0.00018	0	0	0	0	0	0	0	0.12	0	0.0081	0	0	0	0	0	0.74	0	0	0.12	16	0	0.26	0
24	0	0.15	0	0	0	0	0	0	0	0.0011	0	0.85	0	0	0	0	0	0	0	0	11	0.24	0.26	0.33
25	0	0	1	0	0	0	6.9e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.15
26	0	0	0	0	0	0.00017	0	0	0	0	0	0	0	0	0	1	0	0	0	0	15	0.24	0.029	0.33
27	0.00077	0	0	0.00081	0	0	0	0	1.7e-05	0	0.015	0.28	0	0	0	0	0.7	0	0	1.7e-05	16	0	0.26	0
28	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0.029	0.33
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	0.24	0	0.073
30	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0.87	0	18	0.16	0	0
31	0	0.0004	0	0	0	0.1	0	0.00022	0	0.036	0	0.86	0	0	0	0.00016	0	0	0	0	11	0.24	0.26	0.33
32	2.8e-06	0	0	0	0	0	0	0	0	0	0.0011	0.28	0	0	0	0	0.72	0	0	0	16	0	0.26	0
33	0	0	0	0	0	0	0	0	0	0	0	0	0.89	7.8e-06	0	0	0	7.1e-06	0.11	0	12	0.11	0	0
34	0.00068	0	0	0	0	0	0	0	0.45	0	0.0048	0.025	0	0	0	0	0.063	0	0	0.45	8	0	0.47	0
35	0	0.17	0	0	0	0	0	0	0	0.66	0	0.17	0	0	0	0	0	0	0	0	9	0.24	0.31	0.41
36	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0.027	0.26	0
37	0	0.8	0	0	0	0	0	0	0	0.084	0	0.12	0	0	0	0	0	0	0	0	1	0.36	0.42	0.67
38	0	0	0	0	1.9e-06	0	0	0	0	0	0	0	0.81	0.00099	0	0	0	0.002	0.19	0	12	0.11	0	0
39	6.4e-05	0	0	7.2e-05	0	0	0	0	0	0	0.0048	0.28	0	0	0	0	0.71	0	0	0	16	0	0.26	0
40	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.15
41	0	0	0	0	0.01	0	0	0	0	0	0	0	0.0071	0.8	0	0	0	0.0091	0.17	0	13	0.34	0	0
42	0.00014	0	0	0	0	0	0	0	2.5e-06	0	0.0072	0.28	0	0	0	0	0.71	0	0	2.5e-06	16	0	0.26	0
43	0	0	0	0	4.7e-06	0	0	0	0	0	0	0	0.49	0.0075	0	0	0	0.0019	0.5	0	18	0.16	0	0
44	0	0	0	0	0	0	0	0	0	0	0	0	0.94	0	0	0	0	0	0.056	0	12	0.11	0	0
