SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster	dcf0	dcf1	dcf2
0	0	0	0	0	1	4	0	0.47	0
1	0	0	0	1	0	3	0.3	0.082	0.56
2	1	0	0	0	0	0	0.027	0.26	0
3	0	4.8e-05	0.81	0.19	0	2	0.3	0.31	0.37
4	1	0	0	0	0.00065	0	0.027	0.26	0
5	1	0	0	0	0.0023	0	0.027	0.26	0
6	2e-06	1	0	0	0	1	0.053	0	0.11
7	0	0	0	1	0	3	0.3	0.082	0.56
8	1	0	0	0	0.00051	0	0.027	0.26	0
9	1	0	0	0	0.003	0	0.027	0.26	0
10	0	1	0	0	0	1	0.053	0	0.11
11	0	1	0	0	0	1	0.053	0	0.11
12	0.96	0.038	0	0	0	0	0.027	0.26	0
13	0	0	0	1	0	3	0.3	0.082	0.56
14	0	1	0	0	0	1	0.053	0	0.11
15	0	0	0	1	0	3	0.3	0.082	0.56
16	0	0	1	0.00045	0	2	0.3	0.31	0.37
17	0	0	1	0	0	2	0.3	0.31	0.37
18	1	0	0	0	0	0	0.027	0.26	0
19	0	1	0	0	0	1	0.053	0	0.11
20	0	0	1	0	0	2	0.3	0.31	0.37
21	0	0	1	0	0	2	0.3	0.31	0.37
22	0	0	1	0	0	2	0.3	0.31	0.37
23	0.11	0	0	0	0.89	4	0	0.47	0
24	0	0	1	0	0	2	0.3	0.31	0.37
25	0	1	0	0	0	1	0.053	0	0.11
26	0	0	0	1	0	3	0.3	0.082	0.56
27	1	0	0	0	0.00059	0	0.027	0.26	0
28	0	0	0	1	0	3	0.3	0.082	0.56
29	0	1	0	0	0	1	0.053	0	0.11
30	0	1	0	0	0	1	0.053	0	0.11
31	0	0	0.86	0.14	0	2	0.3	0.31	0.37
32	1	0	0	0	8.6e-06	0	0.027	0.26	0
33	0	1	0	0	0	1	0.053	0	0.11
34	0.02	0	0	0	0.98	4	0	0.47	0
35	0	0	1	0	0	2	0.3	0.31	0.37
36	1	0	0	0	0	0	0.027	0.26	0
37	0	0	1	0	0	2	0.3	0.31	0.37
38	2.4e-05	1	0	0	0	1	0.053	0	0.11
39	1	0	0	0	6.8e-06	0	0.027	0.26	0
40	0	1	0	0	0	1	0.053	0	0.11
41	0	1	0	0	0	1	0.053	0	0.11
42	1	0	0	0	0.00018	0	0.027	0.26	0
43	0	1	0	0	0	1	0.053	0	0.11
44	0	1	0	0	0	1	0.053	0	0.11
45	2.1e-06	1	0	0	0	1	0.053	0	0.11
46	0	0	0	1	0	3	0.3	0.082	0.56
47	0.89	0	0	0	0.11	0	0.027	0.26	0
48	0	0	0	1	0	3	0.3	0.082	0.56
49	0	1	0	0	0	1	0.053	0	0.11
50	0	0	1	0	0	2	0.3	0.31	0.37
51	0	0	0	1	0	3	0.3	0.082	0.56
52	0	0.043	0.96	0	0	2	0.3	0.31	0.37
53	0	1	0	0	0	1	0.053	0	0.11
54	1	0	0	0	0	0	0.027	0.26	0
55	1	0	0	0	0	0	0.027	0.26	0
56	0	0	1	0	0	2	0.3	0.31	0.37
57	0.75	0	0.25	0	0	0	0.027	0.26	0
58	0	0.0019	1	0	0	2	0.3	0.31	0.37
59	0.00051	0	0	0	1	4	0	0.47	0
60	1	0	0	0	0.0026	0	0.027	0.26	0
61	1	0	0	0	0.00062	0	0.027	0.26	0
62	1	0	2.2e-05	0	0	0	0.027	0.26	0
63	0.22	0	0.78	0	0	2	0.3	0.31	0.37
64	0	1	0	0	0	1	0.053	0	0.11
65	1	0	0	0	0	0	0.027	0.26	0
66	0	0	0	0	1	4	0	0.47	0
67	0	0	1	0	0	2	0.3	0.31	0.37
68	0	1	0	0	0	1	0.053	0	0.11
69	0	1	0	0	0	1	0.053	0	0.11
70	0	0	0	1	0	3	0.3	0.082	0.56
71	0	0	0	1	0	3	0.3	0.082	0.56
72	0.00011	1	0	0	0	1	0.053	0	0.11
73	1	0	0	0	0	0	0.027	0.26	0
74	0	1	0	0	0	1	0.053	0	0.11
75	0.039	0	0.96	0	0	2	0.3	0.31	0.37
76	0	0	0	1	0	3	0.3	0.082	0.56
77	0	1	0.0001	0	0	1	0.053	0	0.11
78	0.011	0.99	0	0	0	1	0.053	0	0.11
79	0	0	0	0	1	4	0	0.47	0
80	0	0	1	0	0	2	0.3	0.31	0.37
81	0.0011	0	1	0	0	2	0.3	0.31	0.37
82	0.99	0	0	0	0.0061	0	0.027	0.26	0
83	0	1	0	0	0	1	0.053	0	0.11
84	0	0	0	1	0	3	0.3	0.082	0.56
85	0	1	0	0	0	1	0.053	0	0.11
86	0	1	0	0	0	1	0.053	0	0.11
87	0	0	1	0	0	2	0.3	0.31	0.37
88	0	0.0006	0	1	0	3	0.3	0.082	0.56
89	0	0	0	1	0	3	0.3	0.082	0.56
90	0	0	1	0	0	2	0.3	0.31	0.37
91	0	1	0	0	0	1	0.053	0	0.11
92	0	0	0	1	0	3	0.3	0.082	0.56
93	0	1	0	0	0	1	0.053	0	0.11
94	0	1	0	0	0	1	0.053	0	0.11
95	0	0	1	0	0	2	0.3	0.31	0.37
96	0	1	0	0	0	1	0.053	0	0.11
97	0	1	1.9e-05	0.002	0	1	0.053	0	0.11
98	0	0	1	0	0	2	0.3	0.31	0.37
99	0	0	1	0	0	2	0.3	0.31	0.37
100	0	0	1	0	0	2	0.3	0.31	0.37
101	0	0	0	1	0	3	0.3	0.082	0.56
102	0	1	0	0	0	1	0.053	0	0.11
103	0	0	0	0	1	4	0	0.47	0
104	1	0	0	0	0	0	0.027	0.26	0
105	0.93	0	0	0	0.069	0	0.027	0.26	0
106	0	0	0	1	0	3	0.3	0.082	0.56
107	0	0	1	0	0	2	0.3	0.31	0.37
108	0	1	0	0	0	1	0.053	0	0.11
109	1	0	0	0	0	0	0.027	0.26	0
110	0	1	0	0	0	1	0.053	0	0.11
111	0	1	0	0	0	1	0.053	0	0.11
112	0	0	0	1	0	3	0.3	0.082	0.56
113	0	0	0	1	0	3	0.3	0.082	0.56
114	0	1	4.9e-05	0	0	1	0.053	0	0.11
115	1	0	0	0	5.7e-06	0	0.027	0.26	0
116	1	0	0	0	5.2e-06	0	0.027	0.26	0
117	1	0	0	0	2.6e-05	0	0.027	0.26	0
118	1	0	0	0	0	0	0.027	0.26	0
119	1	0	0	0	0	0	0.027	0.26	0
120	0	0	0	1	0	3	0.3	0.082	0.56
121	0	0	0	1	0	3	0.3	0.082	0.56
122	1	0	0	0	1.1e-05	0	0.027	0.26	0
123	0	1	0	0	0	1	0.053	0	0.11
124	0	0	1	0	0	2	0.3	0.31	0.37
125	0	0	0	1	0	3	0.3	0.082	0.56
126	0	0	1	0	0	2	0.3	0.31	0.37
127	0	1	0	0	0	1	0.053	0	0.11
128	1	0	0	0	0	0	0.027	0.26	0
129	0	1	0	0	0	1	0.053	0	0.11
130	1	0	0	0	0	0	0.027	0.26	0
131	0	6.5e-05	0.83	0.17	0	2	0.3	0.31	0.37
132	1	0	0	0	0.0002	0	0.027	0.26	0
133	0	1	0	0	0	1	0.053	0	0.11
134	0	0	0	1	0	3	0.3	0.082	0.56
135	0	1	0	0	0	1	0.053	0	0.11
136	0	0	0	1	0	3	0.3	0.082	0.56
137	0	0	8.2e-05	1	0	3	0.3	0.082	0.56
138	0	0	0	1	0	3	0.3	0.082	0.56
139	1	0	0	0	0	0	0.027	0.26	0
140	1	0	0	0	0.0014	0	0.027	0.26	0
141	1	0	0	0	0.0004	0	0.027	0.26	0
142	0	0	1	0	0	2	0.3	0.31	0.37
143	0	1	0	0	0	1	0.053	0	0.11
144	0	1	0	0	0	1	0.053	0	0.11
145	0	1	0	0	0	1	0.053	0	0.11
146	1	0	0	0	0	0	0.027	0.26	0
147	0	0	0	1	0	3	0.3	0.082	0.56
148	0	0	0.0039	1	0	3	0.3	0.082	0.56
149	1	0	0	0	0	0	0.027	0.26	0
150	0	0	1	0	0	2	0.3	0.31	0.37
151	2.4e-06	0	0	0	1	4	0	0.47	0
152	0.94	0	0	0	0.056	0	0.027	0.26	0
153	0	0	0	0	1	4	0	0.47	0
154	0	1	0	0	0	1	0.053	0	0.11
155	1	0	0	0	0	0	0.027	0.26	0
156	0	0	0	1	0	3	0.3	0.082	0.56
157	0.98	0	0	0	0.018	0	0.027	0.26	0
158	0	1	0	0	0	1	0.053	0	0.11
159	0	0	1	0	0	2	0.3	0.31	0.37
160	0	0	0	1	0	3	0.3	0.082	0.56
161	1	0	0	0	0	0	0.027	0.26	0
162	0	1	0	0	0	1	0.053	0	0.11
163	0	1	0	0	0	1	0.053	0	0.11
164	0	0	1	0	0	2	0.3	0.31	0.37
165	0	1	1.1e-05	0	0	1	0.053	0	0.11
166	0	1	0	0	0	1	0.053	0	0.11
167	0.66	0	0.34	0	0	0	0.027	0.26	0
168	0.009	0	0	0	0.99	4	0	0.47	0
169	0.99	0	0	0	0.0094	0	0.027	0.26	0
170	0	0.97	0	0.03	0	1	0.053	0	0.11
171	1	0	0	0	0	0	0.027	0.26	0
172	0.0013	0	0	0	1	4	0	0.47	0
173	0	0	0	1	0	3	0.3	0.082	0.56
174	1	0	0	0	3.9e-05	0	0.027	0.26	0
175	1	0	0	0	0	0	0.027	0.26	0
176	1	0	0	0	0.0018	0	0.027	0.26	0
177	0	0	1	0	0	2	0.3	0.31	0.37
178	0	0	1	0	0	2	0.3	0.31	0.37
179	0	1	0	0	0	1	0.053	0	0.11
180	1	0	0	0	8.5e-05	0	0.027	0.26	0
181	0	1	0	0	0	1	0.053	0	0.11
182	0	0.0021	1	0	0	2	0.3	0.31	0.37
183	0.067	0	0.93	0	0	2	0.3	0.31	0.37
184	0.64	0	0	0	0.36	0	0.027	0.26	0
185	1	0	0	0	0	0	0.027	0.26	0
186	0.99	0	0	0	0.009	0	0.027	0.26	0
187	0	1	0	0	0	1	0.053	0	0.11
188	0	1	0	0	0	1	0.053	0	0.11
189	0	1	0	0	0	1	0.053	0	0.11
190	0	0	0	1	0	3	0.3	0.082	0.56
191	0	1	0	0	0	1	0.053	0	0.11
192	0	0	1	0	0	2	0.3	0.31	0.37
193	0	0	1	0	0	2	0.3	0.31	0.37
194	0	1	0	0	0	1	0.053	0	0.11
195	0	0	0	1	0	3	0.3	0.082	0.56
196	0	0	1	0	0	2	0.3	0.31	0.37
197	0	0	1	0	0	2	0.3	0.31	0.37
198	0.0064	0	0	0	0.99	4	0	0.47	0
199	0	0	0	1	0	3	0.3	0.082	0.56
200	0	0	1	0	0	2	0.3	0.31	0.37
201	0	1	0	0	0	1	0.053	0	0.11
202	0	0	0	1	0	3	0.3	0.082	0.56
203	0	0	1	0	0	2	0.3	0.31	0.37
204	0	1	0	0	0	1	0.053	0	0.11
