SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0	dcf1	dcf2
0	0	0	0	1	0	0	0	3	0	0.47	0
1	1	0	0	0	0	0	0	0	0.3	0.082	0.59
2	0	0	1	0	0	0	0	2	0.027	0.26	0.037
3	0	0	0	0	1	0	0	4	0.19	0	0.037
4	0	0	0.00015	0.00013	0	1	0	5	0	0.2	0
5	0	0	6.8e-05	0.00031	0	1	0	5	0	0.2	0
6	0	0	0	0	1	0	0	4	0.19	0	0.037
7	1	0	0	0	0	0	0	0	0.3	0.082	0.59
8	0	0	0.00073	2.7e-05	0	1	0	5	0	0.2	0
9	0	0	3.6e-05	0.00037	0	1	0	5	0	0.2	0
10	0	1	0	0	0	0	0	1	0	0	0.15
11	0	1	0	0	0	0	0	1	0	0	0.15
12	0	0	0.00085	0	1	0	0	4	0.19	0	0.037
13	1	0	0	0	0	0	0	0	0.3	0.082	0.59
14	0	1	1.3e-06	0	0	0	0	1	0	0	0.15
15	1	0	0	0	0	0	0	0	0.3	0.082	0.59
16	0	0	0	0	0	0	1	6	0.24	0.31	0.33
17	0	0	1	0	0	0	0	2	0.027	0.26	0.037
18	0	0	6.4e-05	0	0	1	0	5	0	0.2	0
19	0	1	0	0	0	0	0	1	0	0	0.15
20	0	0	0	0	0	0	1	6	0.24	0.31	0.33
21	0	0	1	0	0	0	0	2	0.027	0.26	0.037
22	0	0	1	0	0	0	0	2	0.027	0.26	0.037
23	0	0	0.00011	0.97	0	0.03	0	3	0	0.47	0
24	0	0	0	0	0	0	1	6	0.24	0.31	0.33
25	0	1	0	0	0	0	0	1	0	0	0.15
26	1	0	0	0	0	0	0	0	0.3	0.082	0.59
27	0	0	0.0004	2.9e-05	0	1	0	5	0	0.2	0
28	1	0	0	0	0	0	0	0	0.3	0.082	0.59
29	0	0	0	0	1	0	0	4	0.19	0	0.037
30	0	0	0	0	1	0	0	4	0.19	0	0.037
31	0.094	0	0	0	0	0	0.91	6	0.24	0.31	0.33
32	0	0	0	0	0	1	0	5	0	0.2	0
33	0	0	0	0	1	0	0	4	0.19	0	0.037
34	0	0	0.0016	0.99	0	0.0035	0	3	0	0.47	0
35	0	0	0	0	0	0	1	6	0.24	0.31	0.33
36	0	0	1	0	0	0	0	2	0.027	0.26	0.037
37	0	0	0	0	0	0	1	6	0.24	0.31	0.33
38	0	0	0	0	1	0	0	4	0.19	0	0.037
39	0	0	6.9e-06	0	0	1	0	5	0	0.2	0
40	0	1	0	0	0	0	0	1	0	0	0.15
41	0	0	0	0	1	0	0	4	0.19	0	0.037
42	0	0	8e-05	9.6e-06	0	1	0	5	0	0.2	0
43	0	0	0	0	1	0	0	4	0.19	0	0.037
44	0	0	0	0	1	0	0	4	0.19	0	0.037
45	0	0	0	0	1	0	0	4	0.19	0	0.037
46	1	0	0	0	0	0	0	0	0.3	0.082	0.59
47	0	0	0.0023	0.044	0	0.95	0	5	0	0.2	0
48	1	0	0	0	0	0	0	0	0.3	0.082	0.59
49	0	1	0	0	0	0	0	1	0	0	0.15
50	0	0	1	0	0	0	0	2	0.027	0.26	0.037
51	1	0	0	0	0	0	0	0	0.3	0.082	0.59
52	0	0	0	0	1	0	0	4	0.19	0	0.037
53	0	1	0	0	0	0	0	1	0	0	0.15
54	0	0	1	0	0	0	0	2	0.027	0.26	0.037
55	0	0	0	0	0	1	0.00043	5	0	0.2	0
56	0	0	1	0	0	0	0	2	0.027	0.26	0.037
57	0	0	0	0	0	0.0023	1	6	0.24	0.31	0.33
58	0	0	0	0	1	0	0	4	0.19	0	0.037
59	0	0	4.1e-06	1	0	8.9e-06	0	3	0	0.47	0
60	0	0	0.0016	0.00059	0	1	0	5	0	0.2	0
61	0	0	0.0003	5.8e-05	0	1	0	5	0	0.2	0
62	0	0	1	0	0	0	0	2	0.027	0.26	0.037
63	0	0	0	0	0	0.00062	1	6	0.24	0.31	0.33
64	0	1	0	0	0	0	0	1	0	0	0.15
65	0	0	1.9e-05	0	0	1	0	5	0	0.2	0
66	0	0	0	1	0	0	0	3	0	0.47	0
67	0	0	0	0	0	0	1	6	0.24	0.31	0.33
68	0	1	0	0	0	0	0	1	0	0	0.15
69	0	1	0	0	0	0	0	1	0	0	0.15
70	1	0	0	0	0	0	0	0	0.3	0.082	0.59
71	1	0	0	0	0	0	0	0	0.3	0.082	0.59
72	0	0	0	0	1	0	0	4	0.19	0	0.037
73	0	0	0	0	0	1	0	5	0	0.2	0
74	0	1	0	0	0	0	0	1	0	0	0.15
75	0	0	0	0	0	0	1	6	0.24	0.31	0.33
76	1	0	0	0	0	0	0	0	0.3	0.082	0.59
77	0	1	0	0	0	0	0	1	0	0	0.15
78	0	0	0	0	1	0	0	4	0.19	0	0.037
79	0	0	0	1	0	0	0	3	0	0.47	0
80	0	0	0	0	0	0	1	6	0.24	0.31	0.33
81	0	0	0	0	0	2e-06	1	6	0.24	0.31	0.33
82	0	0	0.0023	0.0013	0	1	0	5	0	0.2	0
83	0	0	0	0	1	0	0	4	0.19	0	0.037
84	1	0	0	0	0	0	0	0	0.3	0.082	0.59
85	0	1	0	0	0	0	0	1	0	0	0.15
86	0	1	0	0	0	0	0	1	0	0	0.15
87	0	0	0	0	0	0	1	6	0.24	0.31	0.33
88	0	1	0	0	0	0	0	1	0	0	0.15
89	0	0	1	0	0	0	2.8e-05	2	0.027	0.26	0.037
90	0	0	0	0	0	0	1	6	0.24	0.31	0.33
91	0	1	0	0	0	0	0	1	0	0	0.15
92	1	0	0	0	0	0	0	0	0.3	0.082	0.59
93	0	1	0	0	0	0	0	1	0	0	0.15
94	0	1	0	0	0	0	0	1	0	0	0.15
95	0	0	0	0	0	0	1	6	0.24	0.31	0.33
96	0	1	0	0	0	0	0	1	0	0	0.15
97	2.4e-05	1	0	0	0	0	2.7e-06	1	0	0	0.15
98	0	0	0	0	0	0	1	6	0.24	0.31	0.33
