SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0	dcf1
0	0	0	0	1	0	0	3	0.37	0.022
1	0	0	0	1	0	0	3	0.37	0.022
2	1	0	0	0	0	0	0	0.52	0.2
3	1	0	0	0	0	0	0	0.52	0.2
4	1	0	0	0	0	0	0	0.52	0.2
5	0	3e-06	0	0	1	0	4	0.11	0.18
6	0	4.7e-05	0	0	1	0	4	0.11	0.18
7	0	0	0	1	0	0	3	0.37	0.022
8	1	0	0	0	0	0	0	0.52	0.2
9	1	0	0	4.9e-05	0	0	0	0.52	0.2
10	0	0	0.02	0.98	0	0	3	0.37	0.022
11	1	0	0	0	0	0	0	0.52	0.2
12	0	1	0	0	0.0001	0	1	0.053	0.089
13	0	0.18	0	0	0.82	0	4	0.11	0.18
14	0.89	0	0	0.11	0	0	0	0.52	0.2
15	0	0	0	1	0	0	3	0.37	0.022
16	1	0	0	0	0	0	0	0.52	0.2
17	1	0	0	0	0	0	0	0.52	0.2
18	1	0	0	0	0	0	0	0.52	0.2
19	1	0	0	0	0	0	0	0.52	0.2
20	1	0	0	0	0	0	0	0.52	0.2
21	1	0	0	0	0	0	0	0.52	0.2
22	1	0	0	0	0	0	0	0.52	0.2
23	1	0	0	0	0	0	0	0.52	0.2
24	1	0	0	0	0	0	0	0.52	0.2
25	1	0	0	0	0	0	0	0.52	0.2
26	1	0	0	0	0	0	0	0.52	0.2
27	0	1	0	0	6e-06	0	1	0.053	0.089
28	1	0	0	0	0	0	0	0.52	0.2
29	0	0	0	1	0	0	3	0.37	0.022
30	0	0	0	1	0	0	3	0.37	0.022
31	0.38	0.62	0	0	0.00014	0	1	0.053	0.089
32	1	0	0	0	0	0	0	0.52	0.2
33	1	0	0	0	0	0	0	0.52	0.2
34	0	0	0.034	0.97	0	0	3	0.37	0.022
35	0.86	0	0	0.14	0	0	0	0.52	0.2
36	1	0	0	0	0	0	0	0.52	0.2
37	1	0	0	0	0	0	0	0.52	0.2
38	1	0	0	0	0	0	0	0.52	0.2
39	0.99	0	0	0.011	0	0	0	0.52	0.2
40	1	0	0	0	0	0	0	0.52	0.2
41	1	0	0	0	0	0	0	0.52	0.2
42	1	0	0	0	0	0	0	0.52	0.2
43	1	0	0	0	0	0	0	0.52	0.2
44	1	0	0	0	0	0	0	0.52	0.2
45	1	0	0	0	0	0	0	0.52	0.2
46	1	0	0	0	0	0	0	0.52	0.2
47	1	0	0	0	0	0	0	0.52	0.2
48	1	0	0	0	0	0	0	0.52	0.2
49	1	0	0	0	0	0	0	0.52	0.2
