SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1
0	0	1	0	0	1	0.37	0.022
1	0	1	0	0	1	0.37	0.022
2	1	0	0	0	0	0.52	0.2
3	1	0	0	0	0	0.52	0.2
4	1	0	0	0	0	0.52	0.2
5	0	0	1	0	2	0.11	0.16
6	0	0	1	0	2	0.11	0.16
7	0	1	0	0	1	0.37	0.022
8	1	0	0	0	0	0.52	0.2
9	1	4.7e-05	0	0	0	0.52	0.2
10	0	0.98	0	0.02	1	0.37	0.022
11	1	0	0	0	0	0.52	0.2
12	0	0	1	0	2	0.11	0.16
13	0	0	1	0	2	0.11	0.16
14	0.9	0.1	0	0	0	0.52	0.2
15	0	1	0	0	1	0.37	0.022
16	1	0	0	0	0	0.52	0.2
17	1	0	0	0	0	0.52	0.2
18	1	0	0	0	0	0.52	0.2
19	1	0	0	0	0	0.52	0.2
20	1	0	0	0	0	0.52	0.2
21	1	0	0	0	0	0.52	0.2
22	1	0	0	0	0	0.52	0.2
23	1	0	0	0	0	0.52	0.2
24	1	0	0	0	0	0.52	0.2
25	1	0	0	0	0	0.52	0.2
26	1	0	0	0	0	0.52	0.2
27	0	0	1	0	2	0.11	0.16
28	1	0	0	0	0	0.52	0.2
29	0	1	0	0	1	0.37	0.022
30	0	1	0	0	1	0.37	0.022
31	1	0	0.0028	0	0	0.52	0.2
32	1	0	0	0	0	0.52	0.2
33	1	0	0	0	0	0.52	0.2
34	0	0.97	0	0.034	1	0.37	0.022
35	0.86	0.14	0	0	0	0.52	0.2
36	1	0	0	0	0	0.52	0.2
37	1	0	0	0	0	0.52	0.2
38	1	0	0	0	0	0.52	0.2
39	0.99	0.011	0	0	0	0.52	0.2
40	1	0	0	0	0	0.52	0.2
41	1	0	0	0	0	0.52	0.2
42	1	0	0	0	0	0.52	0.2
43	1	0	0	0	0	0.52	0.2
44	1	0	0	0	0	0.52	0.2
45	1	0	0	0	0	0.52	0.2
46	1	0	0	0	0	0.52	0.2
47	1	0	0	0	0	0.52	0.2
48	1	0	0	0	0	0.52	0.2
49	1	0	0	0	0	0.52	0.2
50	1	0	0	0	0	0.52	0.2
51	0	0	1	0	2	0.11	0.16
52	1	0	0	0	0	0.52	0.2
53	0.99	0.014	0	0	0	0.52	0.2
54	1	0	0	0	0	0.52	0.2
55	0	1	0	0	1	0.37	0.022
56	1	0	0	0	0	0.52	0.2
57	1	0	0	0	0	0.52	0.2
58	1	0	0	0	0	0.52	0.2
59	0	1	0	0.00028	1	0.37	0.022
60	1	0	0	0	0	0.52	0.2
61	1	0	0	0	0	0.52	0.2
62	0	1	0	0.0021	1	0.37	0.022
63	1	0	0	0	0	0.52	0.2
64	0	0.98	0	0.022	1	0.37	0.022
65	1	0	0	0	0	0.52	0.2
66	1	0	0	0	0	0.52	0.2
67	0	0	1	0	2	0.11	0.16
68	0	0	1	0	2	0.11	0.16
69	1	0	0	0	0	0.52	0.2
70	0.00014	0.99	1.7e-05	0.0077	1	0.37	0.022
71	1	0	0	0	0	0.52	0.2
72	0	1	0	0.00014	1	0.37	0.022
73	1	0	0	0	0	0.52	0.2
74	1	0	0	0	0	0.52	0.2
75	1	0	0	0	0	0.52	0.2
76	1	0	0	0	0	0.52	0.2
77	1	0	0	0	0	0.52	0.2
78	1	0	0	0	0	0.52	0.2
79	1	0	0	0	0	0.52	0.2
80	1	0	0	0	0	0.52	0.2
81	1	0	0	0	0	0.52	0.2
82	0	0	1	0	2	0.11	0.16
83	1	0	0	0	0	0.52	0.2
84	0	1	0	0	1	0.37	0.022
85	0	0	0	1	3	0.11	0
86	1	0	0	0	0	0.52	0.2
87	1	0	0	0	0	0.52	0.2
88	1	0	0	0	0	0.52	0.2
89	1	0	0	0	0	0.52	0.2
90	0	0	1	0	2	0.11	0.16
91	1	0	0	0	0	0.52	0.2
92	1	0	0	0	0	0.52	0.2
93	1	3.4e-05	0	0	0	0.52	0.2
94	0	1	0	3.5e-05	1	0.37	0.022
95	1	0	0	0	0	0.52	0.2
96	1	0	0	0	0	0.52	0.2
97	1	0	0	0	0	0.52	0.2
98	1	0	0	0	0	0.52	0.2
99	0	1	0	4.5e-05	1	0.37	0.022
100	0.0062	0.98	0.00046	0.013	1	0.37	0.022
101	0.29	0.015	0.69	0	2	0.11	0.16
102	0	0	0	1	3	0.11	0
103	1	0	0	0	0	0.52	0.2
104	1	0	0	0	0	0.52	0.2
105	0	1	0	0	1	0.37	0.022
106	1	0	0	0	0	0.52	0.2
107	0	0	0	1	3	0.11	0
108	1	0	0	0	0	0.52	0.2
109	0	0	1	0	2	0.11	0.16
110	1	0	0	0	0	0.52	0.2
111	0	1	0	0	1	0.37	0.022
112	0	1	0	0	1	0.37	0.022
113	0	1	0	0	1	0.37	0.022
114	1	0	1.5e-05	0	0	0.52	0.2
115	1	0	0	0	0	0.52	0.2
116	1	0	0	0	0	0.52	0.2
117	0	1	0	6.7e-05	1	0.37	0.022
118	1	0	0	0	0	0.52	0.2
119	0	0	1	0	2	0.11	0.16
120	0	0	1	0	2	0.11	0.16
121	1	0	0	0	0	0.52	0.2
122	0	1	0	0	1	0.37	0.022
123	1	0	0	0	0	0.52	0.2
124	0	0	1	0	2	0.11	0.16
125	0.00011	1	0	0.00034	1	0.37	0.022
126	0	0	1	0	2	0.11	0.16
127	1	0	0	0	0	0.52	0.2
128	0	0	1	0	2	0.11	0.16
129	0	0	1	0	2	0.11	0.16
130	0	1	0	0	1	0.37	0.022
131	1	0	0	0	0	0.52	0.2
132	1	0	0	0	0	0.52	0.2
133	1	0	0	0	0	0.52	0.2
134	0	0.0081	0	0.99	3	0.11	0
135	0	1	0	0.00029	1	0.37	0.022
136	1	0	0	0	0	0.52	0.2
137	1	0	0	0	0	0.52	0.2
138	1	0	0	0	0	0.52	0.2
139	1	0	0	0	0	0.52	0.2
140	1	0	0	0	0	0.52	0.2
141	1	0	2.3e-05	0	0	0.52	0.2
142	0	1	0	0	1	0.37	0.022
143	1	0	0	0	0	0.52	0.2
144	0	0	1	0	2	0.11	0.16
145	1	0	0	0	0	0.52	0.2
146	0	1	0	0	1	0.37	0.022
147	1	0	0	0	0	0.52	0.2
148	0	1	0	0	1	0.37	0.022
149	1	0	0	0	0	0.52	0.2
150	1	0	0	0	0	0.52	0.2
151	1	0	0	0	0	0.52	0.2
152	0	0	0	1	3	0.11	0
153	1	0	0	0	0	0.52	0.2
154	0.001	0	1	0	2	0.11	0.16
155	1	0	0	0	0	0.52	0.2
156	0	0	1	0	2	0.11	0.16
157	1	0	0	0	0	0.52	0.2
158	1	0	0	0	0	0.52	0.2
159	1	0	0	0	0	0.52	0.2
160	0	1.1e-05	0	1	3	0.11	0
161	1	0	0	0	0	0.52	0.2
162	1	0	0	0	0	0.52	0.2
163	0	1	0	0	1	0.37	0.022
164	1	0	0	0	0	0.52	0.2
165	0	0	1	0	2	0.11	0.16
166	1	0	0	0	0	0.52	0.2
167	0.95	0.051	0	0	0	0.52	0.2
168	0	1	0	0	1	0.37	0.022
169	0	1	0	0	1	0.37	0.022
170	1	0	0	0	0	0.52	0.2
171	1	0	0	0	0	0.52	0.2
172	1	0	0.00022	0	0	0.52	0.2
173	0.23	0.29	0.00011	0.47	3	0.11	0
174	1	0.0029	0	0	0	0.52	0.2
175	0.99	0.01	0	0	0	0.52	0.2
176	1	0	0	0	0	0.52	0.2
177	0	0	1	0	2	0.11	0.16
178	1	0	0	0	0	0.52	0.2
179	0	0	1	0	2	0.11	0.16
180	1	0	0	0	0	0.52	0.2
181	1	0	0	0	0	0.52	0.2
182	0.96	0.04	0	0	0	0.52	0.2
183	1	0.00085	0	0	0	0.52	0.2
184	1	0	0	0	0	0.52	0.2
185	1	0	0	0	0	0.52	0.2
186	1	0	0	0	0	0.52	0.2
187	1	0	0	0	0	0.52	0.2
188	1	0	0	0	0	0.52	0.2
189	1e-06	0.86	0.14	0	1	0.37	0.022
190	0	0.95	0	0.047	1	0.37	0.022
191	1	0	0	0	0	0.52	0.2
192	1	0	0	0	0	0.52	0.2
193	1	0	0	0	0	0.52	0.2
194	1	0	0	0	0	0.52	0.2
195	1	0	0	0	0	0.52	0.2
196	0.95	0.049	0	0	0	0.52	0.2
197	0	1	0	0	1	0.37	0.022
198	0	0	1	0	2	0.11	0.16
199	0	1	0	0	1	0.37	0.022
200	9.1e-06	0	1	0	2	0.11	0.16
201	0	1	0	0	1	0.37	0.022
202	0	0	1	0	2	0.11	0.16
203	1	0	0	0	0	0.52	0.2
204	3e-06	0.99	3.8e-06	0.01	1	0.37	0.022
205	1	0	0	0	0	0.52	0.2
206	0.18	0.61	0.21	0	1	0.37	0.022
207	0	0	0	1	3	0.11	0
208	1	0	0	0	0	0.52	0.2
209	0	2.1e-05	0	1	3	0.11	0
210	1	0	0	0	0	0.52	0.2
211	1	0	0	0	0	0.52	0.2
212	0	0	1	0	2	0.11	0.16
213	0	0	1	0	2	0.11	0.16
214	1	0	0	0	0	0.52	0.2
215	1	0	0	0	0	0.52	0.2
216	0	1	0	0	1	0.37	0.022
217	1	0	0	0	0	0.52	0.2
218	0	0	0	1	3	0.11	0
219	0	0	1	0	2	0.11	0.16
220	1	0	0	0	0	0.52	0.2
221	1	0	0	0	0	0.52	0.2
222	1	0	0	0	0	0.52	0.2
223	0	0	1	0	2	0.11	0.16
224	1	0	0	0	0	0.52	0.2
225	1	0	0	0	0	0.52	0.2
226	0	0	1	0	2	0.11	0.16
227	1	0	0	0	0	0.52	0.2
228	1	0	0.00011	0	0	0.52	0.2
