k	loglikelihood	observations	parameters	BIC
1	-6027.83	4216	4	12089.1
2	-3703.08	4216	6	7456.24
3	-2817.85	4216	8	5702.48
4	-2553.39	4216	10	5190.24
5	-2479.4	4216	12	5058.96
6	-2360.75	4216	14	4838.36
7	-2338.93	4216	16	4811.41
8	-2319.59	4216	18	4789.42
9	-2263.32	4216	20	4693.57
10	-2311.82	4216	22	4807.26
11	-2219.08	4216	24	4638.48
12	-2209.83	4216	26	4636.67
13	-2205.48	4216	28	4644.67
14	-2241.17	4216	30	4732.73
15	-2209.89	4216	32	4686.87
16	-2179.42	4216	34	4642.63
17	-2174.2	4216	36	4648.87
18	-2170.82	4216	38	4658.82
19	-2171.15	4216	40	4676.16
20	-2171.15	4216	42	4692.85
