SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster	dcf0	dcf1
0	0	0	1	0	0	0	0	0	2e-06	0	0	0	0	2	0.37	0.022
1	0	0	0.025	0	0	0	0.98	0	0	0	0	0	0	6	0.37	0
2	0	0.14	0	0	0.39	0	0	0.072	0	0.4	0	0	0	9	0.89	0.2
3	0.00067	0	0	0.98	0.023	0	0	0	0	0	0	0	0	3	0.52	0.11
4	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0.52	0.2
5	0	0	0	0	0	1	0	0	0.0003	0	0	0.00038	0	5	0.11	0.18
6	0	0	0	0	0	0.99	0	0	0.0071	0	0	0.00077	0	5	0.11	0.18
7	0	0	0.061	4.2e-05	0	0	0.94	0	0	0	0	0	0	6	0.37	0
8	0	0.45	0	0	0.45	0	0	0.02	0	0.076	0	0	0	1	0.73	0.2
9	0.0023	0	6.4e-06	0.64	0.36	0	0	0	0	0	0	0	0	3	0.52	0.11
10	0	0	0.081	4.3e-06	0	0	0.92	0	3.3e-06	0	0	0	5.2e-06	6	0.37	0
11	0	0.055	0	0	0.88	0	0	0.014	0	0.047	0	0	0	4	0.52	0.2
12	0	0	0	0	0	2.9e-05	0	0	1	0	0	0.0045	0	8	0.11	0.089
13	0	0	0	0	0	0.11	0	0	0.00083	0	0	0.89	0	11	0.053	0.13
14	0.0051	0.0012	0.032	0.2	0.76	0	0	1.8e-05	0	0.00016	0	0	0	4	0.52	0.2
15	0	0	0.05	1.9e-06	0	0	0.95	0	0	0	0	0	0	6	0.37	0
16	0	0.0048	0	0	1	0	0	6.8e-06	0	2.8e-05	0	0	0	4	0.52	0.2
17	0.0072	0	0	0.025	0.97	0	0	0	0	0	0	0	0	4	0.52	0.2
18	0	0.024	0	0	0.027	0	0	0.45	0	0.5	0	0	0	9	0.89	0.2
19	0	0.015	0	0	0.99	0	0	1.6e-06	0	3.1e-05	0	0	0	4	0.52	0.2
20	0	0.0032	0	0	1	0	0	2.9e-06	0	8.7e-06	0	0	0	4	0.52	0.2
21	1.3e-05	0.012	0	0.0076	0.98	0	0	0.00073	0	0.0021	0	0	0	4	0.52	0.2
22	8.3e-06	7.4e-05	0	0	1	0	0	0	0	0	0	0	0	4	0.52	0.2
23	6.5e-06	1.4e-05	0	0.084	0.92	0	0	0	0	0	0	0	0	4	0.52	0.2
24	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0.52	0.2
25	0	0.011	0	0	0.99	0	0	0.001	0	0.00033	0	0	0	4	0.52	0.2
26	0	3e-05	0	0	1	0	0	0	0	0	0	0	0	4	0.52	0.2
27	0	0	0	0	0	2.1e-05	0	0	0.00066	0	0	1	0	11	0.053	0.13
28	0	0.11	0	0	0.87	0	0	0.0027	0	0.011	0	0	0	4	0.52	0.2
29	0	0	0.00016	0	0	0	1	0	0	0	0	0	0	6	0.37	0
30	0	0	4.5e-05	0	0	0	1	0	0	0	0	0	0	6	0.37	0
31	0	0	0	0.98	0.015	5.2e-06	0	0	0.00014	0	0	0.0041	0	3	0.52	0.11
32	1.3e-06	0.0021	0	6e-06	1	0	0	1.4e-05	0	3.8e-05	0	0	0	4	0.52	0.2
33	0	0.0065	0	0	0.86	0	0	0.079	0	0.059	0	0	0	4	0.52	0.2
34	0	0	0.035	0	0	0	0.96	0	0	0	0	0	0	6	0.37	0
35	0.0031	0	0.022	6.7e-06	0.38	0	0.6	0	0	0	0	0	0	6	0.37	0
36	0.0021	0	0	0.0046	0.99	0	0	0	0	0	0	0	0	4	0.52	0.2
37	0	0.0054	0	0	0.99	0	0	7.4e-06	0	1.3e-05	0	0	0	4	0.52	0.2
38	0.017	0	0	0	0.98	0	0	0	0	0	0	0	0	4	0.52	0.2
39	0.0056	0	0.0029	0	0.69	0	0.3	0	0	0	0	0	0	4	0.52	0.2
40	0.0077	0	0	0.00036	0.99	0	0	0	0	0	0	0	0	4	0.52	0.2
41	0.029	0	0	0.22	0.75	0	0	2.7e-05	0	0	0	0	0	4	0.52	0.2
42	0.0086	0	0	1.1e-06	0.99	0	0	0	0	0	0	0	0	4	0.52	0.2
43	0	5.8e-06	0	0	1	0	0	0	0	0	0	0	0	4	0.52	0.2
44	0.0039	0	0	3.3e-05	1	0	0	0	0	0	0	0	0	4	0.52	0.2
45	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0.52	0.2
46	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0.52	0.2
47	0.017	0	0	0.07	0.91	0	0	0.00026	0	0	0	0	0	4	0.52	0.2
48	0	7.3e-05	0	0	1	0	0	0	0	0	0	0	0	4	0.52	0.2
49	0	0.0056	0	0	0.00097	0	0	0.072	0	0.92	0	0	0	9	0.89	0.2
50	0	0.0072	0	0	0.99	0	0	0.0037	0	0.00018	0	0	0	4	0.52	0.2
51	0	0	0	0	0	0.11	0	0	0.11	0	0	0.78	0	11	0.053	0.13
52	0.0038	0	0	0.088	0.91	0	0	0	0	0	0	0	0	4	0.52	0.2
53	0.0053	0	0.0036	0	0.67	0	0.32	0	0	0	0	0	0	4	0.52	0.2
54	0	0.12	0	0	0.8	0	0	0.052	0	0.023	0	0	0	4	0.52	0.2
55	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0.37	0.022
56	0.00012	0	0	2.7e-05	1	0	0	0	0	0	0	0	0	4	0.52	0.2
57	0.00064	0.00043	0	0.0021	1	0	0	0	0	3e-06	0	0	0	4	0.52	0.2
58	0.009	0	0	0.092	0.9	0	0	0	0	0	0	0	0	4	0.52	0.2
