SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0	dcf1
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.37	0.022
1	0.22	0.055	0	0	0	0.73	0	0	0	0	0	0	0	0	5	0.43	0
2	0	0	0.31	0.31	0.31	0	0.07	0	0	0	0.00055	0	0	0	2	0.52	0.2
3	0	0	0.0077	0.0077	0.0077	0	0	0	0	0	0	0.98	0	0	11	0.52	0.11
4	0	0	0.33	0.33	0.33	0	2e-05	0	0	0	0.0074	0	0	0	2	0.52	0.2
5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.11	0.16
6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.11	0.16
7	0.0067	0.046	0	0	0	0.95	0	0	0	0	0	3.1e-05	0	0	5	0.43	0
8	0	0	0.23	0.23	0.23	0	0.31	0	0	0	0.0026	0	0	0	6	0.63	0.2
9	0	6.6e-06	0.12	0.12	0.12	0	0	0	0	0	0	0.63	0	0	11	0.52	0.11
10	0.66	0.082	0	0	0	0.25	0	0.0018	0.0018	0	0	4.2e-06	0	0	0	0.27	0
11	0	0	0.32	0.32	0.32	0	0.047	0	0	0	0.0027	0	0	0	2	0.52	0.2
12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.11	0.16
13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.11	0.16
14	0	0.033	0.26	0.26	0.26	0	0.0026	0	0	0	0.00017	0.2	0	0	2	0.52	0.2
15	0.11	0.075	0	0	0	0.82	0	0	0	0	0	2.7e-06	0	0	5	0.43	0
16	0	0	0.32	0.32	0.32	0	0.026	0	0	0	0.0035	0	0	0	2	0.52	0.2
17	0	0	0.32	0.32	0.32	0	0	0	0	0	0	0.025	0	0	2	0.52	0.2
18	0	0	0.33	0.33	0.33	0	0.0032	0	0	0	1.3e-05	0	0	0	2	0.52	0.2
19	0	0	0.31	0.31	0.31	0	0.064	0	0	0	0.0007	0	0	0	2	0.52	0.2
20	0	0	0.32	0.32	0.32	0	0.023	0	0	0	0.0049	0	0	0	2	0.52	0.2
21	0	0	0.32	0.32	0.32	0	0.019	0	0	0	0.0028	0.0074	0	0	2	0.52	0.2
22	0	0	0.33	0.33	0.33	0	0.0026	0	0	0	0.0039	0	0	0	2	0.52	0.2
23	0	0	0.31	0.31	0.31	0	0.00089	0	0	0	5.3e-05	0.083	0	0	2	0.52	0.2
24	0	0	0.33	0.33	0.33	0	0.00024	0	0	0	0.00041	0	0	0	2	0.52	0.2
25	0	0	0.32	0.32	0.32	0	0.036	0	0	0	0.0011	0	0	0	2	0.52	0.2
26	0	0	0.31	0.31	0.31	0	0.004	0	0	0	0.08	0	0	0	2	0.52	0.2
27	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.11	0.16
28	0	0	0.29	0.29	0.29	0	0.11	0	0	0	0.0031	0	0	0	2	0.52	0.2
29	0	1.4e-05	0	0	0	1	0	0	0	0	0	0	0	0	5	0.43	0
30	0.13	0.00039	0	0	0	0.87	0	0	0	0	0	0	0	0	5	0.43	0
31	0	0	0.0051	0.0051	0.0051	0	0	0	0	5.2e-05	0	0.98	0	0	11	0.52	0.11
32	0	0	0.33	0.33	0.33	0	0.012	0	0	0	0.0048	5.8e-06	0	0	2	0.52	0.2
33	0	0	0.33	0.33	0.33	0	0.0091	0	0	0	0.0003	0	0	0	2	0.52	0.2
34	0.96	0.012	0	0	0	0.031	0	0.00047	0.00047	0	0	0	0	0	0	0.27	0
35	0.036	0.025	0.14	0.14	0.14	0.53	0	0	0	0	0	7.2e-06	0	0	5	0.43	0
36	0	0	0.33	0.33	0.33	0	1.2e-05	0	0	0	0.00027	0.0046	0	0	2	0.52	0.2
37	0	0	0.32	0.32	0.32	0	0.033	0	0	0	0.0077	0	0	0	2	0.52	0.2
38	0	0	0.33	0.33	0.33	0	0	0	0	0	0	0	0	0	2	0.52	0.2
39	0.00027	0.0023	0.18	0.18	0.18	0.46	0	0	0	0	0	0	0	0	5	0.43	0
40	0	0	0.33	0.33	0.33	0	0	0	0	0	0	0.00035	0	0	2	0.52	0.2
41	0	0	0.26	0.26	0.26	0	0	0	0	0	0	0.23	0	0	2	0.52	0.2
42	0	0	0.33	0.33	0.33	0	0	0	0	0	0	1.1e-06	0	0	2	0.52	0.2
43	0	0	0.33	0.33	0.33	0	0.0036	0	0	0	0.0022	0	0	0	2	0.52	0.2
44	0	0	0.33	0.33	0.33	0	0	0	0	0	0	3.3e-05	0	0	2	0.52	0.2
45	0	0	0.28	0.28	0.28	0	0.001	0	0	0	0.16	0	0	0	2	0.52	0.2
46	0	0	0.33	0.33	0.33	0	3e-05	0	0	0	0.00085	0	0	0	2	0.52	0.2
47	0	0	0.31	0.31	0.31	0	0	0	0	0	0	0.07	0	0	2	0.52	0.2
48	0	0	0.33	0.33	0.33	0	0.015	0	0	0	0.001	0	0	0	2	0.52	0.2
49	0	0	0.33	0.33	0.33	0	0	0	0	0	0.0011	0	0	0	2	0.52	0.2
50	0	0	0.27	0.27	0.27	0	0.019	0	0	0	0.18	0	0	0	2	0.52	0.2
51	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.11	0.16
52	0	0	0.3	0.3	0.3	0	0	0	0	0	0	0.087	0	0	2	0.52	0.2
53	0.00047	0.0029	0.18	0.18	0.18	0.47	0	0	0	0	0	0	0	0	5	0.43	0
54	0	0	0.29	0.29	0.29	0	0.11	0	0	0	0.028	0	0	0	2	0.52	0.2
55	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.37	0.022
56	0	0	0.33	0.33	0.33	0	0.00028	0	0	0	0.0019	2.7e-05	0	0	2	0.52	0.2
57	0	0	0.33	0.33	0.33	0	0.0044	0	0	0	0.0042	0.002	0	0	2	0.52	0.2
58	0	0	0.3	0.3	0.3	0	0	0	0	0	0	0.091	0	0	2	0.52	0.2
59	0.95	0.0019	0	0	0	0.043	0	0	0	0	0	0	0	0	0	0.27	0
60	0	0	0.33	0.33	0.33	0	0	0	0	0	0	0.00025	0	0	2	0.52	0.2
61	0	0	0.33	0.33	0.33	0	0	0	0	0	0	0.0073	0	0	2	0.52	0.2
62	1	0.00071	0	0	0	0.0035	0	0	0	0	0	0	0	0	0	0.27	0
63	0	0	0.33	0.33	0.33	0	0	0	0	0	0	0.013	0	0	2	0.52	0.2
64	0.75	0.044	0	0	0	0.2	0	0.001	0.001	0	0	0	0	0	0	0.27	0
65	0	0	0.33	0.33	0.33	0	0.0045	0	0	0	0.0012	0	0	0	2	0.52	0.2
66	0	0	0.33	0.33	0.33	0	1e-05	0	0	0	3.9e-05	0	0	0	2	0.52	0.2
67	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.11	0.16
68	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.11	0.16
69	0	0	0.29	0.29	0.29	0	0	0	0	0	0	0.14	0	0	2	0.52	0.2
70	0.32	0.16	2e-05	2e-05	2e-05	0.52	0	0.0013	0.0013	8.4e-06	0	0.00048	0	0	5	0.43	0
71	0	0	0.33	0.33	0.33	0	0.00047	0	0	0	0.00045	0	0	0	2	0.52	0.2
72	0.68	0.039	0	0	0	0.28	0	5.6e-06	5.6e-06	0	0	0	0	0	0	0.27	0
73	0	0	0.33	0.33	0.33	0	0.00069	0	0	0	8.1e-05	0	0	0	2	0.52	0.2
74	0	0	0.33	0.33	0.33	0	0.00023	0	0	0	6e-05	0.01	0	0	2	0.52	0.2
75	0	0	0.24	0.24	0.24	0	0.034	0	0	0	2.2e-05	0.24	0	0	2	0.52	0.2
76	0	0	0.33	0.33	0.33	0	0.011	0	0	0	0.00048	0	0	0	2	0.52	0.2
77	0	0	0.063	0.063	0.063	0	0	0	0	0	0	0.81	0	0	11	0.52	0.11
78	0	0	0.32	0.32	0.32	0	0.00014	0	0	0	0.045	0	0	0	2	0.52	0.2
79	0	0	0.032	0.032	0.032	0	0	0	0	0	0	0.9	0	0	11	0.52	0.11
80	0	0	0.32	0.32	0.32	0	0.052	0	0	0	8.3e-05	1.2e-05	0	0	2	0.52	0.2
81	0	0	0.33	0.33	0.33	0	8e-06	0	0	0	0.0076	0	0	0	2	0.52	0.2
82	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0.11	0.16
