SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0	dcf1
0	0	0	0	0	0	0.96	0.039	0	5	0	0.58
1	0	1	9.2e-06	8.7e-05	0	0	0	0	1	0.27	0.74
2	0	0.0078	0.074	0.9	0.016	0	0	0	3	0.41	0.74
3	0	9.6e-06	0.087	0.83	0.088	0	0	0	3	0.41	0.74
4	0	0.92	0.0057	0.079	0	0	0	0	1	0.27	0.74
5	0	0.072	0.037	0.89	8.7e-06	0	0	0	3	0.41	0.74
6	0	0.0071	0.052	0.91	0.027	0	0	0	3	0.41	0.74
7	0	0.016	0.036	0.95	0.00068	0	0	0	3	0.41	0.74
8	1	0	0	0	0	0	0	0	0	0.14	0.058
9	0	0.018	0.05	0.93	0.00071	0	0	0	3	0.41	0.74
10	0	0.046	0.23	0.72	0.00021	0	0	0	3	0.41	0.74
11	0	0	0.17	0.82	0.013	0	0	0	3	0.41	0.74
12	0	0	0	0	0	1	2.4e-06	0	5	0	0.58
13	0	0.88	0.0054	0.11	6.7e-06	0	0	0	1	0.27	0.74
14	0	0.34	0.035	0.63	0	0	0	0	3	0.41	0.74
15	0	1	4.1e-05	0.00095	0	0	0	0	1	0.27	0.74
16	0	0	0.18	0.82	0	0	0	0	3	0.41	0.74
17	0	2.6e-05	0.24	0.75	0.005	0	0	0	3	0.41	0.74
18	0	0.0087	0.14	0.85	0.0082	0	0	0	3	0.41	0.74
19	0	0.99	0.0006	0.011	0	0	0	0	1	0.27	0.74
20	0	1	0.00071	0.0029	0	0	0	0	1	0.27	0.74
21	0	0.04	0.28	0.66	0.021	0	0	0	3	0.41	0.74
22	0	0.15	0.18	0.67	2.1e-05	0	0	0	3	0.41	0.74
23	0	0.33	0.14	0.51	0.02	0	0	0	3	0.41	0.74
24	0	7.8e-05	0.33	0.66	0.0029	0	0	0	3	0.41	0.74
25	0	0.00096	0.016	0.98	0	0	0	0	3	0.41	0.74
26	0	0.099	0.19	0.69	0.023	0	0	0	3	0.41	0.74
27	0	0.88	0.026	0.099	0.0002	0	4.2e-05	0	1	0.27	0.74
28	0	0.84	0.037	0.12	0	0	0	0	1	0.27	0.74
29	1.7e-05	0.00065	2.3e-06	1.4e-05	0	0.98	0.016	0	5	0	0.58
30	0	0.13	0.23	0.64	0.00011	0	0	0	3	0.41	0.74
31	0.021	0	0.98	0	0	0	0	0	2	0.41	0.8
32	1	0	0	0	0	0	0	0	0	0.14	0.058
33	0	0	0	0	0	0	0.13	0.87	7	0.091	0
34	0.0044	0.0041	0	0	0	0	0.0066	0.98	7	0.091	0
35	0	1	0	0	0	0	0	0	1	0.27	0.74
36	0	0.039	0.2	0.67	0.086	0	0	0	3	0.41	0.74
37	0	0	0	0	0	1	0	0	5	0	0.58
38	0	0.00061	0.15	0.84	0.0036	0	0	0	3	0.41	0.74
39	0	0.24	0.16	0.6	3.7e-06	0	0	0	3	0.41	0.74
40	0	1	0.00011	0.0025	0	0	0	0	1	0.27	0.74
41	0	0.017	0.15	0.78	0.053	0	0	0	3	0.41	0.74
42	0	1e-06	0.12	0.33	0.56	0	0	0	4	0.57	0.74
43	0	0.00013	0.17	0.83	0	0	0	0	3	0.41	0.74
44	1	0	0	0	0	0	0	0	0	0.14	0.058
45	0	0.038	0.11	0.85	0.0027	0	0	0	3	0.41	0.74
46	0.0037	0	0	0	0	0	0	1	7	0.091	0
