SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	0	0.0016	0	0	0	0	0	1	15	0	0.58
1	1.8e-06	0	1e-06	0.00042	1	0	0	0	3.6e-05	0	0	0	0	0	0	0	4	0.23	0.74
2	0.036	0.0045	0.02	0.0022	0.00012	0	0.022	0	0.91	0	0	0	0	0	0	0	8	0.41	0.74
3	0.041	0.021	0.023	9.1e-05	0	0	0.11	0	0.8	0	0	0	0	0	0	0	8	0.41	0.74
4	0.014	0	0.008	0	0.57	0	6.4e-06	0	0.41	0	0	0	0	0	0	0	4	0.23	0.74
5	0.02	0	0.011	0	0.0012	0	0.00022	1.7e-06	0.97	0	0	0	0	0	0	0	8	0.41	0.74
6	0.026	0.0083	0.014	0.0016	0.00012	0	0.023	7.4e-06	0.93	0	0	0	0	0	0	0	8	0.41	0.74
7	0.018	0.00014	0.0099	0	0.00031	0	0.0024	2.5e-06	0.97	0	0	0	0	0	0	0	8	0.41	0.74
8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0.14	0.029
9	0.025	0.00012	0.014	0.004	0.00021	0	0.0032	1.8e-06	0.95	0	0	0	0	0	0	0	8	0.41	0.74
10	0.13	4.2e-05	0.069	0	0.0017	0	0.0032	0	0.8	0	0	0	0	0	0	0	8	0.41	0.74
11	0.085	0.005	0.047	0	0	0	0.017	0	0.85	0	0	0	0	0	0	0	8	0.41	0.74
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0.58
13	0.004	1.9e-06	0.0022	0	0.83	0	6.5e-05	1.9e-05	0.17	0	4.4e-05	0	0	0	0	0	4	0.23	0.74
14	0.026	0	0.014	0	0.0058	0	1.2e-05	0	0.95	0	0	0	0	0	0	0	8	0.41	0.74
