SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	0	0.00017	0	0	3.2e-06	1	0	13	0	0.74
1	0.016	0	4e-05	0.98	3.9e-06	0	0	0	0	0	0	0	4.3e-06	0	0	3	0.23	0.74
2	0.034	0.0048	0.88	0.0001	0.067	0	0	0	0.015	0	0	0	0	0	0	2	0.41	0.74
3	0.00078	0.024	0.8	0	0.078	0	0	0	0.094	0	0	0	0	0	0	2	0.41	0.74
4	0.68	0	0.14	0.17	0.0095	0	0	0	0	0	0	0	0	0	0	0	0.32	0.74
5	0.16	0	0.8	0.00087	0.031	0	0	0	5.4e-05	0	0	0	0	0	0	2	0.41	0.74
6	0.031	0.0088	0.9	0.0001	0.048	0	0	0	0.018	0	0	0	0	0	0	2	0.41	0.74
7	0.05	0.00014	0.92	0.00026	0.032	0	0	0	0.0012	0	0	0	0	0	0	2	0.41	0.74
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0.14	0.029
9	0.075	0.00012	0.88	0.00017	0.044	0	0	0	0.0014	0	0	0	0	0	0	2	0.41	0.74
10	0.084	4.1e-05	0.7	0.0013	0.21	0	0	0	0.0013	0	0	0	0	0	0	2	0.41	0.74
11	0	0.0054	0.82	0	0.16	0	0	0	0.013	0	0	0	0	0	0	2	0.41	0.74
12	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0014	0	9	0	0.49
13	0.25	1.7e-06	0.14	0.6	0.0064	0	4.2e-05	0	2.3e-05	0	0	0	6.5e-06	0	0	3	0.23	0.74
14	0.5	0	0.47	0.0025	0.025	0	0	0	0	0	0	0	0	0	0	0	0.32	0.74
15	0.38	0	0.0028	0.62	0.00011	0	0	0	0	0	0	0	0	0	0	3	0.23	0.74
16	0	0	0.83	0	0.17	0	0	0	1.8e-05	0	0	0	0	0	0	2	0.41	0.74
17	0.0012	0.0011	0.75	0	0.22	0	0	0	0.022	0	0	0	0	0	0	2	0.41	0.74
18	0.037	0.0022	0.83	0.00011	0.12	0	0	0	0.013	0	0	0	0	0	0	2	0.41	0.74
19	0.25	0	0.017	0.73	0.00085	0	0	0	0	0	0	0	0	0	0	3	0.23	0.74
20	0.074	0	0.0024	0.92	0.00054	0	0	0	0	0	0	0	2.4e-05	0	0	3	0.23	0.74
21	0.064	0.0077	0.65	0.0024	0.25	0	0	0	0.03	0	0	0	0	0	0	2	0.41	0.74
22	0.27	2.2e-06	0.59	0.0029	0.14	0	0	0	0.00019	0	0	0	0	0	0	2	0.41	0.74
23	0.18	0.0098	0.54	0.11	0.14	0	6.4e-06	0	0.019	0	0	0	1.3e-05	0	0	2	0.41	0.74
24	0.0032	0.00054	0.67	0	0.31	0	0	0	0.017	0	0	0	0	0	0	2	0.41	0.74
25	0.038	0	0.95	0	0.014	0	0	0	1.1e-05	0	0	0	0	0	0	2	0.41	0.74
26	0.11	0.009	0.68	0.011	0.17	0	0	0	0.024	0	0	0	0	0	0	2	0.41	0.74
27	0.18	6e-05	0.096	0.7	0.023	0	0	0	0.00035	0	0	0	0.0026	0	0	3	0.23	0.74
28	0.67	0	0.17	0.11	0.049	0	0	0	5.9e-06	0	0	0	0	0	0	0	0.32	0.74
29	5.5e-05	0	1.2e-05	0.0012	1.8e-06	0	0	0	0	0.78	0	0.0016	0.003	0.21	0	9	0	0.49
30	0.2	1.7e-05	0.59	0.0038	0.2	0	0	0	0.00072	0	0	0	0	0	0	2	0.41	0.74
31	0	0	0	0	0.92	0	0	0	0.065	0	0	0	0	0	0.012	4	0.41	0.8
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0.14	0.029
33	0	0	0	0	0	0	0	0.94	0	0	0	0	0.055	0	4.4e-06	7	0.091	0
34	8.3e-05	0	0	0.027	0	0	0	0.9	0	0	0	0	0.053	0	0.021	7	0.091	0
35	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0.23	0.33
36	0.054	0.041	0.65	0.0033	0.18	0	0	0	0.065	0	0	0	0	0	0	2	0.41	0.74
37	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0.49
38	0.01	0.00073	0.84	1e-06	0.14	0	0	0	0.011	0	0	0	0	0	0	2	0.41	0.74
39	0.37	0	0.51	0.0038	0.12	0	0	0	5.5e-05	0	0	0	0	0	0	2	0.41	0.74
40	0.49	0	0.0067	0.5	0.00027	0	0	0	0	0	0	0	0	0	0	3	0.23	0.74
41	0.04	0.021	0.76	0.00059	0.14	0	0	0	0.044	0	0	0	0	0	0	2	0.41	0.74
42	6.3e-05	0.23	0.26	0	0.088	0	0	0	0.42	0	0	0	0	0	0	8	0.53	0.77
43	0.013	0	0.83	0	0.16	0	0	0	4.2e-05	0	0	0	0	0	0	2	0.41	0.74
44	0	0	0	0	0	0	0.00047	0	0	0	0	0	0	0	1	14	0.14	0.029
45	0.089	0.00064	0.81	0.00091	0.096	0	0	0	0.0047	0	0	0	0	0	0	2	0.41	0.74
46	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0	0.012	7	0.091	0
47	0.23	0.0031	0.5	0.16	0.1	0	1.3e-06	0	0.0081	0	0	0	9.2e-06	0	0	2	0.41	0.74
48	2.5e-06	0	1.1e-06	6.3e-06	0	0	1	0	0	0	0	0	0	0	0	6	0.23	0.33
