SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0	dcf1
0	0	0	1	0	2	0	0.74
1	1	0	0	0	0	0.41	0.74
2	1	0	0	0	0	0.41	0.74
3	1	0	0	0	0	0.41	0.74
4	1	0	0	0	0	0.41	0.74
5	1	0	0	0	0	0.41	0.74
6	1	0	0	0	0	0.41	0.74
7	1	0	0	0	0	0.41	0.74
8	0	0	0	1	3	0.091	0.058
9	1	0	0	0	0	0.41	0.74
10	1	0	0	0	0	0.41	0.74
11	1	0	0	0	0	0.41	0.74
12	0	0	1	0	2	0	0.74
13	1	0	0	0	0	0.41	0.74
14	1	0	0	0	0	0.41	0.74
15	1	0	0	0	0	0.41	0.74
16	1	0	0	0	0	0.41	0.74
17	1	0	0	0	0	0.41	0.74
18	1	0	0	0	0	0.41	0.74
19	1	0	0	0	0	0.41	0.74
20	1	0	0	0	0	0.41	0.74
21	1	0	0	0	0	0.41	0.74
22	1	0	0	0	0	0.41	0.74
23	1	0	0	0	0	0.41	0.74
24	1	0	0	0	0	0.41	0.74
25	1	0	0	0	0	0.41	0.74
26	1	0	0	0	0	0.41	0.74
27	1	0	0	0	0	0.41	0.74
28	1	0	0	0	0	0.41	0.74
29	4.1e-05	0	1	8.8e-05	2	0	0.74
30	1	0	0	0	0	0.41	0.74
31	0	0	0	1	3	0.091	0.058
32	0	0	0	1	3	0.091	0.058
33	0	1	0	8.6e-06	1	0.091	0
34	0	0.99	0	0.0055	1	0.091	0
35	1	0	0	0	0	0.41	0.74
36	1	0	0	0	0	0.41	0.74
37	0	0	1	0	2	0	0.74
38	1	0	0	0	0	0.41	0.74
39	1	0	0	0	0	0.41	0.74
40	1	0	0	0	0	0.41	0.74
41	1	0	0	0	0	0.41	0.74
42	1	0	0	0	0	0.41	0.74
43	1	0	0	0	0	0.41	0.74
44	0	0	0	1	3	0.091	0.058
45	1	0	0	0	0	0.41	0.74
46	0	0.99	0	0.013	1	0.091	0
47	1	0	0	0	0	0.41	0.74
48	0.46	0	0	0.54	3	0.091	0.058
49	1	0	0	0	0	0.41	0.74
50	0	1	0	0.00036	1	0.091	0
51	1	0	0	0	0	0.41	0.74
52	1	0	0	0	0	0.41	0.74
53	1	0	0	0	0	0.41	0.74
54	0	0	1	0	2	0	0.74
55	0	0.99	0	0.015	1	0.091	0
56	1	0	0	0	0	0.41	0.74
57	1	0	0	0	0	0.41	0.74
58	1	0	0	0	0	0.41	0.74
59	1	0	0	0	0	0.41	0.74
60	1	0	0	0	0	0.41	0.74
61	1	0	0	0	0	0.41	0.74
62	0	1	0	0.0018	1	0.091	0
63	1	0	0	0	0	0.41	0.74
64	1	0	0	0	0	0.41	0.74
65	1	0	0	0	0	0.41	0.74
66	0	0	1	0	2	0	0.74
67	0	1	0	0.00014	1	0.091	0
68	1	0	0	0	0	0.41	0.74
69	1	0	0	0	0	0.41	0.74
70	0	1	0	0.00033	1	0.091	0
71	0	1	0	8.7e-06	1	0.091	0
72	0	1	0	2.8e-05	1	0.091	0
73	1	0	0	0	0	0.41	0.74
74	0	0	0	1	3	0.091	0.058
75	1	0	0	0	0	0.41	0.74
76	0	0.99	0	0.0064	1	0.091	0
77	0	1	0	0.00081	1	0.091	0
78	1	0	0	0	0	0.41	0.74
79	1	0	0	0	0	0.41	0.74
80	1	0	0	0	0	0.41	0.74
81	1	0	0	0	0	0.41	0.74
82	0	1	0	0.00039	1	0.091	0
83	0	0	1	0	2	0	0.74
84	1	0	0	0	0	0.41	0.74
85	1	0	0	0	0	0.41	0.74
86	1	0	0	0	0	0.41	0.74
87	1	0	0	0	0	0.41	0.74
88	1	0	0	0	0	0.41	0.74
89	1	0	0	0	0	0.41	0.74
90	1	0	0	0	0	0.41	0.74
91	1	0	0	0	0	0.41	0.74
92	1	0	0	0	0	0.41	0.74
93	0	0	1	0	2	0	0.74
94	0	0	1	0	2	0	0.74
95	0	1	0	0.00032	1	0.091	0
96	1	0	0	0	0	0.41	0.74
97	1	0	0	0	0	0.41	0.74
98	0	0	1	0	2	0	0.74
99	1	0	0	0	0	0.41	0.74
100	0	0.98	0	0.022	1	0.091	0
101	1	0	0	0	0	0.41	0.74
102	0	1	0	1.6e-05	1	0.091	0
103	1	0	0	0	0	0.41	0.74
104	1	0	0	0	0	0.41	0.74
105	0	0	1	0	2	0	0.74
106	1	0	0	0	0	0.41	0.74
107	1	0	0	0	0	0.41	0.74
108	1	0	0	0	0	0.41	0.74
109	1	0	0	0	0	0.41	0.74
110	1	0	0	0	0	0.41	0.74
111	0	1	0	0.00011	1	0.091	0
112	1	0	0	0	0	0.41	0.74
113	1	0	0	0	0	0.41	0.74
114	1	0	0	0	0	0.41	0.74
115	1	0	0	0	0	0.41	0.74
116	1	0	0	0	0	0.41	0.74
117	0	0	1	0	2	0	0.74
118	1	0	0	0	0	0.41	0.74
119	1	0	0	0	0	0.41	0.74
120	1	0	0	0	0	0.41	0.74
121	1	0	0	0	0	0.41	0.74
122	1	0	0	0	0	0.41	0.74
123	1	0	0	0	0	0.41	0.74
124	1	0	0	0	0	0.41	0.74
125	1	0	0	0	0	0.41	0.74
126	0	1	0	0.00087	1	0.091	0
127	1	0	0	0	0	0.41	0.74
128	0	1	0	0.00075	1	0.091	0
129	0	1	0	9.9e-05	1	0.091	0
130	1	0	0	0	0	0.41	0.74
131	1	0	0	0	0	0.41	0.74
132	1	0	0	0	0	0.41	0.74
133	1	0	0	0	0	0.41	0.74
134	1	0	0	0	0	0.41	0.74
135	1	0	0	0	0	0.41	0.74
136	1	0	0	0	0	0.41	0.74
137	1	0	0	0	0	0.41	0.74
138	0	0	0	1	3	0.091	0.058
139	1	0	0	0	0	0.41	0.74
140	1	0	0	0	0	0.41	0.74
141	1	0	0	0	0	0.41	0.74
142	1	0	0	0	0	0.41	0.74
143	0	1	0	0.0018	1	0.091	0
144	1	0	0	0	0	0.41	0.74
145	1	0	0	0	0	0.41	0.74
146	1	0	0	0	0	0.41	0.74
147	0	1	0	0.0036	1	0.091	0
148	1	0	0	0	0	0.41	0.74
149	0	0	1	0	2	0	0.74
150	1	0	0	0	0	0.41	0.74
151	1	0	0	0	0	0.41	0.74
152	1	0	0	0	0	0.41	0.74
153	1	0	0	0	0	0.41	0.74
154	1	0	0	0	0	0.41	0.74
155	1	0	0	0	0	0.41	0.74
156	1	0	0	0	0	0.41	0.74
157	1	0	0	0	0	0.41	0.74
158	1	0	0	0	0	0.41	0.74
159	1	0	0	0	0	0.41	0.74
160	1	0	0	0	0	0.41	0.74
161	1	0	0	0	0	0.41	0.74
162	0	1	0	0.00038	1	0.091	0
163	1	0	0	0	0	0.41	0.74
164	0	0	0	1	3	0.091	0.058
165	1	0	0	0	0	0.41	0.74
166	1	0	0	0	0	0.41	0.74
167	1	0	0	0	0	0.41	0.74
168	1	0	0	0	0	0.41	0.74
169	1	0	0	0	0	0.41	0.74
170	1	0	0	0	0	0.41	0.74
171	0	1	0	0.0013	1	0.091	0
172	1	0	0	0	0	0.41	0.74
173	1	0	0	0	0	0.41	0.74
174	1	0	0	0	0	0.41	0.74
175	1	0	0	0	0	0.41	0.74
176	1	0	0	0	0	0.41	0.74
177	0	1	0	0	1	0.091	0
178	1	0	0	0	0	0.41	0.74
179	0	0	0	1	3	0.091	0.058
180	0	0.95	0	0.053	1	0.091	0
181	1	0	0	0	0	0.41	0.74
182	0	0	0	1	3	0.091	0.058
183	0	0	1	0	2	0	0.74
184	0	0	1	0	2	0	0.74
185	0	0	1	0	2	0	0.74
186	0	0	1	0	2	0	0.74
187	1	0	0	0	0	0.41	0.74
188	1	0	0	0	0	0.41	0.74
189	1	0	0	0	0	0.41	0.74
190	1	0	0	0	0	0.41	0.74
191	0	0	1	0	2	0	0.74
192	1	0	0	0	0	0.41	0.74
193	1	0	0	0	0	0.41	0.74
194	1	0	0	0	0	0.41	0.74
195	1	0	0	0	0	0.41	0.74
196	0	0.99	0	0.01	1	0.091	0
197	1	0	0	0	0	0.41	0.74
198	1	0	0	0	0	0.41	0.74
199	0	1	0	0.00015	1	0.091	0
200	1	0	0	0	0	0.41	0.74
201	0	1	0	0.00055	1	0.091	0
202	1	0	0	0	0	0.41	0.74
203	1	0	0	0	0	0.41	0.74
204	1	0	0	0	0	0.41	0.74
205	0	0	0	1	3	0.091	0.058
206	1	0	0	0	0	0.41	0.74
207	0	0	1	0	2	0	0.74
208	1	0	0	0	0	0.41	0.74
209	0	1	0	4.6e-05	1	0.091	0
210	1	0	0	0	0	0.41	0.74
211	1	0	0	0	0	0.41	0.74
212	1	0	0	0	0	0.41	0.74
213	0	0	0	1	3	0.091	0.058
214	1	0	0	0	0	0.41	0.74
215	1	0	0	0	0	0.41	0.74
216	0	1	0	9.3e-06	1	0.091	0
217	1	0	0	0	0	0.41	0.74
218	1	0	0	0	0	0.41	0.74
219	1	0	0	0	0	0.41	0.74
220	0	1	0	0.00019	1	0.091	0
221	0	1	0	2.6e-05	1	0.091	0
222	0	0	1	0	2	0	0.74
223	1	0	0	0	0	0.41	0.74
224	1	0	0	0	0	0.41	0.74
225	1	0	0	0	0	0.41	0.74
226	1	0	0	0	0	0.41	0.74
227	1	0	0	0	0	0.41	0.74
228	0	1	0	0.0031	1	0.091	0
229	1	0	0	0	0	0.41	0.74
230	1	0	0	0	0	0.41	0.74
231	0	0	0	1	3	0.091	0.058
232	1	0	0	0	0	0.41	0.74
233	1	0	0	0	0	0.41	0.74
234	0	0	0	1	3	0.091	0.058
235	0	1	0	6.6e-06	1	0.091	0
236	1	0	0	0	0	0.41	0.74
237	0.0013	0.98	0	0.018	1	0.091	0
238	1	0	0	0	0	0.41	0.74
239	0	1	0	3.8e-05	1	0.091	0
240	0.94	0.06	0	7.2e-06	0	0.41	0.74
241	1	0	0	0	0	0.41	0.74
242	0	0	1	0	2	0	0.74
243	1	0	0	0	0	0.41	0.74
244	1	0	0	0	0	0.41	0.74
245	1	0	0	0	0	0.41	0.74
246	1	0	0	0	0	0.41	0.74
247	0	1	0	0.00061	1	0.091	0
248	0	0	1	0	2	0	0.74
249	1	0	0	0	0	0.41	0.74
250	1	0	0	0	0	0.41	0.74
251	1	0	0	0	0	0.41	0.74
252	1	0	0	0	0	0.41	0.74
253	0	0	0	1	3	0.091	0.058
254	1	0	0	0	0	0.41	0.74
255	0	0	0	1	3	0.091	0.058
256	0	1	0	0	1	0.091	0
257	1	0	0	0	0	0.41	0.74
258	0	1	0	0.001	1	0.091	0
259	1	0	0	0	0	0.41	0.74
260	1	0	0	0	0	0.41	0.74
261	0	0	0	1	3	0.091	0.058
262	1	0	0	0	0	0.41	0.74
263	1	0	0	0	0	0.41	0.74
264	1	0	0	0	0	0.41	0.74
265	0	0	1	0	2	0	0.74
266	0	0	1	3.9e-06	2	0	0.74
267	0	0	1	0	2	0	0.74
268	1	0	0	0	0	0.41	0.74
269	1	0	0	0	0	0.41	0.74
270	0	1	0	2.6e-05	1	0.091	0
271	1	0	0	0	0	0.41	0.74
272	1	0	0	0	0	0.41	0.74
273	1	0	0	0	0	0.41	0.74
274	1	0	0	0	0	0.41	0.74
275	1	0	0	0	0	0.41	0.74
276	1	0	0	0	0	0.41	0.74
277	0	1	0	0.00032	1	0.091	0
278	1	0	0	0	0	0.41	0.74
279	0	0	1	0	2	0	0.74
280	1	0	0	0	0	0.41	0.74
281	1	0	0	0.0016	0	0.41	0.74
282	0	0	1	0	2	0	0.74
283	1	0	0	0	0	0.41	0.74
284	1	0	0	0	0	0.41	0.74
285	0	0	1	0	2	0	0.74
286	0	1	0	0	1	0.091	0
287	1	0	0	0	0	0.41	0.74
288	0	0	1	0	2	0	0.74
289	1	0	0	0	0	0.41	0.74
290	1	0	0	0	0	0.41	0.74
291	0.66	0	0.34	0	0	0.41	0.74
292	1	0	0	0	0	0.41	0.74
293	1	0	0	0	0	0.41	0.74
294	1	0	0	0	0	0.41	0.74
295	1	0	0	0	0	0.41	0.74
296	1	0	0	0	0	0.41	0.74
297	0.66	0	0.34	0	0	0.41	0.74
298	0	1	0	9e-05	1	0.091	0
299	1	0	0	0	0	0.41	0.74
300	0	1	0	0.00034	1	0.091	0
301	0	0	0	1	3	0.091	0.058
302	1	0	0	0	0	0.41	0.74
303	0	0	1	0	2	0	0.74
304	1	0	0	0	0	0.41	0.74
305	0	1	0	0.0041	1	0.091	0
306	1	0	0	0	0	0.41	0.74
307	0	0.99	0	0.012	1	0.091	0
308	1	0	0	0	0	0.41	0.74
309	0	0	0	1	3	0.091	0.058
310	1	0	0	0	0	0.41	0.74
311	1	0	0	0	0	0.41	0.74
312	1	0	0	0	0	0.41	0.74
313	1	0	0	0	0	0.41	0.74
314	1	0	0	0	0	0.41	0.74
315	1	0	0	0	0	0.41	0.74
316	1	0	0	0	0	0.41	0.74
317	0	0.99	0	0.0056	1	0.091	0
318	1	0	0	0	0	0.41	0.74
319	1	0	0	0	0	0.41	0.74
320	1	0	0	0	0	0.41	0.74
321	1	0	0	0	0	0.41	0.74
322	1	0	0	0	0	0.41	0.74
323	1	0	0	0	0	0.41	0.74
324	1	0	0	0	0	0.41	0.74
325	1	0	0	0	0	0.41	0.74
326	0	0	0	1	3	0.091	0.058
327	1	0	0	0	0	0.41	0.74
328	1	0	0	0	0	0.41	0.74
329	1	0	0	0	0	0.41	0.74
330	1	0	0	0	0	0.41	0.74
331	0	1	0	0.0019	1	0.091	0
332	1	0	0	0	0	0.41	0.74
333	1	0	0	0	0	0.41	0.74
334	1	0	0	0	0	0.41	0.74
335	1	0	0	0	0	0.41	0.74
336	0	1	0	0.0019	1	0.091	0
337	1	0	0	0	0	0.41	0.74
338	0	0	0	1	3	0.091	0.058
339	1	0	0	0	0	0.41	0.74
340	1	0	0	0	0	0.41	0.74
341	0	1	0	7e-05	1	0.091	0
342	0	0	0	1	3	0.091	0.058
343	0	0	0	1	3	0.091	0.058
344	1	0	0	0	0	0.41	0.74
345	1	0	0	0	0	0.41	0.74
346	0	0	0	1	3	0.091	0.058
347	1	0	0	0	0	0.41	0.74
348	1	0	0	0	0	0.41	0.74
349	1	0	0	0	0	0.41	0.74
350	1	0	0	0	0	0.41	0.74
351	1	0	0	0	0	0.41	0.74
352	1	0	0	0	0	0.41	0.74
353	1	0	0	0	0	0.41	0.74
354	1	0	0	0	0	0.41	0.74
355	1	0	0	0	0	0.41	0.74
356	1	0	0	0	0	0.41	0.74
357	0	0	1	0	2	0	0.74
358	1	0	0	0	0	0.41	0.74
359	1	0	0	0	0	0.41	0.74
360	1	0	0	0	0	0.41	0.74
361	0	0	0	1	3	0.091	0.058
362	1	0	0	0	0	0.41	0.74
363	1	0	0	0	0	0.41	0.74
364	1	0	0	0	0	0.41	0.74
365	1	0	0	0	0	0.41	0.74
366	1	0	0	0	0	0.41	0.74
367	0	0	1	0	2	0	0.74
368	0	0	1	0	2	0	0.74
369	1	0	0	0	0	0.41	0.74
370	1	0	0	0	0	0.41	0.74
371	0	1	0	1.7e-06	1	0.091	0
372	0	0	1	0	2	0	0.74
373	0	0	1	0	2	0	0.74
