SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	0	0	1	0.00019	0	0.0006	0	0	0	0	10	0	0.74
1	3.6e-05	0	0	0	0	0	0.015	0	0	0	0	0	3.5e-06	0	0	0.99	0	0	15	0.23	0.74
2	0.86	0	0	0.0019	0	0.028	0.032	0	0	0	0	0	0.064	0	0.017	0.00011	0	0	0	0.41	0.74
3	0.76	0	0	0.0079	1.2e-06	0.062	0.00071	0	0	0	0	0	0.073	0	0.1	0	0	0	0	0.41	0.74
4	0.14	0	0	0	0	0.00016	0.66	0	0	0	0	0	0.0094	0	0	0.19	0	0	6	0.32	0.74
5	0.81	0	0	0	0	0.0031	0.16	0	0	0	0	0	0.031	0	6.2e-05	0.00095	0	0	0	0.41	0.74
6	0.87	0	0	0.0037	0	0.031	0.029	0	0	0	0	0	0.046	0	0.02	0.00011	0	6e-06	0	0.41	0.74
7	0.91	0	0	4.2e-05	0	0.0085	0.048	0	0	0	0	0	0.031	0	0.0014	0.00028	0	0	0	0.41	0.74
8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0.14	0.029
9	0.87	0	0	3e-05	0	0.016	0.072	0	0	0	0	0	0.043	0	0.0016	0.00018	0	0	0	0.41	0.74
10	0.7	0	0	1.1e-05	2.9e-06	0.005	0.081	0	0	0	0	0	0.21	0	0.0015	0.0015	0	0	0	0.41	0.74
11	0.81	0	0	0.0028	9.1e-05	0.017	0	0	0	0	0	0	0.15	0	0.015	0	0	0	0	0.41	0.74
12	0	0	0	0	0	0	0	0	0	0	0.0013	1	0	0	0	0	0	0	11	0	0.49
13	0.13	0	0	0	0	0.00046	0.23	0	0	0	0	0	0.006	0	2.5e-05	0.63	0	3.7e-05	15	0.23	0.74
14	0.48	0	0	0	0	0.00062	0.49	0	0	0	0	0	0.025	0	0	0.0028	0	0	6	0.32	0.74
15	0.0027	0	0	0	0	0	0.35	0	0	0	0	0	0.00011	0	0	0.65	0	0	15	0.23	0.74
16	0.83	0	0	0	0	0.0041	0	0	0	0	0	0	0.16	0	2.1e-05	0	0	0	0	0.41	0.74
17	0.74	0	0	0.00031	3.3e-05	0.018	0.0012	0	0	0	0	0	0.22	0	0.025	0	0	0	0	0.41	0.74
18	0.81	0	0	0.00079	0	0.023	0.035	0	0	0	0	0	0.12	0	0.015	0.00012	0	0	0	0.41	0.74
19	0.016	0	0	0	0	4.4e-05	0.23	0	0	0	0	0	0.00079	0	0	0.75	0	0	15	0.23	0.74
20	0.0022	0	0	0	0	5.2e-06	0.066	0	0	0	0	0	0.00049	0	0	0.93	0	0	15	0.23	0.74
