k	loglikelihood	observations	parameters	BIC
1	-20017.6	6154	4	40070.1
2	-7578.55	6154	6	15209.5
3	-5077.19	6154	8	10224.2
4	-4918.82	6154	10	9924.89
5	-4777.41	6154	12	9659.52
6	-4189.98	6154	14	8502.12
7	-4178.92	6154	16	8497.44
8	-4100.18	6154	18	8357.4
9	-4055.47	6154	20	8285.43
10	-4081.72	6154	22	8355.39
11	-4057.35	6154	24	8324.1
12	-3989.13	6154	26	8205.11
13	-3855.52	6154	28	7955.34
14	-3921.72	6154	30	8105.18
15	-3831.77	6154	32	7942.73
16	-3860.53	6154	34	8017.71
17	-3822.67	6154	36	7959.44
18	-3823.35	6154	38	7978.25
19	-3812.92	6154	40	7974.83
20	-3808.94	6154	42	7984.33
