SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	0	0.003	1	0	0	10	0	0.58
1	0	1	0	8.8e-05	8.6e-06	0	0	0	0	0	0	0	0.0013	1	0.27	0.74
2	0.03	0.0074	0.015	0.88	0.067	0	1.6e-05	0	0	0	0	0	0.0018	3	0.41	0.74
3	0.067	8.9e-06	0.077	0.78	0.076	0	0.0001	0	0	0	0	0	2e-05	3	0.41	0.74
4	9.4e-05	0.91	0	0.08	0.0054	0	0	0	0	0	0	0	0.0051	1	0.27	0.74
5	0.0036	0.07	8.1e-06	0.88	0.034	0	0	0	0	0	0	0	0.008	3	0.41	0.74
6	0.034	0.0068	0.025	0.88	0.047	0	1.8e-05	6.3e-06	0	0	0	0	0.0044	3	0.41	0.74
7	0.0092	0.016	0.00063	0.94	0.033	0	1.2e-06	0	0	0	0	0	0.0039	3	0.41	0.74
8	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0.14	0.029
9	0.017	0.017	0.00065	0.91	0.046	0	0	0	0	0	0	0	0.0057	3	0.41	0.74
10	0.0055	0.045	0.0002	0.73	0.22	0	0.00019	0	0	0	0	0	0.00025	3	0.41	0.74
11	0.018	0	0.012	0.81	0.16	0	0.00067	0	0	0	0	0	0	3	0.41	0.74
12	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0.58
13	0.0004	0.87	6.3e-06	0.11	0.005	0	0	3.2e-05	0	0	0	0	0.014	1	0.27	0.74
14	0.00085	0.33	0	0.63	0.033	0	0	0	0	0	0	0	0.0095	3	0.41	0.74
15	0	1	0	0.00096	3.9e-05	0	0	0	0	0	0	0	0.0029	1	0.27	0.74
16	0.0043	0	0	0.83	0.16	0	0	0	0	0	0	0	0	3	0.41	0.74
17	0.019	2.5e-05	0.0046	0.75	0.22	0	0.002	0	0	0	0	0	2.4e-06	3	0.41	0.74
18	0.026	0.0084	0.0076	0.83	0.12	0	5.3e-05	0	0	0	0	0	0.00067	3	0.41	0.74
19	3.3e-05	0.97	0	0.011	0.00056	0	0	0	0	0	0	0	0.015	1	0.27	0.74
20	7.4e-06	1	0	0.003	0.00067	0	0	0	0	0	0	0	0.0012	1	0.27	0.74
21	0.021	0.039	0.019	0.66	0.26	0	0.0068	0	0	0	0	0	0.00066	3	0.41	0.74
22	0.0059	0.15	2e-05	0.67	0.16	0	1.5e-06	0	0	0	0	0	0.0027	3	0.41	0.74
23	0.013	0.32	0.019	0.51	0.13	0	0.0024	9.5e-06	0	1e-06	0	0	0.0038	3	0.41	0.74
24	0.027	7.7e-05	0.0028	0.66	0.31	0	0.00042	0	0	0	0	0	6.8e-06	3	0.41	0.74
25	0.0076	0.00093	0	0.97	0.015	0	0	0	0	0	0	0	0.0061	3	0.41	0.74
26	0.02	0.097	0.021	0.68	0.17	0	0.0024	0	0	0	0	0	0.0022	3	0.41	0.74
27	0.0013	0.87	0.00019	0.1	0.024	0	1.9e-05	0	0	0.00049	0	0	0.0037	1	0.27	0.74
28	0.00046	0.84	0	0.12	0.034	0	0	0	0	0	0	0	0.0031	1	0.27	0.74
29	0	0.00063	0	1.4e-05	2.1e-06	0	0	0	0.0019	0.0049	0.99	0	0	10	0	0.58
30	0.0077	0.13	0.00011	0.65	0.21	0	2e-05	0	0	0	0	0	0	3	0.41	0.74
31	0	0	0	0	0.99	0	0.00063	0	0	5.5e-06	0	0.014	0	4	0.41	0.8
32	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0.066	0.83
33	0	0	0	0	0	1	0	0	0	0	0	5.2e-06	0	5	0.091	0
34	0	0.004	0	0	0	0.97	0	0	0	6.5e-05	0	0.025	0	5	0.091	0
35	0	0	0	0	0	0	0	1	0	0	0	0	2.8e-06	7	0.27	0.33
