k	loglikelihood	observations	parameters	BIC
1	-3411.37	3722	4	6855.63
2	-2162.65	3722	6	4374.63
3	-1961.4	3722	8	3988.58
4	-1919.68	3722	10	3921.57
5	-1897.38	3722	12	3893.43
6	-1891.42	3722	14	3897.94
7	-1871.93	3722	16	3875.4
8	-1858.74	3722	18	3865.48
9	-1849.78	3722	20	3864.01
10	-1844.6	3722	22	3870.09
11	-1846.69	3722	24	3890.7
12	-1833.62	3722	26	3881.01
13	-1845.52	3722	28	3921.26
14	-1835.13	3722	30	3916.92
15	-1828.35	3722	32	3919.79
16	-1837.96	3722	34	3955.46
17	-1837.12	3722	36	3970.24
18	-1822.25	3722	38	3956.93
19	-1833.45	3722	40	3995.78
20	-1818.96	3722	42	3983.25
