SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster	dcf0	dcf1
0	0	0	0	0.42	0	0.00051	0	0	0	0	0	0.58	0.00016	11	0.13	0.046
1	8.5e-06	1.4e-05	0.078	0	0.38	0	0.38	0.15	0	0	0.00025	0	0	4	0.29	0.41
2	1e-05	1.2e-05	0.15	0	0.29	0	0.29	0.26	0	0	5.3e-05	0	0	4	0.29	0.41
3	4.7e-06	4.9e-06	0.14	0	0.28	0	0.28	0.31	0	0	0	0	0	7	0.43	0.59
4	8e-06	5.6e-06	0.017	0	0.49	0	0.49	0.00055	0	0	0	0	0	4	0.29	0.41
5	8.6e-06	6.9e-06	0.01	0	0.49	0	0.49	0.00048	0	0	0	0	0	4	0.29	0.41
6	3.6e-06	6.1e-06	0.018	0	0.48	0.0012	0.48	0.016	0	0	0	0	0.00062	4	0.29	0.41
7	0	0	0	0.21	0	3.7e-05	0	0	0	0	0	0.79	5.9e-06	11	0.13	0.046
8	0	0	0	0.6	0	0.00022	0	0	0	0	0	0.4	9.3e-05	3	0.29	0.046
9	3.5e-06	0	0.87	0	0.03	0	0.03	0.072	0	0	0	0	0	2	0.29	0.57
10	1.1e-05	2.8e-06	0.56	0	0.21	0	0.21	0.026	0	0	1.3e-05	0	0	2	0.29	0.57
11	1e-05	2.3e-06	0.37	0	0.27	0	0.27	0.095	0	0	1.7e-06	0	0	2	0.29	0.57
12	1.1e-06	1e-06	0.048	0	0.17	0	0.17	0.6	0	0	0	0	0	7	0.43	0.59
13	0	0	0	0	0	0	0	0	0.99	0.014	0	7.2e-06	0	8	0	0.091
14	0	0	0	0	0.00063	0.00069	0.00063	0	0	0	0	0	1	12	0.32	0.2
15	5.3e-06	1.4e-05	0.005	0	0.5	0	0.5	0.0033	0	0	0	0	0	4	0.29	0.41
16	4.1e-06	1e-05	0.017	0	0.47	2.5e-06	0.47	0.038	0	0	0	0	1.7e-05	4	0.29	0.41
17	5.8e-06	9.1e-06	0.031	0	0.45	0	0.45	0.07	0	0	3.7e-05	0	0	4	0.29	0.41
18	8.7e-06	1.8e-06	0.0099	0	0.5	0	0.5	3e-05	0	0	0	0	0	4	0.29	0.41
19	6.9e-06	7e-06	0.027	0	0.48	0	0.48	0.02	0	0	4.3e-06	0	0	4	0.29	0.41
20	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0.29	0.046
21	0	2.5e-06	0.019	0	0.16	0	0.16	0.67	0	0	0	0	0	7	0.43	0.59
22	1.7e-05	3.2e-06	0.24	0	0.38	0	0.38	0.0023	0	0	0	0	0	4	0.29	0.41
23	0	0	0	0.0052	0	0	0	0	0	0	0	0.99	0	11	0.13	0.046
24	0	0	0	0.99	0	0	0	0	0	0	0	0.014	2.7e-05	3	0.29	0.046
