SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster	dcf0	dcf1
0	0	0	0	0.00051	1	0	4	0.16	0.046
1	0.15	0	0.076	0	0	0.77	5	0.29	0.41
2	0.26	0	0.15	0	0	0.59	5	0.29	0.41
3	0.31	0	0.13	0	0	0.56	5	0.29	0.41
4	0.00053	0	0.016	0	0	0.98	5	0.29	0.41
5	0.00047	0	0.0099	0	0	0.99	5	0.29	0.41
6	0.015	0	0.017	0.0033	0	0.96	5	0.29	0.41
7	0	0	0	2.8e-05	1	0	4	0.16	0.046
8	0	0	0	0.0003	1	0	4	0.16	0.046
9	0.072	0	0.87	0	0	0.062	2	0.29	0.57
10	0.026	0	0.56	0	0	0.42	2	0.29	0.57
11	0.094	0	0.36	0	0	0.54	5	0.29	0.41
12	0.6	0	0.048	0	0	0.36	0	0.43	0.59
13	0	1	0	0	0	0	1	0	0.091
14	0	0	0	0.97	0	0.026	3	0.19	0.23
15	0.0033	0	0.0049	0	0	0.99	5	0.29	0.41
16	0.037	0	0.016	2.2e-05	0	0.95	5	0.29	0.41
17	0.069	0	0.03	0	0	0.9	5	0.29	0.41
18	3e-05	0	0.0096	0	0	0.99	5	0.29	0.41
19	0.019	0	0.026	0	0	0.95	5	0.29	0.41
20	0	0	0	0	1	0	4	0.16	0.046
21	0.67	0	0.018	0	0	0.32	0	0.43	0.59
22	0.0022	0	0.24	0	0	0.76	5	0.29	0.41
23	0	0	0	0	1	0	4	0.16	0.046
24	0	0	0	3.6e-05	1	0	4	0.16	0.046
25	0.014	0	0.031	0	0	0.96	5	0.29	0.41
26	0.11	0	0.058	0	0	0.83	5	0.29	0.41
27	2.3e-06	0	0.00023	0	0	1	5	0.29	0.41
28	0.00096	0	0.14	0	0	0.86	5	0.29	0.41
29	0.0075	0	0.012	0	0	0.98	5	0.29	0.41
30	0.039	0	0.014	0	0	0.95	5	0.29	0.41
31	0	0	1.8e-06	0.00022	0	1	5	0.29	0.41
32	0.011	0	0.019	0	0	0.97	5	0.29	0.41
33	0.093	0	0.018	0	0	0.89	5	0.29	0.41
34	0.0012	0	0.00047	0	0	1	5	0.29	0.41
35	0	1	0	0	0	0	1	0	0.091
36	0.072	0	0	0	0	0.93	5	0.29	0.41
37	0.017	0	0.02	0	0	0.96	5	0.29	0.41
38	0.00068	0	0.0025	0	0	1	5	0.29	0.41
39	0	0	0	0	1	0	4	0.16	0.046
40	0.14	0	0.00038	0	0	0.86	5	0.29	0.41
41	0	0	0	0.87	0.12	0.0043	3	0.19	0.23
42	0.0063	0	0.018	0	0	0.98	5	0.29	0.41
43	0.79	0	2.9e-05	0	0	0.21	0	0.43	0.59
44	0.00016	0	0.011	4.9e-05	0	0.99	5	0.29	0.41
45	0.0001	0	0.0035	0.00018	0	1	5	0.29	0.41
46	0.065	0	0.0014	0	0	0.93	5	0.29	0.41
47	0.00011	0	0.00021	2.6e-06	0	1	5	0.29	0.41
48	0	1	0	0	0	0	1	0	0.091
49	0.001	0	0.0012	0	0	1	5	0.29	0.41
50	0.014	0	0.17	6e-05	0	0.81	5	0.29	0.41
51	0	1	0	0	6.1e-06	0	1	0	0.091
52	0	0	1.5e-05	0.00024	0	1	5	0.29	0.41
53	0.01	0	0.16	0	0	0.83	5	0.29	0.41
54	0.21	0	0.33	0	0	0.46	5	0.29	0.41
55	0.021	0	0.015	0	0	0.96	5	0.29	0.41
56	0.00032	0	0.018	0	0	0.98	5	0.29	0.41
57	0	0	0	0	1	0	4	0.16	0.046
58	0	1	0	0	0	0	1	0	0.091
59	0.12	0	0.14	0	0	0.74	5	0.29	0.41
60	0	0	0	0	1	0	4	0.16	0.046
61	0.0043	0	0.0022	0	0	0.99	5	0.29	0.41
62	0.0019	0	0.0061	6.4e-05	0	0.99	5	0.29	0.41
63	0.0019	0	0.0012	0	0	1	5	0.29	0.41
64	0.91	0	0.052	0	0	0.035	0	0.43	0.59
65	0.017	0	0.013	9.5e-06	0	0.97	5	0.29	0.41
66	0.0011	0	0.019	0	0	0.98	5	0.29	0.41
67	0.05	0	0.24	0	0	0.71	5	0.29	0.41
68	9.2e-05	0	0.0017	0	0	1	5	0.29	0.41
69	0.01	0	0.016	0	0	0.97	5	0.29	0.41
70	0	0	1.8e-05	0	0	1	5	0.29	0.41
71	0.63	0	0.0055	0	0	0.36	0	0.43	0.59
72	0.071	0	0.055	0	0	0.87	5	0.29	0.41
73	0.027	0	0.0044	0	0	0.97	5	0.29	0.41
74	0.00018	0	0.0051	0	0	0.99	5	0.29	0.41
75	0.0018	0	0.023	0	0	0.98	5	0.29	0.41
76	0.0011	0	0.0036	0	0	1	5	0.29	0.41
77	0	0	0	1	0	0	3	0.19	0.23
78	0.0059	0	0.0066	0	0	0.99	5	0.29	0.41
79	0.098	0	0.091	0	0	0.81	5	0.29	0.41
80	0.8	0	0.2	0	0	0.005	0	0.43	0.59
81	0.00018	0	0.93	0	0	0.066	2	0.29	0.57
82	0.01	0	0.98	0	0	0.01	2	0.29	0.57
83	0.055	0	0.098	0	0	0.85	5	0.29	0.41
84	0	1	0	0	0	0	1	0	0.091
85	0.77	0	0.21	0	0	0.017	0	0.43	0.59
86	0	0.99	0	0.0073	0	0.00013	1	0	0.091
87	0.024	0	0.027	0	0	0.95	5	0.29	0.41
88	0	0	0	0.0001	1	0	4	0.16	0.046
89	0.045	0	0.19	0	0	0.76	5	0.29	0.41
90	0.44	0	0.0024	0	0	0.56	5	0.29	0.41
91	0	0	2.4e-05	0.0029	0	1	5	0.29	0.41
92	0.0005	0	0.0036	0	0	1	5	0.29	0.41
93	0.035	0	0.013	0.0066	0.00015	0.95	5	0.29	0.41
94	0.006	0	0.022	0	0	0.97	5	0.29	0.41
95	0.068	0	0.11	0	0	0.82	5	0.29	0.41
96	0.01	0	0.0025	0	0	0.99	5	0.29	0.41
97	0	0	4.1e-05	0.0017	0	1	5	0.29	0.41
98	0.0013	0	0.036	0.00022	0	0.96	5	0.29	0.41
99	0.02	0	0.018	0	0	0.96	5	0.29	0.41
100	0	0	0	0	0	1	5	0.29	0.41
101	6.2e-05	0	0.00012	0.0045	0	1	5	0.29	0.41
102	0	0	0	0.84	0	0.16	3	0.19	0.23
103	0.011	0	0.04	0.0034	0	0.95	5	0.29	0.41
104	0.0027	0	0.0062	0.00029	0	0.99	5	0.29	0.41
105	0.6	0	0.08	0	0	0.32	0	0.43	0.59
106	0	1	0	0	0	0	1	0	0.091
107	0.064	0	0.0001	0	0	0.94	5	0.29	0.41
108	0.02	0	0.0023	0	0	0.98	5	0.29	0.41
109	0.0075	0	0.18	2.3e-06	0	0.81	5	0.29	0.41
110	0.00065	0	0.00029	0	0	1	5	0.29	0.41
111	2.9e-05	0	0.0014	0	0	1	5	0.29	0.41
112	2.4e-05	0	4.2e-06	0	0	1	5	0.29	0.41
113	0	0	2e-05	0	0	1	5	0.29	0.41
114	0.069	0	0.39	0	0	0.54	5	0.29	0.41
115	0.068	0	0.2	0	0	0.73	5	0.29	0.41
116	0.092	0	0.0011	0	0	0.91	5	0.29	0.41
117	0.047	0	0.00042	0	0	0.95	5	0.29	0.41
118	0	1	0	0	0	0	1	0	0.091
119	0	0	1.9e-06	5.7e-06	0	1	5	0.29	0.41
120	0.081	0	0.0079	0	0	0.91	5	0.29	0.41
121	0	0	0.0002	0	0	1	5	0.29	0.41
122	0	1	0	0	0	0	1	0	0.091
123	8.3e-06	0	0.0015	0	0	1	5	0.29	0.41
124	0.48	0	0.00056	0	0	0.52	5	0.29	0.41
125	0	0	0	0.00011	0	1	5	0.29	0.41
126	9.1e-06	0	0.00036	0	0	1	5	0.29	0.41
127	0.54	0	0.066	0	0	0.39	0	0.43	0.59
128	0.027	0	0.02	0	0	0.95	5	0.29	0.41
129	0.0023	0	0.032	0	0	0.97	5	0.29	0.41
130	0.0032	0	0.0086	0	0	0.99	5	0.29	0.41
131	0	1	0	0	1.4e-05	0	1	0	0.091
132	0.0027	0	0.011	0	0	0.99	5	0.29	0.41
133	0	0	0	9.6e-05	1	0	4	0.16	0.046
134	0	1	0	0	0	0	1	0	0.091
135	0.00015	0	0.00069	0.024	0	0.98	5	0.29	0.41
136	0.3	0	0.15	0	0	0.55	5	0.29	0.41
137	0.0042	0	0.012	0	0	0.98	5	0.29	0.41
138	0.00074	0	0.00053	0	0	1	5	0.29	0.41
139	0	1	0	0	0	0	1	0	0.091
140	0.0028	0	0.24	0	0	0.75	5	0.29	0.41
141	0.53	0	0.0068	0	0	0.46	0	0.43	0.59
142	0.0042	0	0.016	0	0	0.98	5	0.29	0.41
143	0	0	0	0.051	0	0.95	5	0.29	0.41
144	0.54	0	0.38	0	0	0.088	0	0.43	0.59
145	0	0	0	9.8e-05	0	1	5	0.29	0.41
146	0.05	0	0.029	0	0	0.92	5	0.29	0.41
147	0.08	0	0.76	0	0	0.16	2	0.29	0.57
148	0.022	0	0.025	1.6e-06	0	0.95	5	0.29	0.41
149	0.86	0	0.13	0	0	0.0037	0	0.43	0.59
150	0.019	0	0.022	0	0	0.96	5	0.29	0.41
151	0.091	0	0.1	0	0	0.81	5	0.29	0.41
152	0.0032	0	0.0049	0	0	0.99	5	0.29	0.41
153	0.0069	0	0.011	0	0	0.98	5	0.29	0.41
154	0.00089	0	0.002	0	0	1	5	0.29	0.41
155	0.0021	0	0.0027	0	0	1	5	0.29	0.41
156	0.033	0	0.061	0	0	0.91	5	0.29	0.41
157	0.00081	0	0.04	0	0	0.96	5	0.29	0.41
158	0	0	0	0	0	1	5	0.29	0.41
159	0.018	0	0.016	0	0	0.97	5	0.29	0.41
160	0	1	0	0	0	0	1	0	0.091
161	0.051	0	0.028	0	0	0.92	5	0.29	0.41
162	0.043	0	0.027	0	0	0.93	5	0.29	0.41
163	0.065	0	1.4e-05	0	0	0.93	5	0.29	0.41
164	1.3e-05	0	0.00061	1.5e-05	0	1	5	0.29	0.41
165	0.031	0	0.021	0	0	0.95	5	0.29	0.41
166	0.0022	0	0.0054	0	0	0.99	5	0.29	0.41
167	0.13	0	0.14	0	0	0.73	5	0.29	0.41
168	0.038	0	0.024	0	0	0.94	5	0.29	0.41
169	0.00094	0	0.75	0	0	0.24	2	0.29	0.57
170	0.0059	0	0.00019	0	0	0.99	5	0.29	0.41
171	0.0025	0	0.0063	0	0	0.99	5	0.29	0.41
172	0	0	0	1	0	0.0011	3	0.19	0.23
173	0	0	0.00034	0	0	1	5	0.29	0.41
174	0.0029	0	0.0081	0.00056	0	0.99	5	0.29	0.41
175	0.0026	0	0.017	0	0	0.98	5	0.29	0.41
176	0	0	6.1e-06	0.0018	0	1	5	0.29	0.41
177	0	0	0	0	1	0	4	0.16	0.046
178	0.00031	0	0.032	0	0	0.97	5	0.29	0.41
179	5e-06	0	0.0028	0	0	1	5	0.29	0.41
180	0.25	0	0.086	0	0	0.67	5	0.29	0.41
181	0.078	0	0.063	0	0	0.86	5	0.29	0.41
182	0.038	0	0.26	0	0	0.7	5	0.29	0.41
183	0	0	1.4e-05	0	0	1	5	0.29	0.41
184	0.0092	0	0.029	0	0	0.96	5	0.29	0.41
185	0.0001	0	0.00054	0	0	1	5	0.29	0.41
186	1.1e-05	0	0.00022	1.1e-05	0	1	5	0.29	0.41
187	2.8e-05	0	0.0038	0	0	1	5	0.29	0.41
188	0.13	0	0.0019	0	0	0.87	5	0.29	0.41
189	0	0	0	2.1e-06	1	0	4	0.16	0.046
190	0.0023	0	0.034	0.014	0	0.95	5	0.29	0.41
191	0.0063	0	0.025	0	0	0.97	5	0.29	0.41
192	0.076	0	0.11	0	0	0.81	5	0.29	0.41
193	0.00031	0	0.023	0	0	0.98	5	0.29	0.41
194	9.9e-05	0	0.002	0	0	1	5	0.29	0.41
195	0.047	0	0.034	0	0	0.92	5	0.29	0.41
196	0.0064	0	0.015	0	0	0.98	5	0.29	0.41
197	0.0018	0	0.15	0	0	0.85	5	0.29	0.41
198	0.043	0	0.00092	0	0	0.96	5	0.29	0.41
199	0.035	0	0.14	0	0	0.82	5	0.29	0.41
200	0.097	0	0.061	0	0	0.84	5	0.29	0.41
201	0.00019	0	0.0043	0	0	1	5	0.29	0.41
202	0	0	0.00039	4.8e-06	0	1	5	0.29	0.41
203	0.021	0	0.031	0.0016	0	0.95	5	0.29	0.41
204	2.7e-05	0	0.0037	0	0	1	5	0.29	0.41
205	0	0	2.8e-05	4.1e-06	0	1	5	0.29	0.41
206	0.025	0	0.16	0	0	0.82	5	0.29	0.41
207	0	1	0	0	0	0	1	0	0.091
208	0.15	0	0.031	0	0	0.82	5	0.29	0.41
209	0.011	0	0.98	0	0	0.01	2	0.29	0.57
210	0.022	0	0.013	0	0	0.97	5	0.29	0.41
211	0.11	0	0.44	0	0	0.45	5	0.29	0.41
212	0	0	0	2.6e-06	1	0	4	0.16	0.046
213	0.0051	0	0.00049	0	0	0.99	5	0.29	0.41
214	0.00082	0	0.075	0	0	0.92	5	0.29	0.41
215	0.02	0	0.027	0	0	0.95	5	0.29	0.41
216	0.059	0	0.00072	0	0	0.94	5	0.29	0.41
217	0.39	0	0.33	0	0	0.29	0	0.43	0.59
218	1.9e-06	0	2.2e-05	0	0	1	5	0.29	0.41
219	0	1	0	0	0	0	1	0	0.091
220	0	1	0	0	0	0	1	0	0.091
