SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster	dcf0
0	0.7	0.0013	0	1.9e-05	0	0.3	0	0	0	0.19
1	0.63	0.088	0	6.6e-06	0	0.27	0.0041	0	0	0.19
2	0.57	0.15	0.00052	0	0.00052	0.25	0.028	0	0	0.19
3	0.63	0.09	0	5.3e-05	0	0.27	0.0074	0	0	0.19
4	0.69	0.0058	0	5.2e-05	0	0.3	9e-06	0	0	0.19
5	0.5	0.27	0.00092	0	0.00092	0.22	0.0094	0	0	0.19
6	0.69	0.0068	0	0	0	0.3	3.8e-06	0	0	0.19
7	0.48	0.25	1e-05	0	1e-05	0.21	0.068	0	0	0.19
8	0.45	0.23	0.00031	0	0.00031	0.19	0.13	0	0	0.19
9	0.64	0.076	0	0.00029	0	0.28	0.0072	0	0	0.19
10	0.69	0.016	0	6.6e-05	0	0.3	0.00012	0	0	0.19
11	0.64	0.081	0	0.00026	0	0.27	0.0082	0	0	0.19
12	0.51	0.082	0.00014	0	0.00014	0.22	0.18	0	0	0.19
13	0.7	0.0036	0	0.00022	0	0.3	4e-06	0	0	0.19
14	0.085	5.4e-06	0	0.88	0	0.037	0	0	3	0.084
15	0.57	0.17	0	0	0	0.24	0.016	0	0	0.19
16	0.64	0.08	0	0	0	0.28	0.0018	0	0	0.19
17	0.49	0.27	0.0011	0	0.0011	0.21	0.025	0	0	0.19
18	0.67	0.036	0	0	0	0.29	5e-05	0	0	0.19
19	0.68	0.026	0	0.0034	0	0.29	0.00088	0	0	0.19
20	0.7	0.0042	0	2.4e-06	0	0.3	0	0	0	0.19
21	0.68	0.025	0	0.00014	0	0.29	0.0004	0	0	0.19
22	0.63	0.092	0	0	0	0.27	0.00028	0	0	0.19
23	0.56	0.18	0.00062	0	0.00062	0.24	0.022	0	0	0.19
24	0.68	0.02	0	0.00061	0	0.3	0.0003	0	0	0.19
25	0.63	0.023	4.4e-05	0	4.4e-05	0.27	0.073	0	0	0.19
26	0.6	0.12	0.00037	0	0.00037	0.26	0.026	0	0	0.19
27	0.41	0.32	7.3e-06	0	7.3e-06	0.18	0.092	0	0	0.19
28	0.087	0.47	0.0038	0	0.0038	0.038	0.4	0	1	0.26
29	0.38	0.34	9.8e-06	0	9.8e-06	0.17	0.11	0	0	0.19
30	0.55	0.086	0.00026	0	0.00026	0.24	0.13	0	0	0.19
31	0.24	0.6	0.0032	0	0.0032	0.1	0.057	0	1	0.26
32	0.66	0.055	0	0	0	0.29	6.1e-05	0	0	0.19
33	0.56	0.11	0.00042	0	0.00042	0.24	0.081	0	0	0.19
34	0.69	0.015	0	0	0	0.3	2.4e-05	0	0	0.19
35	0.44	0.37	0	0	0	0.19	0.011	0	0	0.19
36	0.54	0.22	0	0	0	0.24	0.0013	0	0	0.19
37	0.66	0.056	0	0.001	0	0.28	0.0044	0	0	0.19
38	0.68	0.027	0	0	0	0.29	4.4e-05	0	0	0.19
39	0.69	0.0055	0	9.6e-06	0	0.3	5.2e-06	0	0	0.19
40	0.69	0.0054	0	0	0	0.3	2.6e-06	0	0	0.19
41	0.69	0.013	0	0	0	0.3	1.2e-05	0	0	0.19
42	0.5	0.25	0.0011	0	0.0011	0.22	0.028	0	0	0.19
43	0.42	0.33	0.0017	0	0.0017	0.18	0.073	0	0	0.19
44	0.34	0.38	0.0023	0	0.0023	0.15	0.13	0	1	0.26
45	0.4	0.32	0.0018	0	0.0018	0.17	0.1	0	0	0.19
46	0.54	0.19	3.3e-06	8.1e-06	3.3e-06	0.24	0.035	0	0	0.19
47	0.41	0.25	0.0014	0	0.0014	0.18	0.17	0	0	0.19
48	0.46	0.16	0.00026	0	0.00026	0.2	0.18	0	0	0.19
49	0.68	0.029	0	6.8e-06	0	0.29	0.00026	0	0	0.19
