SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster	dcf0
0	1	0.0013	0	0	0	0	0.19
1	0.91	0.086	0	0	0.0041	0	0.19
2	0.82	0.15	0.00079	0	0.028	0	0.19
3	0.9	0.089	0	0	0.0073	0	0.19
4	0.99	0.0057	0	0	9e-06	0	0.19
5	0.73	0.26	0.0014	0	0.0094	0	0.19
6	0.99	0.0067	0	0	3.8e-06	0	0.19
7	0.69	0.25	1.5e-05	0	0.068	0	0.19
8	0.64	0.22	0.00048	0	0.13	0	0.19
9	0.92	0.075	0	0	0.0071	0	0.19
10	0.98	0.016	0	0	0.00011	0	0.19
11	0.91	0.08	0	0	0.0082	0	0.19
12	0.74	0.081	0.00021	0	0.18	0	0.19
13	1	0.0036	0	0	4e-06	0	0.19
14	1	4.3e-05	0	0	0	0	0.19
15	0.81	0.17	0	0	0.016	0	0.19
16	0.92	0.078	0	0	0.0018	0	0.19
17	0.71	0.26	0.0017	0	0.024	0	0.19
18	0.96	0.035	0	0	4.9e-05	0	0.19
19	0.97	0.025	0	0	0.00087	0	0.19
20	1	0.0041	0	0	0	0	0.19
21	0.97	0.025	0	0	0.00039	0	0.19
22	0.91	0.09	0	0	0.00028	0	0.19
23	0.8	0.17	0.00093	0	0.022	0	0.19
24	0.98	0.019	0	0	0.0003	0	0.19
25	0.91	0.023	6.6e-05	0	0.072	0	0.19
26	0.86	0.12	0.00055	0	0.026	0	0.19
27	0.59	0.32	1.1e-05	0	0.092	0	0.19
28	0.13	0.47	0.0059	0	0.4	1	0.26
29	0.55	0.34	1.5e-05	0	0.11	0	0.19
30	0.79	0.085	0.00039	0	0.13	0	0.19
31	0.34	0.6	0.0049	0	0.057	1	0.26
32	0.95	0.054	0	0	6.1e-05	0	0.19
33	0.81	0.11	0.00064	0	0.08	0	0.19
34	0.98	0.015	0	0	2.4e-05	0	0.19
35	0.63	0.36	0	0	0.011	0	0.19
36	0.78	0.22	0	0	0.0012	0	0.19
37	0.94	0.055	0	0	0.0044	0	0.19
