SNV	cluster0	cluster1	cluster2	cluster3	cluster	dcf0
0	1	0	0.0016	0	0	0.19
1	0.89	0	0.11	0.0001	0	0.19
2	0.67	0	0.15	0.18	0	0.19
3	0.89	0	0.11	0.00043	0	0.19
4	0.99	0	0.0071	0	0	0.19
5	0.56	0	0.25	0.19	0	0.19
6	0.99	0	0.0083	0	0	0.19
7	0.68	0	0.3	0.012	0	0.19
8	0.64	0	0.27	0.083	0	0.19
9	0.91	0	0.092	0.00061	0	0.19
10	0.98	0	0.02	0	0	0.19
11	0.9	0	0.098	0.00076	0	0.19
12	0.77	0	0.1	0.13	0	0.19
13	1	0	0.0044	0	0	0.19
14	1	0	5.3e-05	0	0	0.19
15	0.79	0	0.21	0.00066	0	0.19
16	0.9	0	0.095	1.5e-05	0	0.19
17	0.57	0	0.26	0.17	0	0.19
18	0.96	0	0.043	0	0	0.19
19	0.97	0	0.031	2.9e-05	0	0.19
20	0.99	0	0.005	0	0	0.19
21	0.97	0	0.031	3.6e-06	0	0.19
22	0.89	0	0.11	0	0	0.19
23	0.65	0	0.17	0.18	0	0.19
24	0.98	0	0.024	3.2e-06	0	0.19
25	0.83	0	0.026	0.14	0	0.19
26	0.7	0	0.12	0.18	0	0.19
27	0.59	0	0.39	0.013	0	0.19
28	0.14	0	0.66	0.19	2	0.26
29	0.56	0	0.42	0.018	0	0.19
30	0.76	0	0.1	0.14	0	0.19
31	0.28	0	0.59	0.13	2	0.26
32	0.93	0	0.066	0	0	0.19
33	0.72	0	0.12	0.16	0	0.19
34	0.98	0	0.019	0	0	0.19
35	0.58	0	0.42	3.9e-05	0	0.19
36	0.75	0	0.25	0	0	0.19
37	0.93	0	0.067	0.00035	0	0.19
38	0.97	0	0.032	0	0	0.19
39	0.99	0	0.0066	0	0	0.19
40	0.99	0	0.0065	0	0	0.19
41	0.98	0	0.015	0	0	0.19
42	0.58	0	0.25	0.17	0	0.19
43	0.51	0	0.34	0.16	0	0.19
44	0.43	0	0.41	0.15	0	0.19
45	0.5	0	0.34	0.16	0	0.19
46	0.77	0	0.22	0.0048	0	0.19
47	0.55	0	0.28	0.17	0	0.19
48	0.68	0	0.2	0.12	0	0.19
49	0.97	0	0.035	0	0	0.19
50	1	0	0.00079	0	0	0.19
51	0.33	0	0.45	0.22	2	0.26
52	0.99	0	0.0072	0	0	0.19
53	0.59	0	0.26	0.15	0	0.19
54	0	1	0	0	1	0
55	0.96	0	0.044	5e-06	0	0.19
56	0.77	0	0.23	0.00046	0	0.19
57	0.82	0	0.1	0.081	0	0.19
58	0.46	0	0.5	0.044	2	0.26
59	0.64	0	0.28	0.079	0	0.19
60	0.69	0	0.23	0.082	0	0.19
61	0.69	0	0.22	0.084	0	0.19
62	0.12	0	0.54	0.34	2	0.26
63	0.72	0	0.21	0.073	0	0.19
64	0.69	0	0.24	0.076	0	0.19
65	0.97	0	0.03	1.5e-06	0	0.19
66	0.78	0	0.13	0.081	0	0.19
67	0.0084	0	0.52	0.47	2	0.26
68	0.32	0	0.61	0.072	2	0.26
69	0.81	0	0.18	0.005	0	0.19
70	0.7	0	0.25	0.044	0	0.19
71	0.24	0	0.71	0.047	2	0.26
72	1	0	3.6e-05	0	0	0.19
73	0.089	0	0.88	0.036	2	0.26
74	0.72	0	0.22	0.064	0	0.19
75	0.63	0	0.28	0.087	0	0.19
76	0.68	0	0.23	0.087	0	0.19
77	0.94	0	0.0085	0.056	0	0.19
78	0.79	0	0.13	0.074	0	0.19
79	0.7	0	0.22	0.081	0	0.19
