SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0
0	0.2	0	0	0	0.2	0.2	0	6.4e-06	0.00046	0	0.00046	6.4e-06	0.2	0.00046	0.2	0	0	6.4e-06	0	0.19
1	0.18	0	0	0.0026	0.18	0.18	5.3e-05	2.2e-06	0.031	0	0.031	2.2e-06	0.18	0.031	0.18	0	0	2.2e-06	0	0.19
2	0.15	0.00013	0	0.016	0.15	0.15	0.1	0	0.048	0	0.048	0	0.15	0.048	0.15	0.00013	0	0	0	0.19
3	0.18	0	0	0.0047	0.18	0.18	0.00023	1.8e-05	0.032	0	0.032	1.8e-05	0.18	0.032	0.18	0	0	1.8e-05	0	0.19
4	0.2	0	0	5.7e-06	0.2	0.2	0	1.8e-05	0.002	0	0.002	1.8e-05	0.2	0.002	0.2	0	0	1.8e-05	0	0.19
5	0.13	0.00023	0	0.0052	0.13	0.13	0.11	0	0.082	0	0.082	0	0.13	0.082	0.13	0.00023	0	0	0	0.19
6	0.2	0	0	2.4e-06	0.2	0.2	0	0	0.0024	0	0.0024	0	0.2	0.0024	0.2	0	0	0	0	0.19
7	0.14	2.9e-06	0	0.043	0.14	0.14	0.0064	0	0.088	0	0.088	0	0.14	0.088	0.14	2.9e-06	0	0	0	0.19
8	0.13	8.9e-05	0	0.084	0.13	0.13	0.043	0	0.079	0	0.079	0	0.13	0.079	0.13	8.9e-05	0	0	0	0.19
9	0.18	0	0	0.0046	0.18	0.18	0.00032	9.9e-05	0.027	0	0.027	9.9e-05	0.18	0.027	0.18	0	0	9.9e-05	0	0.19
10	0.2	0	0	7.3e-05	0.2	0.2	0	2.2e-05	0.0058	0	0.0058	2.2e-05	0.2	0.0058	0.2	0	0	2.2e-05	0	0.19
11	0.18	0	0	0.0052	0.18	0.18	0.0004	8.9e-05	0.028	0	0.028	8.9e-05	0.18	0.028	0.18	0	0	8.9e-05	0	0.19
12	0.15	3.9e-05	0	0.11	0.15	0.15	0.065	0	0.029	0	0.029	0	0.15	0.029	0.15	3.9e-05	0	0	0	0.19
13	0.2	0	0	2.6e-06	0.2	0.2	0	7.3e-05	0.0013	0	0.0013	7.3e-05	0.2	0.0013	0.2	0	0	7.3e-05	0	0.19
14	0.024	0	0	0	0.024	0.024	0	0.29	0	0	0	0.29	0.024	0	0.024	0	0	0.29	7	0.084
15	0.16	0	0	0.0099	0.16	0.16	0.00035	0	0.06	0	0.06	0	0.16	0.06	0.16	0	0	0	0	0.19
16	0.18	0	0	0.0012	0.18	0.18	7.7e-06	0	0.028	0	0.028	0	0.18	0.028	0.18	0	0	0	0	0.19
17	0.13	0.00028	0	0.014	0.13	0.13	0.1	0	0.084	0	0.084	0	0.13	0.084	0.13	0.00028	0	0	0	0.19
18	0.19	0	0	3.2e-05	0.19	0.19	0	0	0.013	0	0.013	0	0.19	0.013	0.19	0	0	0	0	0.19
19	0.19	0	0	0.00056	0.19	0.19	1.5e-05	0.0012	0.009	0	0.009	0.0012	0.19	0.009	0.19	0	0	0.0012	0	0.19
20	0.2	0	0	0	0.2	0.2	0	0	0.0015	0	0.0015	0	0.2	0.0015	0.2	0	0	0	0	0.19
21	0.19	0	0	0.00025	0.19	0.19	0	4.8e-05	0.0089	0	0.0089	4.8e-05	0.19	0.0089	0.19	0	0	4.8e-05	0	0.19
22	0.18	0	0	0.00018	0.18	0.18	0	0	0.032	0	0.032	0	0.18	0.032	0.18	0	0	0	0	0.19
23	0.14	0.00016	0	0.013	0.14	0.14	0.1	0	0.056	0	0.056	0	0.14	0.056	0.14	0.00016	0	0	0	0.19
24	0.2	0	0	0.00019	0.2	0.2	0	0.00021	0.0069	0	0.0069	0.00021	0.2	0.0069	0.2	0	0	0.00021	0	0.19
25	0.17	1.2e-05	0	0.044	0.17	0.17	0.077	0	0.0077	0	0.0077	0	0.17	0.0077	0.17	1.2e-05	0	0	0	0.19
26	0.15	9.4e-05	0	0.015	0.15	0.15	0.1	0	0.038	0	0.038	0	0.15	0.038	0.15	9.4e-05	0	0	0	0.19
27	0.12	2.1e-06	0	0.059	0.12	0.12	0.007	0	0.11	0	0.11	0	0.12	0.11	0.12	2.1e-06	0	0	0	0.19
28	0.026	0.0011	0	0.26	0.026	0.026	0.089	0	0.17	0	0.17	0	0.026	0.17	0.026	0.0011	0	0	3	0.33
29	0.11	2.8e-06	0	0.071	0.11	0.11	0.0091	0	0.12	0	0.12	0	0.11	0.12	0.11	2.8e-06	0	0	8	0.26
30	0.15	7.1e-05	0	0.079	0.15	0.15	0.075	0	0.029	0	0.029	0	0.15	0.029	0.15	7.1e-05	0	0	0	0.19
31	0.062	0.00083	0	0.033	0.062	0.062	0.078	0	0.19	0	0.19	0	0.062	0.19	0.062	0.00083	0	0	8	0.26
32	0.19	0	0	3.9e-05	0.19	0.19	0	0	0.019	0	0.019	0	0.19	0.019	0.19	0	0	0	0	0.19
33	0.15	0.00011	0	0.048	0.15	0.15	0.085	0	0.038	0	0.038	0	0.15	0.038	0.15	0.00011	0	0	0	0.19
34	0.2	0	0	1.5e-05	0.2	0.2	0	0	0.0054	0	0.0054	0	0.2	0.0054	0.2	0	0	0	0	0.19
35	0.12	0	0	0.0071	0.12	0.12	2.1e-05	0	0.13	0	0.13	0	0.12	0.13	0.12	0	0	0	8	0.26
36	0.15	0	0	0.00079	0.15	0.15	0	0	0.076	0	0.076	0	0.15	0.076	0.15	0	0	0	0	0.19
37	0.19	0	0	0.0028	0.19	0.19	0.00018	0.00034	0.02	0	0.02	0.00034	0.19	0.02	0.19	0	0	0.00034	0	0.19
38	0.19	0	0	2.8e-05	0.19	0.19	0	0	0.0093	0	0.0093	0	0.19	0.0093	0.19	0	0	0	0	0.19
39	0.2	0	0	3.3e-06	0.2	0.2	0	3.3e-06	0.0019	0	0.0019	3.3e-06	0.2	0.0019	0.2	0	0	3.3e-06	0	0.19
40	0.2	0	0	0	0.2	0.2	0	0	0.0019	0	0.0019	0	0.2	0.0019	0.2	0	0	0	0	0.19
41	0.2	0	0	7.9e-06	0.2	0.2	0	0	0.0045	0	0.0045	0	0.2	0.0045	0.2	0	0	0	0	0.19
42	0.13	0.00027	0	0.016	0.13	0.13	0.099	0	0.08	0	0.08	0	0.13	0.08	0.13	0.00027	0	0	0	0.19
