SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster	dcf0
0	0	0	0.17	0	0.17	0	0	0.00069	0.17	0	0	0.17	0.17	0.17	1.9e-05	0	0.00069	0	0	2	0.19
1	0	0	0.15	0	0.15	0.0014	0	0.046	0.15	0	0	0.15	0.15	0.15	6.7e-06	0.0014	0.046	4.7e-05	0	2	0.19
2	0.00016	0.00016	0.12	0	0.12	0.0087	0	0.072	0.12	0	0	0.12	0.12	0.12	0	0.0087	0.072	0.09	0	2	0.19
3	0	0	0.15	0	0.15	0.0025	0	0.047	0.15	0	0	0.15	0.15	0.15	5.3e-05	0.0025	0.047	0.0002	0	2	0.19
4	0	0	0.17	0	0.17	3.1e-06	0	0.003	0.17	0	0	0.17	0.17	0.17	5.3e-05	3.1e-06	0.003	0	0	2	0.19
5	0.00027	0.00027	0.11	0	0.11	0.0029	0	0.12	0.11	0	0	0.11	0.11	0.11	0	0.0029	0.12	0.1	0	7	0.26
6	0	0	0.17	0	0.17	0	0	0.0036	0.17	0	0	0.17	0.17	0.17	0	0	0.0036	0	0	2	0.19
7	3.3e-06	3.3e-06	0.11	0	0.11	0.023	0	0.13	0.11	0	0	0.11	0.11	0.11	0	0.023	0.13	0.0057	0	7	0.26
8	0.0001	0.0001	0.11	0	0.11	0.045	0	0.12	0.11	0	0	0.11	0.11	0.11	0	0.045	0.12	0.038	0	7	0.26
9	0	0	0.15	0	0.15	0.0025	0	0.04	0.15	0	0	0.15	0.15	0.15	0.0003	0.0025	0.04	0.00029	0	2	0.19
10	0	0	0.16	0	0.16	3.9e-05	0	0.0085	0.16	0	0	0.16	0.16	0.16	6.7e-05	3.9e-05	0.0085	0	0	2	0.19
11	0	0	0.15	0	0.15	0.0028	0	0.042	0.15	0	0	0.15	0.15	0.15	0.00027	0.0028	0.042	0.00035	0	2	0.19
12	4.5e-05	4.5e-05	0.12	0	0.12	0.062	0	0.043	0.12	0	0	0.12	0.12	0.12	0	0.062	0.043	0.058	0	2	0.19
13	0	0	0.17	0	0.17	0	0	0.0019	0.17	0	0	0.17	0.17	0.17	0.00022	0	0.0019	0	0	2	0.19
14	0	0	0.02	0	0.02	0	0	2.7e-06	0.02	0	0	0.02	0.02	0.02	0.88	0	2.7e-06	0	0	14	0.084
15	0	0	0.13	0	0.13	0.0054	0	0.09	0.13	0	0	0.13	0.13	0.13	0	0.0054	0.09	0.00031	0	2	0.19
16	0	0	0.15	0	0.15	0.00063	0	0.041	0.15	0	0	0.15	0.15	0.15	0	0.00063	0.041	6.9e-06	0	2	0.19
17	0.00033	0.00033	0.11	0	0.11	0.0076	0	0.13	0.11	0	0	0.11	0.11	0.11	0	0.0076	0.13	0.091	0	7	0.26
18	0	0	0.16	0	0.16	1.7e-05	0	0.019	0.16	0	0	0.16	0.16	0.16	0	1.7e-05	0.019	0	0	2	0.19
19	0	0	0.16	0	0.16	0.0003	0	0.013	0.16	0	0	0.16	0.16	0.16	0.0035	0.0003	0.013	1.4e-05	0	2	0.19
20	0	0	0.17	0	0.17	0	0	0.0022	0.17	0	0	0.17	0.17	0.17	2.5e-06	0	0.0022	0	0	2	0.19
21	0	0	0.16	0	0.16	0.00014	0	0.013	0.16	0	0	0.16	0.16	0.16	0.00014	0.00014	0.013	0	0	2	0.19
22	0	0	0.15	0	0.15	9.5e-05	0	0.048	0.15	0	0	0.15	0.15	0.15	0	9.5e-05	0.048	0	0	2	0.19
23	0.00019	0.00019	0.12	0	0.12	0.0069	0	0.084	0.12	0	0	0.12	0.12	0.12	0	0.0069	0.084	0.093	0	2	0.19
24	0	0	0.16	0	0.16	0.0001	0	0.01	0.16	0	0	0.16	0.16	0.16	0.00062	0.0001	0.01	0	0	2	0.19
25	1.4e-05	1.4e-05	0.14	0	0.14	0.024	0	0.011	0.14	0	0	0.14	0.14	0.14	0	0.024	0.011	0.069	0	2	0.19
26	0.00011	0.00011	0.13	0	0.13	0.008	0	0.057	0.13	0	0	0.13	0.13	0.13	0	0.008	0.057	0.091	0	2	0.19
27	2.4e-06	2.4e-06	0.099	0	0.099	0.032	0	0.17	0.099	0	0	0.099	0.099	0.099	0	0.032	0.17	0.0062	0	7	0.26
28	0.0013	0.0013	0.022	0	0.022	0.14	0	0.25	0.022	0	0	0.022	0.022	0.022	0	0.14	0.25	0.079	0	7	0.26
29	3.3e-06	3.3e-06	0.093	0	0.093	0.038	0	0.18	0.093	0	0	0.093	0.093	0.093	0	0.038	0.18	0.0081	0	7	0.26
30	8.2e-05	8.2e-05	0.13	0	0.13	0.043	0	0.043	0.13	0	0	0.13	0.13	0.13	0	0.043	0.043	0.067	0	2	0.19
31	0.00098	0.00098	0.052	0	0.052	0.018	0	0.29	0.052	0	0	0.052	0.052	0.052	0	0.018	0.29	0.07	0	7	0.26
32	0	0	0.16	0	0.16	2.1e-05	0	0.029	0.16	0	0	0.16	0.16	0.16	0	2.1e-05	0.029	0	0	2	0.19
33	0.00013	0.00013	0.13	0	0.13	0.026	0	0.056	0.13	0	0	0.13	0.13	0.13	0	0.026	0.056	0.076	0	2	0.19
34	0	0	0.16	0	0.16	8.2e-06	0	0.008	0.16	0	0	0.16	0.16	0.16	0	8.2e-06	0.008	0	0	2	0.19
35	0	0	0.1	0	0.1	0.0038	0	0.19	0.1	0	0	0.1	0.1	0.1	0	0.0038	0.19	1.9e-05	0	7	0.26
36	0	0	0.13	0	0.13	0.00043	0	0.11	0.13	0	0	0.13	0.13	0.13	0	0.00043	0.11	0	0	2	0.19
37	0	0	0.16	0	0.16	0.0015	0	0.029	0.16	0	0	0.16	0.16	0.16	0.001	0.0015	0.029	0.00016	0	2	0.19
38	0	0	0.16	0	0.16	1.5e-05	0	0.014	0.16	0	0	0.16	0.16	0.16	0	1.5e-05	0.014	0	0	2	0.19
39	0	0	0.17	0	0.17	0	0	0.0028	0.17	0	0	0.17	0.17	0.17	9.8e-06	0	0.0028	0	0	2	0.19
40	0	0	0.17	0	0.17	0	0	0.0028	0.17	0	0	0.17	0.17	0.17	0	0	0.0028	0	0	2	0.19
41	0	0	0.16	0	0.16	4.3e-06	0	0.0066	0.16	0	0	0.16	0.16	0.16	0	4.3e-06	0.0066	0	0	2	0.19
42	0.00032	0.00032	0.11	0	0.11	0.0089	0	0.12	0.11	0	0	0.11	0.11	0.11	0	0.0089	0.12	0.09	0	7	0.26
43	0.00053	0.00053	0.092	0	0.092	0.023	0	0.16	0.092	0	0	0.092	0.092	0.092	0	0.023	0.16	0.079	0	7	0.26
44	0.00071	0.00071	0.077	0	0.077	0.041	0	0.19	0.077	0	0	0.077	0.077	0.077	0	0.041	0.19	0.076	0	7	0.26
