k	loglikelihood	observations	parameters	BIC
1	-1144.35	1997	2	2303.9
2	-1110.28	1997	3	2243.35
3	-1076.63	1997	4	2183.66
4	-1072.52	1997	5	2183.04
5	-1072.28	1997	6	2190.15
6	-1071.27	1997	7	2195.74
7	-1071.27	1997	8	2203.34
8	-1071.06	1997	9	2210.51
9	-1071.05	1997	10	2218.1
10	-1071.28	1997	11	2226.15
11	-1071.06	1997	12	2233.32
12	-1071.06	1997	13	2240.91
13	-1071.06	1997	14	2248.5
14	-1071.06	1997	15	2256.11
15	-1070.8	1997	16	2263.19
16	-1070.8	1997	17	2270.78
17	-1070.8	1997	18	2278.38
18	-1070.8	1997	19	2285.98
19	-1070.8	1997	20	2293.58
20	-1070.8	1997	21	2301.19
