SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster	dcf0
0	0	0.0013	0.29	0.29	0.29	0	1.9e-05	0	0.12	0	0	0	2	0.19
1	0	0.088	0.27	0.27	0.27	0	6.6e-06	0	0.11	0	0.0021	0.0021	2	0.19
2	0.00051	0.15	0.24	0.24	0.24	0.00051	0	0	0.097	0	0.014	0.014	2	0.19
3	0	0.09	0.27	0.27	0.27	0	5.3e-05	0	0.11	0	0.0037	0.0037	2	0.19
4	0	0.0058	0.29	0.29	0.29	0	5.2e-05	0	0.12	0	4.5e-06	4.5e-06	2	0.19
5	0.0009	0.27	0.21	0.21	0.21	0.0009	0	0	0.085	0	0.0047	0.0047	1	0.26
6	0	0.0068	0.29	0.29	0.29	0	0	0	0.12	0	0	0	2	0.19
7	9.8e-06	0.25	0.2	0.2	0.2	9.8e-06	0	0	0.081	0	0.034	0.034	1	0.26
8	0.00031	0.23	0.19	0.19	0.19	0.00031	0	0	0.076	0	0.066	0.066	1	0.26
9	0	0.076	0.27	0.27	0.27	0	0.00029	0	0.11	0	0.0036	0.0036	2	0.19
10	0	0.016	0.29	0.29	0.29	0	6.6e-05	0	0.12	0	5.8e-05	5.8e-05	2	0.19
11	0	0.081	0.27	0.27	0.27	0	0.00026	0	0.11	0	0.0041	0.0041	2	0.19
12	0.00013	0.082	0.22	0.22	0.22	0.00013	0	0	0.087	0	0.091	0.091	2	0.19
13	0	0.0036	0.29	0.29	0.29	0	0.00022	0	0.12	0	2e-06	2e-06	2	0.19
14	0	5.3e-06	0.036	0.036	0.036	0	0.88	0	0.014	0	0	0	6	0.084
15	0	0.17	0.24	0.24	0.24	0	0	0	0.096	0	0.0078	0.0078	2	0.19
16	0	0.08	0.27	0.27	0.27	0	0	0	0.11	0	0.00092	0.00092	2	0.19
17	0.0011	0.27	0.21	0.21	0.21	0.0011	0	0	0.083	0	0.012	0.012	1	0.26
18	0	0.036	0.28	0.28	0.28	0	0	0	0.11	0	2.5e-05	2.5e-05	2	0.19
19	0	0.026	0.29	0.29	0.29	0	0.0034	0	0.11	0	0.00044	0.00044	2	0.19
20	0	0.0042	0.29	0.29	0.29	0	2.4e-06	0	0.12	0	0	0	2	0.19
21	0	0.025	0.29	0.29	0.29	0	0.00014	0	0.12	0	0.0002	0.0002	2	0.19
22	0	0.092	0.27	0.27	0.27	0	0	0	0.11	0	0.00014	0.00014	2	0.19
23	0.0006	0.18	0.23	0.23	0.23	0.0006	0	0	0.095	0	0.011	0.011	2	0.19
24	0	0.02	0.29	0.29	0.29	0	0.00061	0	0.12	0	0.00015	0.00015	2	0.19
