SNV	cluster0	cluster1	cluster2	cluster	dcf0
0	1	0.002	0	0	0.19
1	0.87	0.13	0	0	0.19
2	0.78	0.22	0	0	0.19
3	0.87	0.13	0	0	0.19
4	0.99	0.0089	0	0	0.19
5	0.64	0.36	0	0	0.19
6	0.99	0.01	0	0	0.19
7	0.64	0.36	0	0	0.19
8	0.65	0.35	0	0	0.19
9	0.89	0.11	0	0	0.19
10	0.98	0.025	0	0	0.19
11	0.88	0.12	0	0	0.19
12	0.85	0.15	0	0	0.19
13	0.99	0.0055	0	0	0.19
14	1	6.7e-05	0	0	0.19
15	0.75	0.25	0	0	0.19
16	0.88	0.12	0	0	0.19
17	0.63	0.37	0	0	0.19
18	0.95	0.054	0	0	0.19
19	0.96	0.039	0	0	0.19
20	0.99	0.0063	0	0	0.19
21	0.96	0.038	0	0	0.19
22	0.87	0.13	0	0	0.19
23	0.75	0.25	0	0	0.19
24	0.97	0.03	0	0	0.19
25	0.96	0.037	0	0	0.19
26	0.82	0.18	0	0	0.19
27	0.55	0.45	0	0	0.19
28	0.15	0.85	0	1	0.26
29	0.52	0.48	0	0	0.19
30	0.86	0.14	0	0	0.19
31	0.27	0.73	0	1	0.26
32	0.92	0.082	0	0	0.19
33	0.82	0.18	0	0	0.19
34	0.98	0.023	0	0	0.19
35	0.53	0.47	0	0	0.19
36	0.7	0.3	0	0	0.19
37	0.92	0.083	0	0	0.19
38	0.96	0.04	0	0	0.19
39	0.99	0.0083	0	0	0.19
40	0.99	0.0082	0	0	0.19
41	0.98	0.019	0	0	0.19
42	0.65	0.35	0	0	0.19
43	0.54	0.46	0	0	0.19
44	0.46	0.54	0	1	0.26
45	0.54	0.46	0	0	0.19
46	0.73	0.27	0	0	0.19
47	0.61	0.39	0	0	0.19
48	0.73	0.27	0	0	0.19
49	0.96	0.043	0	0	0.19
50	1	0.00099	0	0	0.19
51	0.36	0.64	0	1	0.26
52	0.99	0.0091	0	0	0.19
53	0.64	0.36	0	0	0.19
54	0	0	1	2	0
55	0.95	0.054	0	0	0.19
56	0.73	0.27	0	0	0.19
57	0.87	0.13	0	0	0.19
58	0.42	0.58	0	1	0.26
59	0.64	0.36	0	0	0.19
60	0.7	0.3	0	0	0.19
61	0.71	0.29	0	0	0.19
62	0.15	0.85	0	1	0.26
63	0.73	0.27	0	0	0.19
64	0.7	0.3	0	0	0.19
65	0.96	0.038	0	0	0.19
66	0.82	0.18	0	0	0.19
67	0.013	0.99	0	1	0.26
68	0.29	0.71	0	1	0.26
69	0.78	0.22	0	0	0.19
70	0.69	0.31	0	0	0.19
71	0.21	0.79	0	1	0.26
72	1	4.6e-05	0	0	0.19
73	0.075	0.93	0	1	0.26
74	0.73	0.27	0	0	0.19
75	0.64	0.36	0	0	0.19
76	0.7	0.3	0	0	0.19
77	0.99	0.011	0	0	0.19
78	0.83	0.17	0	0	0.19
79	0.72	0.28	0	0	0.19
80	0.045	0.95	0	1	0.26
81	0.46	0.54	0	1	0.26
82	0.82	0.18	0	0	0.19
83	0.64	0.36	0	0	0.19
84	0.52	0.48	0	0	0.19
85	0.71	0.29	0	0	0.19
86	0.99	0.012	0	0	0.19
87	0.38	0.62	0	1	0.26
88	0.15	0.85	0	1	0.26
89	0.14	0.86	0	1	0.26
90	0.65	0.35	0	0	0.19
91	0.1	0.9	0	1	0.26
92	0.51	0.49	0	0	0.19
93	0.99	0.0073	0	0	0.19
94	0.77	0.23	0	0	0.19
95	0.94	0.055	0	0	0.19
96	0.96	0.045	0	0	0.19
