SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster	dcf0
0	0	0.22	0.22	0	0.0007	0	0	0.099	0	0.22	0.00067	0	1.9e-05	0.22	0	0	0	9	0.19
1	0	0.2	0.2	0.0014	0.047	0	4.7e-05	0.09	0.0014	0.2	0.045	0	6.7e-06	0.2	0	0	0	9	0.19
2	0.00015	0.17	0.17	0.0086	0.074	0	0.091	0.074	0.0086	0.17	0.071	0	0	0.17	0.00015	0	0	9	0.19
3	0	0.2	0.2	0.0025	0.048	0	0.0002	0.09	0.0025	0.2	0.046	0	5.3e-05	0.2	0	0	0	9	0.19
4	0	0.22	0.22	3.1e-06	0.0031	0	0	0.099	3.1e-06	0.22	0.003	0	5.3e-05	0.22	0	0	0	9	0.19
5	0.00026	0.14	0.14	0.0029	0.13	0	0.1	0.064	0.0029	0.14	0.12	0	0	0.14	0.00026	0	0	9	0.19
6	0	0.22	0.22	0	0.0036	0	0	0.099	0	0.22	0.0035	0	0	0.22	0	0	0	9	0.19
7	3.2e-06	0.15	0.15	0.023	0.13	0	0.0057	0.068	0.023	0.15	0.13	0	0	0.15	3.2e-06	0	0	9	0.19
8	9.9e-05	0.14	0.14	0.045	0.12	0	0.038	0.063	0.045	0.14	0.11	0	0	0.14	9.9e-05	0	0	9	0.19
9	0	0.21	0.21	0.0025	0.04	0	0.00029	0.091	0.0025	0.21	0.039	0	0.0003	0.21	0	0	0	9	0.19
10	0	0.22	0.22	3.9e-05	0.0087	0	0	0.098	3.9e-05	0.22	0.0084	0	6.7e-05	0.22	0	0	0	9	0.19
11	0	0.2	0.2	0.0028	0.043	0	0.00036	0.091	0.0028	0.2	0.041	0	0.00027	0.2	0	0	0	9	0.19
12	4.3e-05	0.17	0.17	0.062	0.044	0	0.058	0.073	0.062	0.17	0.042	0	0	0.17	4.3e-05	0	0	9	0.19
13	0	0.22	0.22	0	0.0019	0	0	0.099	0	0.22	0.0018	0	0.00022	0.22	0	0	0	9	0.19
14	0	0.027	0.027	0	2.8e-06	0	0	0.012	0	0.027	2.7e-06	0	0.88	0.027	0	0	0	12	0.084
15	0	0.18	0.18	0.0053	0.092	0	0.00032	0.081	0.0053	0.18	0.088	0	0	0.18	0	0	0	9	0.19
16	0	0.21	0.21	0.00063	0.042	0	6.9e-06	0.091	0.00063	0.21	0.04	0	0	0.21	0	0	0	9	0.19
17	0.00032	0.14	0.14	0.0076	0.13	0	0.092	0.064	0.0076	0.14	0.12	0	0	0.14	0.00032	0	0	9	0.19
18	0	0.22	0.22	1.7e-05	0.019	0	0	0.096	1.7e-05	0.22	0.018	0	0	0.22	0	0	0	9	0.19
19	0	0.22	0.22	0.0003	0.014	0	1.4e-05	0.096	0.0003	0.22	0.013	0	0.0035	0.22	0	0	0	9	0.19
20	0	0.22	0.22	0	0.0022	0	0	0.099	0	0.22	0.0021	0	2.5e-06	0.22	0	0	0	9	0.19
21	0	0.22	0.22	0.00014	0.013	0	0	0.097	0.00014	0.22	0.013	0	0.00014	0.22	0	0	0	9	0.19
22	0	0.2	0.2	9.5e-05	0.049	0	0	0.09	9.5e-05	0.2	0.047	0	0	0.2	0	0	0	9	0.19
23	0.00018	0.16	0.16	0.0069	0.085	0	0.093	0.072	0.0069	0.16	0.082	0	0	0.16	0.00018	0	0	9	0.19
24	0	0.22	0.22	0.0001	0.01	0	0	0.097	0.0001	0.22	0.01	0	0.00062	0.22	0	0	0	9	0.19
25	1.3e-05	0.19	0.19	0.024	0.012	0	0.069	0.086	0.024	0.19	0.011	0	0	0.19	1.3e-05	0	0	9	0.19
26	0.00011	0.18	0.18	0.008	0.059	0	0.092	0.077	0.008	0.18	0.056	0	0	0.18	0.00011	0	0	9	0.19
27	2.3e-06	0.13	0.13	0.032	0.17	0	0.0063	0.059	0.032	0.13	0.16	0	0	0.13	2.3e-06	0	0	4	0.26
28	0.0013	0.029	0.029	0.14	0.26	0	0.079	0.013	0.14	0.029	0.25	0	0	0.029	0.0013	0	0	4	0.26
29	3.2e-06	0.13	0.13	0.038	0.18	0	0.0082	0.055	0.038	0.13	0.18	0	0	0.13	3.2e-06	0	0	4	0.26
30	7.9e-05	0.17	0.17	0.043	0.044	0	0.068	0.076	0.043	0.17	0.043	0	0	0.17	7.9e-05	0	0	9	0.19
31	0.00094	0.071	0.071	0.018	0.3	0	0.071	0.031	0.018	0.071	0.28	0	0	0.071	0.00094	0	0	4	0.26
32	0	0.21	0.21	2.1e-05	0.029	0	0	0.094	2.1e-05	0.21	0.028	0	0	0.21	0	0	0	9	0.19
33	0.00013	0.17	0.17	0.026	0.057	0	0.077	0.076	0.026	0.17	0.055	0	0	0.17	0.00013	0	0	9	0.19
34	0	0.22	0.22	8.1e-06	0.0082	0	0	0.098	8.1e-06	0.22	0.0078	0	0	0.22	0	0	0	9	0.19
35	0	0.14	0.14	0.0038	0.19	0	1.9e-05	0.061	0.0038	0.14	0.18	0	0	0.14	0	0	0	4	0.26
36	0	0.17	0.17	0.00042	0.12	0	0	0.077	0.00042	0.17	0.11	0	0	0.17	0	0	0	9	0.19
37	0	0.21	0.21	0.0015	0.03	0	0.00016	0.093	0.0015	0.21	0.028	0	0.001	0.21	0	0	0	9	0.19
38	0	0.22	0.22	1.5e-05	0.014	0	0	0.097	1.5e-05	0.22	0.014	0	0	0.22	0	0	0	9	0.19
39	0	0.22	0.22	0	0.0029	0	0	0.099	0	0.22	0.0028	0	9.8e-06	0.22	0	0	0	9	0.19
40	0	0.22	0.22	0	0.0029	0	0	0.099	0	0.22	0.0027	0	0	0.22	0	0	0	9	0.19
41	0	0.22	0.22	4.3e-06	0.0067	0	0	0.098	4.3e-06	0.22	0.0065	0	0	0.22	0	0	0	9	0.19
42	0.00031	0.15	0.15	0.0089	0.12	0	0.09	0.065	0.0089	0.15	0.12	0	0	0.15	0.00031	0	0	9	0.19
43	0.00051	0.12	0.12	0.023	0.16	0	0.08	0.055	0.023	0.12	0.16	0	0	0.12	0.00051	0	0	4	0.26
44	0.00069	0.1	0.1	0.041	0.19	0	0.076	0.046	0.041	0.1	0.18	0	0	0.1	0.00069	0	0	4	0.26
45	0.00054	0.12	0.12	0.034	0.16	0	0.078	0.054	0.034	0.12	0.15	0	0	0.12	0.00054	0	0	4	0.26
46	0	0.18	0.18	0.012	0.099	0	0.0023	0.078	0.012	0.18	0.095	0	8.2e-06	0.18	0	0	0	9	0.19
47	0.00043	0.13	0.13	0.054	0.13	0	0.081	0.056	0.054	0.13	0.12	0	0	0.13	0.00043	0	0	4	0.26
48	8.1e-05	0.15	0.15	0.06	0.085	0	0.055	0.066	0.06	0.15	0.081	0	0	0.15	8.1e-05	0	0	9	0.19
49	0	0.22	0.22	8.9e-05	0.015	0	0	0.097	8.9e-05	0.22	0.015	0	6.9e-06	0.22	0	0	0	9	0.19
50	0	0.22	0.22	0	0.00035	0	0	0.1	0	0.22	0.00033	0	0	0.22	0	0	0	9	0.19
51	0.0009	0.073	0.073	0.089	0.2	0	0.1	0.032	0.089	0.073	0.19	0	0	0.073	0.0009	0	0	4	0.26
52	0	0.22	0.22	0	0.0032	0	0	0.099	0	0.22	0.003	0	0	0.22	0	0	0	9	0.19
53	0.00037	0.14	0.14	0.036	0.12	0	0.076	0.062	0.036	0.14	0.11	0	0	0.14	0.00037	0	0	9	0.19
54	0	0	0	0	0	0	0	0	0	0	0	0	0.00012	0	0	0.5	0.5	15	0
55	0	0.22	0.22	0.00022	0.019	0	2.3e-06	0.096	0.00022	0.22	0.018	0	7.3e-06	0.22	0	0	0	9	0.19
56	0	0.18	0.18	0.0056	0.1	0	0.00022	0.078	0.0056	0.18	0.099	0	0	0.18	0	0	0	9	0.19
57	4.5e-05	0.19	0.19	0.019	0.045	0	0.039	0.083	0.019	0.19	0.043	0	0	0.19	4.5e-05	0	0	9	0.19
58	0.00046	0.098	0.098	0.069	0.21	0	0.019	0.044	0.069	0.098	0.2	0	0	0.098	0.00046	0	0	4	0.26
59	0.0002	0.15	0.15	0.023	0.13	0	0.038	0.066	0.023	0.15	0.12	0	0	0.15	0.0002	0	0	9	0.19
60	0.00015	0.16	0.16	0.019	0.1	0	0.04	0.071	0.019	0.16	0.1	0	0	0.16	0.00015	0	0	9	0.19
61	0.00017	0.16	0.16	0.028	0.1	0	0.04	0.07	0.028	0.16	0.096	0	0	0.16	0.00017	0	0	9	0.19
62	0.00067	0.025	0.025	0.17	0.21	0	0.14	0.011	0.17	0.025	0.2	0	0	0.025	0.00067	0	0	4	0.26
63	0.00017	0.16	0.16	0.035	0.092	0	0.034	0.071	0.035	0.16	0.088	0	0	0.16	0.00017	0	0	9	0.19
64	0.00019	0.16	0.16	0.034	0.1	0	0.035	0.069	0.034	0.16	0.099	0	0	0.16	0.00019	0	0	9	0.19
