SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0
0	0.096	0	0.00066	0.23	0	1.9e-05	0.23	0.23	0.00066	0.23	0	0	0	0	3	0.19
1	0.088	0	0.044	0.21	0.0041	6.6e-06	0.21	0.21	0.044	0.21	0	0	0	0	3	0.19
2	0.079	0.00039	0.076	0.18	0.028	0	0.18	0.18	0.076	0.18	0.00039	0	0	0.00039	3	0.19
3	0.087	0	0.045	0.2	0.0073	5.3e-05	0.2	0.2	0.045	0.2	0	0	0	0	3	0.19
4	0.096	0	0.0029	0.22	9e-06	5.2e-05	0.22	0.22	0.0029	0.22	0	0	0	0	3	0.19
5	0.07	0.00069	0.13	0.16	0.0094	0	0.16	0.16	0.13	0.16	0.00069	0	0	0.00069	3	0.19
6	0.096	0	0.0034	0.22	3.8e-06	0	0.22	0.22	0.0034	0.22	0	0	0	0	3	0.19
7	0.066	7.5e-06	0.12	0.15	0.068	0	0.15	0.15	0.12	0.15	7.5e-06	0	0	7.5e-06	3	0.19
8	0.062	0.00024	0.11	0.14	0.13	0	0.14	0.14	0.11	0.14	0.00024	0	0	0.00024	3	0.19
9	0.088	0	0.038	0.21	0.0072	0.00029	0.21	0.21	0.038	0.21	0	0	0	0	3	0.19
10	0.095	0	0.0082	0.22	0.00011	6.6e-05	0.22	0.22	0.0082	0.22	0	0	0	0	3	0.19
11	0.088	0	0.041	0.21	0.0082	0.00026	0.21	0.21	0.041	0.21	0	0	0	0	3	0.19
12	0.071	0.0001	0.041	0.17	0.18	0	0.17	0.17	0.041	0.17	0.0001	0	0	0.0001	4	0.33
13	0.096	0	0.0018	0.23	4e-06	0.00022	0.23	0.23	0.0018	0.23	0	0	0	0	3	0.19
14	0.012	0	2.7e-06	0.028	0	0.88	0.028	0.028	2.7e-06	0.028	0	0	0	0	5	0.084
15	0.078	0	0.086	0.18	0.016	0	0.18	0.18	0.086	0.18	0	0	0	0	3	0.19
16	0.089	0	0.04	0.21	0.0018	0	0.21	0.21	0.04	0.21	0	0	0	0	3	0.19
17	0.068	0.00083	0.13	0.16	0.024	0	0.16	0.16	0.13	0.16	0.00083	0	0	0.00083	3	0.19
18	0.093	0	0.018	0.22	5e-05	0	0.22	0.22	0.018	0.22	0	0	0	0	3	0.19
19	0.094	0	0.013	0.22	0.00088	0.0034	0.22	0.22	0.013	0.22	0	0	0	0	3	0.19
20	0.096	0	0.0021	0.22	0	2.4e-06	0.22	0.22	0.0021	0.22	0	0	0	0	3	0.19
21	0.094	0	0.013	0.22	0.00039	0.00014	0.22	0.22	0.013	0.22	0	0	0	0	3	0.19
22	0.087	0	0.046	0.21	0.00028	0	0.21	0.21	0.046	0.21	0	0	0	0	3	0.19
23	0.077	0.00046	0.089	0.18	0.022	0	0.18	0.18	0.089	0.18	0.00046	0	0	0.00046	3	0.19
24	0.094	0	0.0098	0.22	0.0003	0.00061	0.22	0.22	0.0098	0.22	0	0	0	0	3	0.19
25	0.087	3.3e-05	0.012	0.2	0.072	0	0.2	0.2	0.012	0.2	3.3e-05	0	0	3.3e-05	3	0.19
26	0.082	0.00027	0.06	0.19	0.026	0	0.19	0.19	0.06	0.19	0.00027	0	0	0.00027	3	0.19
