SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0
0	1.2e-05	0.00069	0	0.17	7.5e-06	0.17	0	0.17	0.00069	0	0.17	0	0	0.17	0	0.17	3	0.19
1	4.1e-06	0.046	0.0027	0.15	2.6e-06	0.15	0	0.15	0.046	0	0.15	5.1e-05	0	0.15	0	0.15	3	0.19
2	0	0.072	0.016	0.12	0	0.12	0.00017	0.12	0.072	0.00017	0.12	0.097	0	0.12	0	0.12	3	0.19
3	3.2e-05	0.047	0.0048	0.15	2.1e-05	0.15	0	0.15	0.047	0	0.15	0.00022	0	0.15	0	0.15	3	0.19
4	3.2e-05	0.0031	5.9e-06	0.17	2.1e-05	0.17	0	0.17	0.0031	0	0.17	0	0	0.17	0	0.17	3	0.19
5	0	0.12	0.0054	0.11	0	0.11	0.0003	0.11	0.12	0.0003	0.11	0.11	0	0.11	0	0.11	1	0.26
6	0	0.0036	2.5e-06	0.17	0	0.17	0	0.17	0.0036	0	0.17	0	0	0.17	0	0.17	3	0.19
7	0	0.13	0.044	0.11	0	0.11	3.7e-06	0.11	0.13	3.7e-06	0.11	0.0062	0	0.11	0	0.11	1	0.26
8	0	0.12	0.086	0.11	0	0.11	0.00011	0.11	0.12	0.00011	0.11	0.041	0	0.11	0	0.11	1	0.26
9	0.00018	0.04	0.0047	0.15	0.00012	0.15	0	0.15	0.04	0	0.15	0.00031	0	0.15	0	0.15	3	0.19
10	4.1e-05	0.0086	7.5e-05	0.16	2.6e-05	0.16	0	0.16	0.0086	0	0.16	0	0	0.16	0	0.16	3	0.19
11	0.00016	0.042	0.0053	0.15	0.0001	0.15	0	0.15	0.042	0	0.15	0.00038	0	0.15	0	0.15	3	0.19
12	0	0.043	0.12	0.12	0	0.12	5e-05	0.12	0.043	5e-05	0.12	0.063	0	0.12	0	0.12	3	0.19
13	0.00013	0.0019	2.6e-06	0.17	8.6e-05	0.17	0	0.17	0.0019	0	0.17	0	0	0.17	0	0.17	3	0.19
14	0.53	2.8e-06	0	0.02	0.35	0.02	0	0.02	2.8e-06	0	0.02	0	0	0.02	0	0.02	0	0.084
15	0	0.09	0.01	0.13	0	0.13	0	0.13	0.09	0	0.13	0.00034	0	0.13	0	0.13	3	0.19
16	0	0.042	0.0012	0.15	0	0.15	0	0.15	0.042	0	0.15	7.5e-06	0	0.15	0	0.15	3	0.19
17	0	0.13	0.014	0.11	0	0.11	0.00036	0.11	0.13	0.00036	0.11	0.098	0	0.11	0	0.11	1	0.26
18	0	0.019	3.2e-05	0.16	0	0.16	0	0.16	0.019	0	0.16	0	0	0.16	0	0.16	3	0.19
19	0.0021	0.014	0.00057	0.16	0.0014	0.16	0	0.16	0.014	0	0.16	1.5e-05	0	0.16	0	0.16	3	0.19
20	0	0.0022	0	0.17	0	0.17	0	0.17	0.0022	0	0.17	0	0	0.17	0	0.17	3	0.19
21	8.8e-05	0.013	0.00026	0.16	5.7e-05	0.16	0	0.16	0.013	0	0.16	0	0	0.16	0	0.16	3	0.19
22	0	0.048	0.00018	0.15	0	0.15	0	0.15	0.048	0	0.15	0	0	0.15	0	0.15	3	0.19
23	0	0.084	0.013	0.12	0	0.12	0.0002	0.12	0.084	0.0002	0.12	0.1	0	0.12	0	0.12	3	0.19
24	0.00038	0.01	0.0002	0.16	0.00024	0.16	0	0.16	0.01	0	0.16	0	0	0.16	0	0.16	3	0.19
25	0	0.011	0.045	0.14	0	0.14	1.5e-05	0.14	0.011	1.5e-05	0.14	0.074	0	0.14	0	0.14	3	0.19
26	0	0.057	0.015	0.13	0	0.13	0.00012	0.13	0.057	0.00012	0.13	0.098	0	0.13	0	0.13	3	0.19
27	0	0.17	0.061	0.099	0	0.099	2.7e-06	0.099	0.17	2.7e-06	0.099	0.0068	0	0.099	0	0.099	1	0.26
28	0	0.26	0.27	0.022	0	0.022	0.0015	0.022	0.26	0.0015	0.022	0.086	0	0.022	0	0.022	2	0.33
29	0	0.18	0.073	0.093	0	0.093	3.6e-06	0.093	0.18	3.6e-06	0.093	0.0088	0	0.093	0	0.093	1	0.26
30	0	0.044	0.081	0.13	0	0.13	9.1e-05	0.13	0.044	9.1e-05	0.13	0.073	0	0.13	0	0.13	3	0.19
31	0	0.29	0.034	0.052	0	0.052	0.0011	0.052	0.29	0.0011	0.052	0.076	0	0.052	0	0.052	1	0.26
32	0	0.029	4e-05	0.16	0	0.16	0	0.16	0.029	0	0.16	0	0	0.16	0	0.16	3	0.19
33	0	0.056	0.049	0.13	0	0.13	0.00014	0.13	0.056	0.00014	0.13	0.082	0	0.13	0	0.13	3	0.19
34	0	0.0081	1.5e-05	0.16	0	0.16	0	0.16	0.0081	0	0.16	0	0	0.16	0	0.16	3	0.19
35	0	0.19	0.0072	0.1	0	0.1	0	0.1	0.19	0	0.1	2.1e-05	0	0.1	0	0.1	1	0.26
36	0	0.11	0.0008	0.13	0	0.13	0	0.13	0.11	0	0.13	0	0	0.13	0	0.13	3	0.19
37	0.00062	0.029	0.0028	0.16	0.0004	0.16	0	0.16	0.029	0	0.16	0.00018	0	0.16	0	0.16	3	0.19
38	0	0.014	2.9e-05	0.16	0	0.16	0	0.16	0.014	0	0.16	0	0	0.16	0	0.16	3	0.19
39	5.9e-06	0.0029	3.4e-06	0.17	3.9e-06	0.17	0	0.17	0.0029	0	0.17	0	0	0.17	0	0.17	3	0.19
40	0	0.0028	0	0.17	0	0.17	0	0.17	0.0028	0	0.17	0	0	0.17	0	0.17	3	0.19
41	0	0.0067	8.1e-06	0.16	0	0.16	0	0.16	0.0067	0	0.16	0	0	0.16	0	0.16	3	0.19
42	0	0.12	0.017	0.11	0	0.11	0.00035	0.11	0.12	0.00035	0.11	0.096	0	0.11	0	0.11	1	0.26
43	0	0.16	0.044	0.092	0	0.092	0.00058	0.092	0.16	0.00058	0.092	0.086	0	0.092	0	0.092	1	0.26
44	0	0.19	0.077	0.077	0	0.077	0.00078	0.077	0.19	0.00078	0.077	0.082	0	0.077	0	0.077	1	0.26
45	0	0.16	0.064	0.09	0	0.09	0.00061	0.09	0.16	0.00061	0.09	0.084	0	0.09	0	0.09	1	0.26
46	5e-06	0.097	0.023	0.13	3.2e-06	0.13	0	0.13	0.097	0	0.13	0.0024	0	0.13	0	0.13	3	0.19
47	0	0.12	0.1	0.093	0	0.093	0.0005	0.093	0.12	0.0005	0.093	0.087	0	0.093	0	0.093	1	0.26
48	0	0.083	0.11	0.11	0	0.11	9.3e-05	0.11	0.083	9.3e-05	0.11	0.059	0	0.11	0	0.11	2	0.33
49	4.2e-06	0.015	0.00017	0.16	2.7e-06	0.16	0	0.16	0.015	0	0.16	0	0	0.16	0	0.16	3	0.19
50	0	0.00034	0	0.17	0	0.17	0	0.17	0.00034	0	0.17	0	0	0.17	0	0.17	3	0.19
51	0	0.2	0.17	0.054	0	0.054	0.001	0.054	0.2	0.001	0.054	0.11	0	0.054	0	0.054	1	0.26
52	0	0.0031	0	0.17	0	0.17	0	0.17	0.0031	0	0.17	0	0	0.17	0	0.17	3	0.19
53	0	0.12	0.068	0.1	0	0.1	0.00042	0.1	0.12	0.00042	0.1	0.082	0	0.1	0	0.1	1	0.26
54	7.5e-05	0	0	0	4.9e-05	0	0	0	0	0	0	0	0	0	1	0	14	0
55	4.4e-06	0.019	0.00042	0.16	2.9e-06	0.16	0	0.16	0.019	0	0.16	2.5e-06	0	0.16	0	0.16	3	0.19
56	0	0.1	0.011	0.13	0	0.13	0	0.13	0.1	0	0.13	0.00024	0	0.13	0	0.13	3	0.19
57	0	0.044	0.036	0.14	0	0.14	5.2e-05	0.14	0.044	5.2e-05	0.14	0.042	0	0.14	0	0.14	3	0.19
58	0	0.2	0.13	0.073	0	0.073	0.00053	0.073	0.2	0.00053	0.073	0.021	0	0.073	0	0.073	1	0.26
59	0	0.13	0.044	0.11	0	0.11	0.00024	0.11	0.13	0.00024	0.11	0.041	0	0.11	0	0.11	1	0.26
60	0	0.1	0.036	0.12	0	0.12	0.00017	0.12	0.1	0.00017	0.12	0.043	0	0.12	0	0.12	3	0.19
61	0	0.099	0.053	0.12	0	0.12	0.00019	0.12	0.099	0.00019	0.12	0.043	0	0.12	0	0.12	3	0.19
62	0	0.21	0.32	0.018	0	0.018	0.00078	0.018	0.21	0.00078	0.018	0.15	0	0.018	0	0.018	2	0.33
63	0	0.09	0.066	0.12	0	0.12	0.00019	0.12	0.09	0.00019	0.12	0.037	0	0.12	0	0.12	3	0.19
64	0	0.1	0.064	0.12	0	0.12	0.00021	0.12	0.1	0.00021	0.12	0.038	0	0.12	0	0.12	3	0.19
65	7.9e-06	0.013	0.0002	0.16	5.1e-06	0.16	0	0.16	0.013	0	0.16	0	0	0.16	0	0.16	3	0.19
66	0	0.059	0.041	0.13	0	0.13	9.6e-05	0.13	0.059	9.6e-05	0.13	0.041	0	0.13	0	0.13	3	0.19
67	0	0.14	0.56	0.00088	0	0.00088	0.00064	0.00088	0.14	0.00064	0.00088	0.15	0	0.00088	0	0.00088	2	0.33
68	0	0.28	0.072	0.056	0	0.056	0.00057	0.056	0.28	0.00057	0.056	0.038	0	0.056	0	0.056	1	0.26
69	6.9e-06	0.08	0.021	0.14	4.5e-06	0.14	1.5e-06	0.14	0.08	1.5e-06	0.14	0.0026	0	0.14	0	0.14	3	0.19
70	0	0.11	0.08	0.11	0	0.11	2.2e-05	0.11	0.11	2.2e-05	0.11	0.022	0	0.11	0	0.11	3	0.19
71	0	0.32	0.089	0.041	0	0.041	0.00072	0.041	0.32	0.00072	0.041	0.024	0	0.041	0	0.041	1	0.26
72	4.6e-05	1.6e-05	0	0.17	3e-05	0.17	0	0.17	1.6e-05	0	0.17	0	0	0.17	0	0.17	3	0.19
73	0	0.41	0.061	0.016	0	0.016	0.00089	0.016	0.41	0.00089	0.016	0.02	0	0.016	0	0.016	1	0.26
74	0	0.092	0.074	0.12	0	0.12	0.00021	0.12	0.092	0.00021	0.12	0.032	0	0.12	0	0.12	3	0.19
75	0	0.13	0.032	0.11	0	0.11	0.00022	0.11	0.13	0.00022	0.11	0.046	0	0.11	0	0.11	1	0.26
76	0	0.11	0.027	0.12	0	0.12	0.00017	0.12	0.11	0.00017	0.12	0.046	0	0.12	0	0.12	3	0.19
77	0	0.0035	0.074	0.15	0	0.15	1.3e-06	0.15	0.0035	1.3e-06	0.15	0.027	0	0.15	0	0.15	3	0.19
78	0	0.057	0.059	0.13	0	0.13	5.7e-05	0.13	0.057	5.7e-05	0.13	0.037	0	0.13	0	0.13	3	0.19
79	0	0.096	0.061	0.12	0	0.12	0.00015	0.12	0.096	0.00015	0.12	0.041	0	0.12	0	0.12	3	0.19
80	0	0.27	0.38	0.0061	0	0.0061	0.00087	0.0061	0.27	0.00087	0.0061	0.052	0	0.0061	0	0.0061	2	0.33
81	0	0.21	0.019	0.085	0	0.085	0.00034	0.085	0.21	0.00034	0.085	0.049	0	0.085	0	0.085	1	0.26
82	8e-05	0.062	0.031	0.14	5.2e-05	0.14	0.00011	0.14	0.062	0.00011	0.14	0.026	0	0.14	0	0.14	3	0.19
83	0	0.13	0.01	0.11	0	0.11	0.00019	0.11	0.13	0.00019	0.11	0.052	0	0.11	0	0.11	1	0.26
