SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster	dcf0
0	0.16	0.42	0.42	0.00065	1.9e-05	0	0	0	0.00067	1	0.19
1	0.14	0.38	0.38	0.044	6.6e-06	0	0	0.0042	0.045	1	0.19
2	0.13	0.34	0.34	0.076	0	0	0.00065	0.028	0.077	1	0.19
3	0.14	0.38	0.38	0.045	5.3e-05	0	0	0.0074	0.046	1	0.19
4	0.16	0.42	0.42	0.0029	5.2e-05	0	0	9.1e-06	0.003	1	0.19
5	0.11	0.3	0.3	0.13	0	0	0.0011	0.0094	0.14	1	0.19
6	0.16	0.42	0.42	0.0034	0	0	0	3.8e-06	0.0035	1	0.19
7	0.11	0.29	0.29	0.12	0	0	1.2e-05	0.068	0.13	1	0.19
8	0.1	0.27	0.27	0.11	0	0	0.00039	0.13	0.11	1	0.19
9	0.14	0.39	0.39	0.038	0.00029	0	0	0.0072	0.039	1	0.19
10	0.15	0.41	0.41	0.0081	6.6e-05	0	0	0.00012	0.0083	1	0.19
11	0.14	0.38	0.38	0.04	0.00026	0	0	0.0082	0.041	1	0.19
12	0.12	0.31	0.31	0.041	0	0	0.00017	0.18	0.042	1	0.19
13	0.16	0.42	0.42	0.0018	0.00022	0	0	4.1e-06	0.0018	1	0.19
14	0.019	0.051	0.051	2.7e-06	0.88	0	0	0	2.7e-06	4	0.084
15	0.13	0.34	0.34	0.086	0	0	0	0.016	0.088	1	0.19
16	0.14	0.39	0.39	0.039	0	0	0	0.0018	0.04	1	0.19
17	0.11	0.3	0.3	0.13	0	0	0.0014	0.025	0.14	1	0.19
18	0.15	0.41	0.41	0.018	0	0	0	5e-05	0.018	1	0.19
19	0.15	0.41	0.41	0.013	0.0034	0	0	0.00088	0.013	1	0.19
20	0.16	0.42	0.42	0.0021	2.4e-06	0	0	0	0.0021	1	0.19
21	0.15	0.41	0.41	0.013	0.00014	0	0	0.0004	0.013	1	0.19
22	0.14	0.38	0.38	0.046	0	0	0	0.00028	0.047	1	0.19
23	0.13	0.34	0.34	0.088	0	0	0.00077	0.022	0.09	1	0.19
24	0.15	0.41	0.41	0.0097	0.00061	0	0	0.0003	0.01	1	0.19
25	0.14	0.38	0.38	0.011	0	0	5.4e-05	0.073	0.012	1	0.19
26	0.13	0.36	0.36	0.06	0	0	0.00046	0.026	0.061	1	0.19
27	0.092	0.25	0.25	0.16	0	0	9e-06	0.092	0.16	1	0.19
28	0.02	0.053	0.053	0.23	0	0	0.0048	0.4	0.24	7	0.33
29	0.086	0.23	0.23	0.17	0	0	1.2e-05	0.11	0.17	1	0.19
30	0.12	0.33	0.33	0.043	0	0	0.00032	0.13	0.044	1	0.19
31	0.053	0.14	0.14	0.3	0	0	0.004	0.057	0.3	8	0.26
32	0.15	0.4	0.4	0.027	0	0	0	6.1e-05	0.028	1	0.19
33	0.13	0.34	0.34	0.057	0	0	0.00052	0.081	0.058	1	0.19
34	0.15	0.41	0.41	0.0076	0	0	0	2.4e-05	0.0078	1	0.19
35	0.098	0.26	0.26	0.18	0	0	0	0.011	0.18	1	0.19
36	0.12	0.33	0.33	0.11	0	0	0	0.0013	0.11	1	0.19
37	0.15	0.4	0.4	0.028	0.001	0	0	0.0044	0.028	1	0.19
38	0.15	0.41	0.41	0.013	0	0	0	4.4e-05	0.013	1	0.19
39	0.16	0.42	0.42	0.0027	9.6e-06	0	0	5.2e-06	0.0028	1	0.19
40	0.16	0.42	0.42	0.0027	0	0	0	2.6e-06	0.0027	1	0.19
41	0.16	0.42	0.42	0.0063	0	0	0	1.2e-05	0.0064	1	0.19
42	0.11	0.3	0.3	0.13	0	0	0.0013	0.029	0.13	1	0.19
43	0.094	0.25	0.25	0.16	0	0	0.0022	0.073	0.17	1	0.19
44	0.077	0.21	0.21	0.19	0	0	0.0028	0.13	0.19	1	0.19
45	0.09	0.24	0.24	0.16	0	0	0.0022	0.1	0.16	1	0.19
46	0.12	0.33	0.33	0.092	8.1e-06	0	4e-06	0.035	0.094	1	0.19
47	0.092	0.25	0.25	0.12	0	0	0.0018	0.17	0.13	1	0.19
48	0.1	0.28	0.28	0.079	0	0	0.00032	0.18	0.081	1	0.19
49	0.15	0.41	0.41	0.014	6.8e-06	0	0	0.00026	0.015	1	0.19
50	0.16	0.42	0.42	0.00032	0	0	0	0	0.00033	1	0.19
51	0.053	0.14	0.14	0.19	0	0	0.0036	0.27	0.2	7	0.33
52	0.16	0.42	0.42	0.003	0	0	0	0	0.003	1	0.19
53	0.1	0.27	0.27	0.12	0	0	0.0015	0.11	0.12	1	0.19
54	0	0	0	0	0.00012	1	0	0	0	5	0
55	0.15	0.41	0.41	0.018	7.2e-06	0	0	0.00065	0.018	1	0.19
56	0.12	0.33	0.33	0.097	0	0	0	0.016	0.099	1	0.19
57	0.13	0.36	0.36	0.043	0	0	0.00018	0.058	0.044	1	0.19
58	0.067	0.18	0.18	0.19	0	0	0.0018	0.2	0.19	7	0.33
59	0.11	0.29	0.29	0.12	0	0	0.00082	0.069	0.13	1	0.19
60	0.12	0.31	0.31	0.1	0	0	0.00061	0.057	0.1	1	0.19
61	0.11	0.3	0.3	0.096	0	0	0.00066	0.084	0.098	1	0.19
62	0.017	0.046	0.046	0.19	0	0	0.0026	0.49	0.2	7	0.33
63	0.11	0.3	0.3	0.086	0	0	0.00066	0.1	0.088	1	0.19
64	0.11	0.3	0.3	0.098	0	0	0.00074	0.1	0.1	1	0.19
65	0.15	0.41	0.41	0.012	1.3e-05	0	0	0.0003	0.013	1	0.19
66	0.13	0.35	0.35	0.058	0	0	0.00034	0.064	0.059	1	0.19
67	0.00073	0.0019	0.0019	0.12	0	0	0.0019	0.76	0.12	7	0.33
68	0.054	0.14	0.14	0.27	0	0	0.002	0.11	0.27	8	0.26
69	0.13	0.34	0.34	0.075	1.1e-05	0	5e-06	0.032	0.077	1	0.19
70	0.11	0.29	0.29	0.1	0	0	7.3e-05	0.12	0.1	1	0.19
71	0.039	0.11	0.11	0.3	0	0	0.0025	0.14	0.31	8	0.26
72	0.16	0.42	0.42	1.5e-05	7.5e-05	0	0	0	1.5e-05	1	0.19
73	0.016	0.042	0.042	0.4	0	0	0.0031	0.096	0.41	8	0.26
74	0.11	0.3	0.3	0.087	0	0	0.00073	0.11	0.089	1	0.19
75	0.11	0.29	0.29	0.13	0	0	0.00077	0.052	0.13	1	0.19
76	0.12	0.31	0.31	0.1	0	0	0.0006	0.044	0.11	1	0.19
77	0.14	0.37	0.37	0.0033	0	0	4.5e-06	0.11	0.0033	1	0.19
78	0.13	0.34	0.34	0.054	0	0	0.0002	0.092	0.055	1	0.19
79	0.11	0.3	0.3	0.093	0	0	0.00051	0.096	0.095	1	0.19
80	0.0051	0.014	0.014	0.22	0	0	0.0026	0.51	0.23	7	0.33
81	0.085	0.23	0.23	0.21	0	0	0.0012	0.03	0.22	1	0.19
82	0.13	0.35	0.35	0.06	0.00013	0	0.00039	0.048	0.061	1	0.19
83	0.11	0.3	0.3	0.13	0	0	0.00068	0.017	0.14	1	0.19
84	0.094	0.25	0.25	0.18	0	0	0	0.042	0.18	1	0.19
85	0.11	0.3	0.3	0.095	4e-06	0	0.00038	0.096	0.097	1	0.19
86	0.14	0.36	0.36	0.0035	0	0	5.5e-05	0.13	0.0036	1	0.19
87	0.054	0.15	0.15	0.18	0	0	0.0022	0.28	0.19	7	0.33
88	0.017	0.047	0.047	0.2	0	0	0.0025	0.48	0.21	7	0.33
89	0.023	0.063	0.063	0.29	0	0	0.0026	0.26	0.3	8	0.26
90	0.1	0.28	0.28	0.11	0	0	0.00086	0.1	0.12	1	0.19
91	0.021	0.056	0.056	0.38	0	0	0.003	0.1	0.39	8	0.26
92	0.086	0.23	0.23	0.17	0	0	0.0012	0.1	0.18	1	0.19
93	0.15	0.39	0.39	0.0022	0	0	8.7e-06	0.071	0.0023	1	0.19
94	0.12	0.31	0.31	0.072	0	0	0.00062	0.12	0.074	1	0.19
95	0.15	0.4	0.4	0.018	0.004	0	0	0.0022	0.019	1	0.19
96	0.15	0.41	0.41	0.015	0	0	0	1.6e-05	0.015	1	0.19
97	0.1	0.27	0.27	0.053	0	0	7e-05	0.24	0.054	1	0.19
98	0.13	0.35	0.35	0.073	1e-05	0	0	0.019	0.075	1	0.19
99	0.14	0.39	0.39	0.023	0	0	0.00012	0.033	0.023	1	0.19
100	0.068	0.18	0.18	0.23	0	0	0	0.095	0.24	8	0.26
101	0.13	0.34	0.34	0.087	0	0	0	0.011	0.089	1	0.19
102	0.16	0.42	0.42	0.0066	0	0	0	2.5e-05	0.0067	1	0.19
103	0.14	0.38	0.38	0.043	0	0	0	0.0026	0.043	1	0.19
104	0.16	0.42	0.42	0.0045	1.3e-05	0	0	1.9e-05	0.0046	1	0.19
105	0.16	0.42	0.42	0.00037	0	0	0	0	0.00037	1	0.19
106	0.14	0.38	0.38	0.046	0	0	0	0.00022	0.047	1	0.19
107	0.15	0.39	0.39	0.00063	0.062	0	0	0	0.00065	1	0.19
108	0.16	0.42	0.42	0.0057	0.00033	0	0	7.1e-05	0.0058	1	0.19
109	0.12	0.32	0.32	0.065	0	0	0.00062	0.11	0.067	1	0.19
110	0.14	0.38	0.38	0.017	0	0	9.3e-05	0.075	0.017	1	0.19
111	0.14	0.38	0.38	0.044	2.2e-06	0	0	0.0033	0.045	1	0.19
112	0.067	0.18	0.18	0.22	0	0	0.0033	0.13	0.22	8	0.26
113	0.16	0.42	0.42	0.00048	4.2e-05	0	0	0	0.00049	1	0.19
114	0.15	0.4	0.4	0.019	0.0013	0	0	0.0019	0.02	1	0.19
115	0.16	0.42	0.42	0.0053	0.0022	0	0	9.3e-05	0.0054	1	0.19
116	0.15	0.41	0.41	0.0079	0	0	0	5.5e-06	0.008	1	0.19
117	0.1	0.27	0.27	0.15	0	0	0.0018	0.048	0.15	1	0.19
118	0.14	0.38	0.38	0.043	0	0	0	0.00029	0.044	1	0.19
119	0.15	0.4	0.4	0.019	0.00021	0	0	0.0012	0.02	1	0.19
120	0.12	0.31	0.31	0.032	0	0	0.00011	0.19	0.032	1	0.19
121	0.12	0.33	0.33	0.076	0	0	0.00079	0.073	0.078	1	0.19
122	0.0029	0.0077	0.0077	0.12	0	0	0.0053	0.74	0.12	7	0.33
123	0.11	0.29	0.29	0.1	0	0	0.0012	0.1	0.1	1	0.19
124	0.14	0.39	0.39	0.013	0	0	6.2e-05	0.055	0.013	1	0.19
125	0.079	0.21	0.21	0.13	0	0	0.0032	0.22	0.14	7	0.33
126	0.12	0.31	0.31	0.076	0	0	0.00077	0.11	0.077	1	0.19
127	0.11	0.3	0.3	0.11	0	0	0.0012	0.057	0.11	1	0.19
128	0.074	0.2	0.2	0.23	0	0	0.0015	0.057	0.24	8	0.26
129	0.081	0.22	0.22	0.24	0	0	0.0011	0.0071	0.24	8	0.26
130	0.12	0.31	0.31	0.045	0	0	0.00056	0.17	0.046	1	0.19
131	0.1	0.27	0.27	0.12	0	0	0.001	0.13	0.12	1	0.19
132	0.13	0.35	0.35	0.076	0	0	0.00032	0.015	0.078	1	0.19
133	0.016	0.044	0.044	0.24	0	0	0.0025	0.41	0.24	7	0.33
134	0.044	0.12	0.12	0.28	0	0	0.0022	0.15	0.29	8	0.26
135	0.15	0.4	0.4	0.012	1.1e-05	0	4e-05	0.022	0.012	1	0.19
136	0.14	0.37	0.37	0.035	0	0	0.00015	0.043	0.036	1	0.19
137	0.06	0.16	0.16	0.17	0	0	1.4e-05	0.27	0.18	7	0.33
138	0.1	0.28	0.28	0.048	0	0	6.6e-05	0.24	0.049	1	0.19
139	0.046	0.12	0.12	0.32	0	0	0	0.062	0.33	8	0.26
140	0.15	0.41	0.41	0.01	0.0047	0	0	0.00058	0.011	1	0.19
141	0.024	0.065	0.065	0.21	0	0	0	0.43	0.21	7	0.33
142	0.052	0.14	0.14	0.32	0	0	0	0.02	0.33	8	0.26
143	0.16	0.42	0.42	0.0051	0	0	0	1.2e-05	0.0052	1	0.19
144	0.16	0.42	0.42	0.0046	0	0	0	4.4e-06	0.0047	1	0.19
145	0.13	0.34	0.34	0.084	3.7e-06	0	0	0.021	0.086	1	0.19
146	0.073	0.2	0.2	0.22	0	0	0	0.086	0.23	8	0.26
147	0.12	0.31	0.31	0.087	0	0	0.00097	0.085	0.089	1	0.19
148	0.0093	0.025	0.025	0.36	0	0	0	0.22	0.36	8	0.26
