SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster	dcf0
0	0.00052	0.7	0	0.3	1.9e-05	0	0.00055	0	0.00055	0	1	0.19
1	0.034	0.62	0	0.27	6.7e-06	5.1e-05	0.036	5.1e-05	0.036	0	1	0.19
2	0.049	0.47	0.00018	0.2	0	0.088	0.052	0.088	0.052	0	1	0.19
3	0.035	0.62	0	0.27	5.4e-05	0.00022	0.037	0.00022	0.037	0	1	0.19
4	0.0023	0.69	0	0.3	5.4e-05	0	0.0024	0	0.0024	0	1	0.19
5	0.081	0.39	0.0003	0.17	0	0.096	0.086	0.096	0.086	0	1	0.19
6	0.0027	0.69	0	0.3	0	0	0.0029	0	0.0029	0	1	0.19
7	0.098	0.48	4.2e-06	0.21	0	0.0062	0.1	0.0062	0.1	0	1	0.19
8	0.089	0.45	0.00013	0.19	0	0.042	0.094	0.042	0.094	0	1	0.19
9	0.03	0.63	0	0.27	0.0003	0.00031	0.032	0.00031	0.032	0	1	0.19
10	0.0065	0.68	0	0.3	6.8e-05	0	0.0069	0	0.0069	0	1	0.19
11	0.032	0.63	0	0.27	0.00027	0.00038	0.034	0.00038	0.034	0	1	0.19
12	0.034	0.53	6e-05	0.23	0	0.066	0.036	0.066	0.036	0	1	0.19
13	0.0014	0.7	0	0.3	0.00022	0	0.0015	0	0.0015	0	1	0.19
14	2.1e-06	0.083	0	0.036	0.88	0	2.2e-06	0	2.2e-06	0	4	0.084
15	0.067	0.55	0	0.24	0	0.00034	0.071	0.00034	0.071	0	1	0.19
16	0.031	0.63	0	0.27	0	7.4e-06	0.033	7.4e-06	0.033	0	1	0.19
17	0.084	0.39	0.00037	0.17	0	0.087	0.09	0.087	0.09	0	1	0.19
18	0.014	0.67	0	0.29	0	0	0.015	0	0.015	0	1	0.19
19	0.01	0.67	0	0.29	0.0035	1.5e-05	0.011	1.5e-05	0.011	0	1	0.19
20	0.0016	0.7	0	0.3	2.5e-06	0	0.0017	0	0.0017	0	1	0.19
21	0.01	0.68	0	0.29	0.00015	0	0.011	0	0.011	0	1	0.19
22	0.036	0.62	0	0.27	0	0	0.038	0	0.038	0	1	0.19
23	0.056	0.45	0.00021	0.19	0	0.09	0.06	0.09	0.06	0	1	0.19
24	0.0077	0.68	0	0.29	0.00063	0	0.0082	0	0.0082	0	1	0.19
25	0.0084	0.58	1.7e-05	0.25	0	0.072	0.0089	0.072	0.0089	0	1	0.19
26	0.039	0.49	0.00013	0.21	0	0.089	0.042	0.089	0.042	0	1	0.19
27	0.13	0.41	3.1e-06	0.18	0	0.0068	0.13	0.0068	0.13	0	1	0.19
28	0.21	0.1	0.0019	0.043	0	0.095	0.23	0.095	0.23	0	6	0.26
29	0.14	0.39	4.2e-06	0.17	0	0.0089	0.14	0.0089	0.14	0	1	0.19
30	0.033	0.53	0.0001	0.23	0	0.073	0.035	0.073	0.035	0	1	0.19
31	0.19	0.19	0.0011	0.082	0	0.067	0.2	0.067	0.2	0	6	0.26
32	0.021	0.65	0	0.28	0	0	0.023	0	0.023	0	1	0.19
