SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster	dcf0
0	1	0.00052	0	0.00055	0.00055	1.9e-05	0	0	0.19
1	0.89	0.034	0	0.036	0.036	6.7e-06	0.0001	0	0.19
2	0.67	0.05	0	0.052	0.052	0	0.18	0	0.19
3	0.89	0.035	0	0.037	0.037	5.4e-05	0.00044	0	0.19
4	0.99	0.0023	0	0.0024	0.0024	5.4e-05	0	0	0.19
5	0.55	0.082	0	0.086	0.086	0	0.19	0	0.19
6	0.99	0.0027	0	0.0029	0.0029	0	0	0	0.19
7	0.68	0.099	0	0.1	0.1	0	0.012	0	0.19
8	0.64	0.089	0	0.094	0.094	0	0.084	0	0.19
9	0.91	0.03	0	0.032	0.032	0.0003	0.00062	0	0.19
10	0.98	0.0065	0	0.0068	0.0068	6.8e-05	0	0	0.19
11	0.9	0.032	0	0.034	0.034	0.00027	0.00077	0	0.19
12	0.76	0.034	0	0.036	0.036	0	0.13	0	0.19
13	1	0.0014	0	0.0015	0.0015	0.00022	0	0	0.19
14	0.12	2.1e-06	0	2.2e-06	2.2e-06	0.88	0	5	0.084
15	0.79	0.067	0	0.07	0.07	0	0.00067	0	0.19
16	0.9	0.031	0	0.033	0.033	0	1.5e-05	0	0.19
17	0.56	0.085	0	0.089	0.089	0	0.18	0	0.19
18	0.96	0.014	0	0.015	0.015	0	0	0	0.19
19	0.96	0.01	0	0.011	0.011	0.0035	3e-05	0	0.19
20	0.99	0.0017	0	0.0017	0.0017	2.5e-06	0	0	0.19
21	0.97	0.01	0	0.011	0.011	0.00015	3.7e-06	0	0.19
22	0.89	0.036	0	0.038	0.038	0	0	0	0.19
23	0.64	0.057	0	0.06	0.06	0	0.18	0	0.19
24	0.98	0.0078	0	0.0082	0.0082	0.00063	3.2e-06	0	0.19
25	0.83	0.0084	0	0.0088	0.0088	0	0.15	0	0.19
26	0.7	0.039	0	0.041	0.041	0	0.18	0	0.19
27	0.59	0.13	0	0.13	0.13	0	0.014	0	0.19
28	0.14	0.21	0	0.23	0.23	0	0.19	3	0.26
29	0.56	0.14	0	0.14	0.14	0	0.018	0	0.19
30	0.75	0.033	0	0.035	0.035	0	0.15	0	0.19
31	0.27	0.19	0	0.2	0.2	0	0.13	0	0.19
32	0.93	0.022	0	0.023	0.023	0	0	0	0.19
33	0.72	0.041	0	0.043	0.043	0	0.16	0	0.19
34	0.98	0.0061	0	0.0064	0.0064	0	0	0	0.19
35	0.58	0.14	0	0.14	0.14	0	3.9e-05	0	0.19
36	0.74	0.083	0	0.087	0.087	0	0	0	0.19
37	0.93	0.022	0	0.023	0.023	0.001	0.00035	0	0.19
38	0.97	0.011	0	0.011	0.011	0	0	0	0.19
39	0.99	0.0022	0	0.0023	0.0023	1e-05	0	0	0.19
40	0.99	0.0021	0	0.0023	0.0023	0	0	0	0.19
41	0.98	0.005	0	0.0053	0.0053	0	0	0	0.19
42	0.57	0.081	0	0.085	0.085	0	0.17	0	0.19
43	0.5	0.11	0	0.12	0.12	0	0.16	0	0.19
44	0.43	0.13	0	0.14	0.14	0	0.15	0	0.19
45	0.5	0.11	0	0.12	0.12	0	0.16	0	0.19
46	0.77	0.073	0	0.077	0.077	8.2e-06	0.0049	0	0.19
47	0.54	0.092	0	0.097	0.097	0	0.17	0	0.19
48	0.68	0.065	0	0.068	0.068	0	0.12	0	0.19
49	0.96	0.011	0	0.012	0.012	7e-06	0	0	0.19
50	1	0.00026	0	0.00027	0.00027	0	0	0	0.19
51	0.32	0.15	0	0.15	0.15	0	0.22	0	0.19
52	0.99	0.0024	0	0.0025	0.0025	0	0	0	0.19
53	0.58	0.084	0	0.088	0.088	0	0.16	0	0.19
54	0	0	1	0	0	0.00012	0	2	0
55	0.96	0.014	0	0.015	0.015	7.4e-06	5.1e-06	0	0.19
56	0.76	0.076	0	0.08	0.08	0	0.00047	0	0.19
57	0.82	0.033	0	0.035	0.035	0	0.082	0	0.19
58	0.46	0.16	0	0.17	0.17	0	0.044	0	0.19
59	0.63	0.092	0	0.097	0.097	0	0.08	0	0.19
60	0.68	0.075	0	0.079	0.079	0	0.083	0	0.19
61	0.69	0.073	0	0.077	0.077	0	0.085	0	0.19
62	0.12	0.17	0	0.18	0.18	0	0.34	6	0.4
63	0.71	0.068	0	0.072	0.072	0	0.074	0	0.19
64	0.69	0.077	0	0.081	0.081	0	0.076	0	0.19
65	0.97	0.0099	0	0.01	0.01	1.3e-05	1.6e-06	0	0.19
66	0.78	0.044	0	0.046	0.046	0	0.082	0	0.19
67	0.0082	0.17	0	0.18	0.18	0	0.47	6	0.4
68	0.31	0.2	0	0.21	0.21	0	0.072	0	0.19
69	0.81	0.06	0	0.063	0.063	1.1e-05	0.0051	0	0.19
70	0.7	0.083	0	0.087	0.087	0	0.045	0	0.19
71	0.24	0.23	0	0.24	0.24	0	0.047	3	0.26
72	1	1.2e-05	0	1.3e-05	1.3e-05	7.7e-05	0	0	0.19
73	0.087	0.28	0	0.3	0.3	0	0.036	3	0.26
74	0.72	0.071	0	0.074	0.074	0	0.065	0	0.19
75	0.63	0.091	0	0.096	0.096	0	0.088	0	0.19
76	0.68	0.076	0	0.08	0.08	0	0.088	0	0.19
77	0.93	0.0028	0	0.0029	0.0029	0	0.057	0	0.19
78	0.79	0.043	0	0.045	0.045	0	0.075	0	0.19
79	0.69	0.072	0	0.076	0.076	0	0.082	0	0.19
80	0.048	0.26	0	0.28	0.28	0	0.14	3	0.26
81	0.46	0.14	0	0.15	0.15	0	0.089	0	0.19
82	0.8	0.047	0	0.049	0.049	0.00013	0.051	0	0.19
83	0.62	0.092	0	0.097	0.097	0	0.097	0	0.19
84	0.57	0.14	0	0.14	0.14	0	0.0011	0	0.19
85	0.7	0.075	0	0.079	0.079	4.1e-06	0.065	0	0.19
86	0.94	0.003	0	0.0032	0.0032	0	0.055	0	0.19
87	0.34	0.14	0	0.15	0.15	0	0.22	0	0.19
88	0.13	0.19	0	0.2	0.2	0	0.3	6	0.4
89	0.16	0.25	0	0.26	0.26	0	0.066	3	0.26
90	0.63	0.088	0	0.092	0.092	0	0.093	0	0.19
91	0.12	0.27	0	0.29	0.29	0	0.026	3	0.26
92	0.51	0.13	0	0.14	0.14	0	0.089	0	0.19
93	0.94	0.0018	0	0.0019	0.0019	0	0.059	0	0.19
94	0.75	0.059	0	0.062	0.062	0	0.067	0	0.19
95	0.95	0.014	0	0.015	0.015	0.0042	0.00014	0	0.19
96	0.96	0.012	0	0.012	0.012	0	0	0	0.19
97	0.74	0.048	0	0.051	0.051	0	0.11	0	0.19
98	0.82	0.058	0	0.061	0.061	1e-05	0.0016	0	0.19
99	0.78	0.016	0	0.016	0.016	0	0.17	0	0.19
100	0.43	0.18	0	0.19	0.19	0	0.0049	0	0.19
101	0.79	0.068	0	0.071	0.071	0	0.00028	0	0.19
102	0.98	0.0053	0	0.0055	0.0055	0	0	0	0.19
103	0.9	0.034	0	0.035	0.035	0	3e-05	0	0.19
104	0.99	0.0036	0	0.0038	0.0038	1.4e-05	0	0	0.19
105	1	0.00029	0	0.00031	0.00031	0	0	0	0.19
106	0.89	0.036	0	0.038	0.038	0	0	0	0.19
107	0.93	0.00051	0	0.00053	0.00053	0.064	0	0	0.19
108	0.99	0.0045	0	0.0048	0.0048	0.00034	0	0	0.19
109	0.7	0.048	0	0.051	0.051	0	0.15	0	0.19
110	0.81	0.012	0	0.013	0.013	0	0.15	0	0.19
111	0.89	0.035	0	0.037	0.037	2.2e-06	5.4e-05	0	0.19
112	0.37	0.16	0	0.16	0.16	0	0.15	0	0.19
113	1	0.00038	0	0.0004	0.0004	4.4e-05	0	0	0.19
114	0.95	0.015	0	0.016	0.016	0.0013	8.5e-05	0	0.19
115	0.98	0.0042	0	0.0044	0.0044	0.0023	0	0	0.19
116	0.98	0.0063	0	0.0066	0.0066	0	0	0	0.19
117	0.54	0.097	0	0.1	0.1	0	0.16	0	0.19
118	0.89	0.034	0	0.036	0.036	0	0	0	0.19
119	0.95	0.015	0	0.016	0.016	0.00022	2.8e-05	0	0.19
120	0.79	0.027	0	0.028	0.028	0	0.13	0	0.19
121	0.67	0.053	0	0.056	0.056	0	0.16	0	0.19
122	0.017	0.09	0	0.094	0.094	0	0.7	6	0.4
123	0.62	0.073	0	0.077	0.077	0	0.16	0	0.19
124	0.82	0.0094	0	0.0099	0.0099	0	0.15	0	0.19
125	0.45	0.097	0	0.1	0.1	0	0.25	0	0.19
126	0.68	0.056	0	0.059	0.059	0	0.15	0	0.19
127	0.61	0.074	0	0.078	0.078	0	0.16	0	0.19
128	0.41	0.16	0	0.17	0.17	0	0.082	0	0.19
129	0.42	0.15	0	0.16	0.16	0	0.1	0	0.19
130	0.82	0.04	0	0.042	0.042	0	0.057	0	0.19
131	0.65	0.095	0	0.1	0.1	0	0.056	0	0.19
132	0.73	0.054	0	0.057	0.057	0	0.098	0	0.19
133	0.13	0.23	0	0.24	0.24	0	0.15	3	0.26
134	0.27	0.21	0	0.23	0.23	0	0.068	0	0.19
135	0.93	0.0091	0	0.0096	0.0096	1.2e-05	0.043	0	0.19
136	0.83	0.027	0	0.028	0.028	0	0.085	0	0.19
137	0.45	0.16	0	0.17	0.17	0	0.048	0	0.19
138	0.75	0.044	0	0.047	0.047	0	0.11	0	0.19
139	0.27	0.23	0	0.25	0.25	0	0.0006	0	0.19
140	0.97	0.0083	0	0.0087	0.0087	0.0048	1.6e-05	0	0.19
141	0.23	0.24	0	0.26	0.26	0	0.015	3	0.26
142	0.29	0.23	0	0.24	0.24	0	2.8e-05	0	0.19
143	0.99	0.0041	0	0.0043	0.0043	0	0	0	0.19
144	0.99	0.0037	0	0.0039	0.0039	0	0	0	0.19
145	0.79	0.066	0	0.069	0.069	3.8e-06	0.0016	0	0.19
146	0.45	0.17	0	0.18	0.18	0	0.0044	0	0.19
