SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster	dcf0	dcf1
0	0	0	0	0	0	0	0	0	0.04	0.027	0	0	0.32	0	0.55	0	0	0.068	14	0.57	0.57
1	0.12	0	0.87	0	0	0	0	0	0	9.7e-05	0	0.0002	0	1.7e-06	0	0.0054	0	0	2	0.13	0
2	0	0	0	0	0	0	0	0	0.15	0.38	0	0	0.0051	0	0.22	0	0	0.24	9	0.38	0.29
3	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2e-05	0	1	0	0	15	0.13	0.032
4	0	0	0	0	0	0	0	1.8e-05	0.063	0.25	0	0	0.16	0	0.47	0	0	0.06	14	0.57	0.57
5	0	0	0	0	0	0	0	0	0.25	0.041	0	0	0.009	0	0.62	0	0	0.079	14	0.57	0.57
6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0.097
7	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.00026	0	0	2	0.13	0
8	0	0	0	0	0	0	0	0	0.018	0.006	0	0	0.47	0	0.32	0	0	0.18	12	0.49	0.52
9	0	0	0	0	0	0	0	2.8e-06	0.06	0.23	0	0	0.14	0	0.53	0	0	0.036	14	0.57	0.57
10	1.7e-05	0	0	0	4.9e-05	0	0	0	0	0	4.3e-06	0	0	0	0	0	1	0	16	0	0.29
11	0	0	0	0	0	0	0	0	0.091	0.46	0	0	0.012	0	0.17	0	0	0.27	9	0.38	0.29
12	0	0	0.99	0	0	0	0	0	0	0	0	0.00012	0	0	0	0.0068	0	0	2	0.13	0
13	0.38	0	0	0	0.00019	0.61	0	0	0	0	1.7e-05	0	0	0.0039	0	0	0	0	5	0.13	0.19
14	0	0	0	0	0	0	0	2.4e-05	0.017	0.35	0	0	0.021	0	0.041	0	0	0.57	17	0.62	0.48
15	0	0	0	0	0	0	0	0	0.38	0.18	0	0	0.00051	0	0.41	0	0	0.024	14	0.57	0.57
16	0	0	0.99	0	0	0	0	0	0	0	0	0.00017	0	4.1e-06	0	0.013	0	0	2	0.13	0
17	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0.86	0	0	0	0	13	0.13	0.13
18	0	0	0.97	0	3.4e-06	0	0	0	0	0	0	0.00038	0	0.00012	0	0.029	0	0	2	0.13	0
19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0037	0	0	2	0.13	0
20	0	0	0	0	0	0	0	0	0.096	0.63	0	0	0.0033	0	0.12	0	0	0.15	9	0.38	0.29
