SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster	dcf0	dcf1
0	0	0	0	0	0.068	0	0	0.65	0	0	0	0.25	0	0.026	0	0	7	0.57	0.57
1	0.27	0.06	0	0.018	0	0	0	0	0.0056	0	0.64	0	0.0002	0.0001	0	0	10	0.084	0
2	0	0	0	0	0.28	0	0	0.3	0	0	0	0.0046	0	0.42	0	0	13	0.38	0.29
3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0.13	0.032
4	0	0	0	0	0.061	0	0	0.57	0	0	0	0.12	0	0.25	1.7e-05	0	7	0.57	0.57
5	0	0	0	0	0.09	0	0	0.86	0	0	0	0.0082	0	0.046	0	0	7	0.57	0.57
6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0.16
7	0.053	0.012	0	0.025	0	0	0	0	9.1e-05	0	0.91	0	0	0	0	0	10	0.084	0
8	0	0	0	0	0.19	0	0	0.41	0	0	0	0.39	0	0.0061	0	0	7	0.57	0.57
9	0	0	0	0	0.036	0	0	0.63	0	0	0	0.11	0	0.22	2.7e-06	0	7	0.57	0.57
10	0	0	0	6.7e-05	0	1	0.0015	0	0	0	0	0	0	0	0	0	5	0	0.16
11	0	0	0	0	0.3	0	0	0.22	0	0	0	0.01	0	0.48	0	0	13	0.38	0.29
12	0.46	0	0	0	0	0	0	0	0.01	0	0.53	0	0.00017	0	0	0	10	0.084	0
13	0	0.35	0.58	0.074	0	0	0.00029	0	0	0	0	0	0	0	0	0	2	0.13	0.16
14	0	0	0	0	0.58	0	0	0.051	0	0	0	0.017	0	0.35	2.4e-05	0	4	0.62	0.48
15	0	0	0	0	0.034	0	0	0.71	0	0	0	0.00058	0	0.25	0	0	7	0.57	0.57
16	0.25	0	0	0	0	0	0	0	0.01	0	0.74	0	0.00013	0	0	0	10	0.084	0
17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.13	0.16
18	0.27	0	2.1e-05	0	0	0	3.4e-06	0	0.026	0	0.7	0	0.00034	0	0	0	10	0.084	0
19	0.064	0	0	0	0	0	0	0	0.00079	0	0.94	0	0	0	0	0	10	0.084	0
20	0	0	0	0	0.16	0	0	0.16	0	0	0	0.0029	0	0.67	0	0	13	0.38	0.29
21	0.28	0	3e-05	0	0	0	4.4e-06	0	0.029	0	0.69	0	0.00051	0	0	0	10	0.084	0
22	0	0	0	0	1	0	0	0.0035	0	0	0	0.0002	0	0.00067	0	0	4	0.62	0.48
23	0.33	0	0	0	0	0	0	0	0.015	0	0.66	0	0.00048	0	0	0	10	0.084	0
24	0.18	0	0	0	0	0	0	0	0.0047	0	0.81	0	1.3e-05	0	0	0	10	0.084	0
25	0	6.1e-05	0	0	0	0	0	0	0	0.65	0	2.1e-05	0	1.9e-05	0.35	0	9	0.21	0.55
26	0.13	0.03	0	0.022	0	0	0	0	0.0023	0	0.81	0	0	0	0	0	10	0.084	0
27	0.24	0.053	0	0.019	0	0	0	0	0.0066	0	0.68	0	2.2e-05	6.6e-06	0	0	10	0.084	0
28	0.18	0.039	0	0.021	0	0	0	0	0.0019	0	0.76	0	0	0	0	0	10	0.084	0
29	0	8.5e-05	0	0	0	0	0	0	0	0.072	0	2.1e-05	0	0.078	0.85	0	14	0.28	0.47
30	0	4.2e-05	5.5e-05	0.00026	0	0.99	0.014	0	0	0	0	0	0	0	0	0	5	0	0.16
31	0	0	0	0	0.015	0	0	0.0014	0	0	0	0	0	0.98	0	0	13	0.38	0.29
32	0.046	0.01	0	0.025	0	0	0	0	0.00029	0	0.92	0	0	0	0	0	10	0.084	0
33	0	0	0	0	0.002	0	0	0.00036	0	0	0	7.7e-06	0	1	0	0	13	0.38	0.29
34	0	0.00064	0	0	0	0	0	0	0	0.064	0	2.4e-06	0	0.005	0.93	0	14	0.28	0.47
35	0	0.34	0.21	0.24	0	0	0.21	0	0	0	0	0	0	5e-05	0	0	1	0.13	0.29
36	0	0.0057	0.99	0.00069	0	0	0.0054	0	0.00047	0	0	0	0	7.4e-06	0	1.7e-06	2	0.13	0.16
37	0	0	0	0	0.071	0	0	0.46	0	0	0	0.0032	0	0.47	0	0	13	0.38	0.29
38	0.25	0.055	0	0.018	0	0	0	0	0.0032	0	0.67	0	3.1e-05	9.8e-06	0	0	10	0.084	0
39	0	0.00047	0.98	3.7e-05	0	0	0.00093	0	0.015	0	0	0	0	0	0	1.3e-06	2	0.13	0.16
40	0	0.00042	0	7.5e-06	0.042	0	0	0.13	0	0.0034	0	0.045	0	0.76	0.018	0	13	0.38	0.29
41	0.17	0	0	0	0	0	0	0	0.0036	0	0.82	0	0	0	0	0	10	0.084	0
42	0	0	0	0	0.16	0	0	0.054	0	0	0	0.03	0	0.76	0	0	13	0.38	0.29
43	0	0.46	0.012	0.5	0	0	0.031	0	0	3.4e-06	0	0	0	4.2e-06	5.2e-06	0	3	0.084	0.29
44	0.17	0	0	0	0	0	0	0	0.0031	0	0.83	0	0	0	0	0	10	0.084	0
45	0	0	0	0	0.28	0	0	0.35	0	0	0	0.018	0	0.35	0	0	13	0.38	0.29
46	0	0	0	0	0.003	0	0	3.6e-05	0	0	0	0	0	1	0	0	13	0.38	0.29
47	0.36	0	0	0	0	0	0	0	0.016	0	0.62	0	0.00017	0	0	0	10	0.084	0
48	0	0	2e-05	0	0	0.98	0.016	0	2.8e-06	0	0	0	0	0	0	0	5	0	0.16
49	0	0	0	0	3.7e-05	0	0	1.2e-06	0	0	0	0	0	1	0	0	13	0.38	0.29
50	0	7.4e-06	0.9	4.3e-06	0	0	0.061	0	0.039	0	0	0	0	0	0	0	2	0.13	0.16
51	0.095	0.021	0	0.024	0	0	0	0	0.0005	0	0.86	0	0	0	0	0	10	0.084	0
52	0	0	0	0	0.21	0	0	0.38	0	4e-06	0	0.071	0	0.34	0.00055	0	7	0.57	0.57
53	0	0.012	0.016	0.042	0	0	0.93	0	0	0	0	0	0	0	0	0	6	0.042	0.16
54	0.045	0	0	0	0	0	0	0	0.00036	0	0.95	0	0	0	0	0	10	0.084	0
55	0	2.5e-06	0	0	0.0012	0	0	0.018	0	0.00089	0	0.019	0	0.95	0.013	0	13	0.38	0.29
56	0	2.3e-05	0	0.00068	0	1	0.0032	0	0	0	0	0	0	0	0	0	5	0	0.16
57	0.21	0.046	0	0.02	0	0	0	0	0.0034	0	0.72	0	2.1e-05	7.1e-06	0	0	10	0.084	0
58	0	0	0	0	0.038	0	0	0.41	0	0	0	0.057	0	0.49	3.6e-05	0	13	0.38	0.29
59	0	0.13	0.023	0.091	0	0.67	0.079	0	0	0.00024	0	2.5e-06	0	0.0067	0.00067	0	5	0	0.16
60	0	4.1e-05	0.005	0.00026	0	0	0.99	0	0	0	0	0	0	0	0	0	6	0.042	0.16
61	0	0	0	0	0.0017	0	0	0.0023	0	4.1e-05	0	0.078	0	0.74	0.18	0	13	0.38	0.29
62	0	0	0	0	0.007	0	0	0.02	0	0.00014	0	0.076	0	0.85	0.045	0	13	0.38	0.29
63	0	0	0	0	0.048	0	0	0.37	0	2.2e-06	0	0.086	0	0.5	0.00031	0	13	0.38	0.29
64	0	0	1.9e-06	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0.13	0.032
65	0	0	0	0	0.00031	0	0	0.00089	0	2.5e-05	0	0.052	0	0.79	0.16	0	13	0.38	0.29
66	0.79	0.17	0	0.00095	0	0	0	0	0.00072	0	0.035	0	0.00067	6.8e-05	0	0	0	0.13	0
67	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0.13	0.032
68	0	0	0	0	0.025	0	0	0.86	0	0	0	0.004	0	0.11	0	0	7	0.57	0.57
69	0.3	0.065	1.2e-05	0.017	0	0	1.2e-06	0	0.014	0	0.6	0	0.0016	0.0013	0	0	10	0.084	0
70	0	0	0	0	0.00043	0	0	0.033	0	0	0	0.64	0	0.33	0	0	11	0.49	0.52
71	0	0	0	0	0.23	0	0	0.66	0	0	0	0.0025	0	0.11	0	0	7	0.57	0.57
72	0	0	0	0	0.13	0	0	0.64	0	0	0	0.23	0	0.004	0.00014	0	7	0.57	0.57
73	0	0	0	0	0.0004	0	0	0.00033	0	1.9e-05	0	0.003	0	0.99	0.0083	0	13	0.38	0.29
74	0	0	0	0	0	1	0.00012	0	0	0	0	0	0	0	0	0	5	0	0.16
75	0.0025	0.00055	0	2.4e-06	0	0	0	0	0.00014	0	8.7e-05	0	0.26	0.73	0	0.00036	13	0.38	0.29
76	0	0.00011	0	1.4e-06	0.098	0	0	0.32	0	0.001	0	0.097	0	0.48	0.0026	0	13	0.38	0.29
77	0.31	0.068	0	0.017	0	0	0	0	0.00025	0	0.6	0	0	0	0	0	10	0.084	0
78	0	0.27	0	0.00056	0	0	0	0	0	0.71	0	0	0	0.0049	0.014	0	9	0.21	0.55
79	0.12	0.026	0	0.023	0	0	0	0	0.0019	0	0.83	0	0	0	0	0	10	0.084	0
80	0	0	0	0	0.072	0	0	0.92	0	0	0	0.0086	0	6.1e-05	0	0	7	0.57	0.57
81	0	0	0	0	0.03	0	0	0.93	0	0	0	0.033	0	0.0064	0	0	7	0.57	0.57
82	0	0	0	0	0.49	0	0	0.27	0	0	0	0.11	0	0.14	0.0002	0	4	0.62	0.48
83	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0.66	0	0	13	0.38	0.29
84	0	0	2.6e-06	0	0	0	0	0	0.85	0	0	0	0	0	0	0.15	8	0.13	0.032
85	0	0	0	0	0.12	0	0	0.56	0	0	0	0.18	0	0.14	0	0	7	0.57	0.57
86	0	0	1.1e-05	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.042	0.16
87	0	0	0.00013	1.1e-05	0	0.97	0.03	0	0	0	0	0	0	0	0	0	5	0	0.16
88	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0.042	0.16
89	0	0	0	0	0.88	0	0	0.03	0	0	0	0.00035	0	0.088	0	0	4	0.62	0.48
90	0.37	0	1.4e-05	0	0	0	0	0	0.031	0	0.6	0	0.0018	0	0	0	10	0.084	0
91	0.52	0	7.2e-06	0	0	0	0	0	0.036	0	0.44	0	0.0095	0	0	0	0	0.13	0
92	0	0	0	0	0.24	0	0	0.012	0	0	0	0.0054	0	0.74	0	0	13	0.38	0.29
93	0.99	0	0	0	0	0	0	0	0.00027	0	0.0065	0	0.00073	0	0	0	0	0.13	0
94	0	0	0	0	0.25	0	0	0.31	0	0	0	0.0015	0	0.44	0	0	13	0.38	0.29
95	0.17	0	0	0	0	0	0	0	0.0049	0	0.83	0	0	0	0	0	10	0.084	0
96	0	0	7e-05	0	0	0.98	0.025	0	0	0	0	7.5e-06	0	0	0	0	5	0	0.16
97	0	0.029	0.77	0.012	0	0	0.19	0	0.0005	0	0	0	0	3.4e-05	0	1e-06	2	0.13	0.16
