SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster	dcf0	dcf1
0	0	0	0	0	0	0.7	0.26	0	0	0.047	2.3e-05	0	0	5	0.57	0.48
1	0.059	0.8	0	0.00053	0.14	0	0	0.0002	0	0.0001	0	0	2.7e-05	1	0.084	0
2	0	0	0	0	0	0.14	0.51	0	0	0.35	1.7e-06	0	0	6	0.62	0.57
3	0	0	0	1	0	0	0	0	0	0	0	2.8e-06	0	3	0.13	0.064
4	0	0	0	0	0	0.28	0.34	0	3e-05	0.37	0.0028	0	0	9	0.38	0.29
5	0	0	0	0	0	0.08	0.88	0	0	0.039	2.1e-06	0	0	6	0.62	0.57
6	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0.16
7	0.00081	0.98	0	0	0.024	0	0	0	0	0	0	0	0	1	0.084	0
8	0	0	0	0	0	0.95	0.044	0	0	0.004	0	0	0	5	0.57	0.48
9	0	0	0	0	0	0.23	0.37	0	5.5e-06	0.39	0.0096	0	0	9	0.38	0.29
10	0	0	1	0	0	0	0	0	0	0	0	0.0018	0	2	0	0.16
11	0	0	0	0	0	0.21	0.34	0	0	0.45	1.6e-05	0	0	9	0.38	0.29
12	0.17	0.83	0	0.0007	0	0	0	0.00023	0	0	0	0	4.9e-05	1	0.084	0
13	0	0	0	0	1	0	0	0	0	0	0	0.00043	0	4	0.13	0.29
14	0	0	0	0	0	0.59	0.062	0	2.8e-05	0.35	0	0	0	5	0.57	0.48
15	0	0	0	0	0	0.007	0.88	0	0	0.11	0	0	0	6	0.62	0.57
16	0.048	0.95	0	0.001	0	0	0	0.00014	0	0	0	0	3.9e-05	1	0.084	0
17	0	0	0	0.015	0.59	0	0	0	0	0	0	0.4	0	4	0.13	0.29
18	0.065	0.93	0	0.0063	0	1.7e-06	0	0.00037	0	0	0	4.5e-06	0.0002	1	0.084	0
19	0.0016	1	0	1.9e-05	0	0	0	0	0	0	0	0	0	1	0.084	0
20	0	0	0	0	0	0.076	0.34	0	0	0.59	0	0	0	9	0.38	0.29
21	0.073	0.92	0	0.0076	0	2.9e-06	0	0.00057	0	0	0	5.9e-06	0.0003	1	0.084	0
22	0	0	0	0	0	0.98	0.023	0	0	0.0015	0	0	0	5	0.57	0.48
23	0.092	0.91	0	0.0018	0	0	0	0.00054	0	0	0	0	0.00014	1	0.084	0
24	0.023	0.98	0	0.00026	0	0	0	1.3e-05	0	0	0	0	3.3e-06	1	0.084	0
25	0	0	0	0	0.00034	0	0	0	1	4.6e-05	2.1e-05	0	0	8	0.28	0.47
26	0.0093	0.93	0	0.00017	0.065	0	0	0	0	0	0	0	0	1	0.084	0
27	0.039	0.84	0	0.00084	0.12	0	0	2.3e-05	0	6.8e-06	0	0	6.6e-06	1	0.084	0
28	0.018	0.89	0	8.6e-05	0.087	0	0	0	0	0	0	0	0	1	0.084	0
29	0	0	0	0	0.00018	0	0	0	0.93	0.071	0	0	0	8	0.28	0.47
30	0	0	0.98	0	9.7e-05	0	0	0	0	0	0	0.017	0	2	0	0.16
31	0	0	0	0	0	0.00031	0.076	0	0	0.92	0	0	0	9	0.38	0.29
32	0.00089	0.98	0	7.2e-06	0.021	0	0	0	0	0	0	0	0	1	0.084	0
33	0	0	0	0	0	0.00018	0.008	0	0	0.99	0	0	0	9	0.38	0.29
34	0	0	0	0	0.0013	0	0	0	0.99	0.0045	0	0	0	8	0.28	0.47
35	0	0	0	1.5e-05	0.76	0	0	0	0	4.9e-05	0	0.24	0	4	0.13	0.29
36	0	0	0	0.88	0.084	0	0	0	0	4.7e-05	0	0.041	2e-05	3	0.13	0.064
37	0	0	0	0	0	0.035	0.63	0	0	0.34	1.2e-05	0	0	6	0.62	0.57
38	0.043	0.83	0	0.00019	0.13	0	0	3.2e-05	0	1e-05	0	0	4.1e-06	1	0.084	0
39	0	0	0	1	0.00079	0	0	0	0	0	0	0.00081	3.4e-05	3	0.13	0.064
40	0	0	0	0	0.00099	0.097	0.08	0	0.022	0.79	0.0097	0	0	9	0.38	0.29
41	0.016	0.98	0	0.00016	0	0	0	0	0	0	0	0	0	1	0.084	0
42	0	0	0	0	0	0.26	0.047	0	0	0.7	2e-05	0	0	9	0.38	0.29
43	0	0	0	0	0.97	0	0	0	5.8e-06	3.9e-06	0	0.034	0	4	0.13	0.29
44	0.012	0.99	0	0.00012	0	0	0	0	0	0	0	0	0	1	0.084	0
45	0	0	0	0	0	0.23	0.44	0	0	0.32	2e-05	0	0	6	0.62	0.57
46	0	0	0	0	0	3.5e-05	0.0039	0	0	1	0	0	0	9	0.38	0.29
47	0.1	0.9	0	0.002	0	0	0	0.0002	0	0	0	0	7.3e-05	1	0.084	0
48	0	0	0.98	8.4e-05	0	0	0	0	0	0	0	0.019	0	2	0	0.16
49	0	0	0	0	0	6.2e-06	0.00023	0	0	1	0	0	0	9	0.38	0.29
50	0	0	0	0.99	3.2e-06	0	0	0	0	0	0	0.014	0	3	0.13	0.064
51	0.0037	0.95	0	1.1e-05	0.044	0	0	0	0	0	0	0	0	1	0.084	0
52	0	0	0	0	0	0.34	0.31	0	0.00067	0.35	0.0019	0	0	9	0.38	0.29
53	0	0	0	8.4e-06	0.025	0	0	0	0	0	0	0.98	0	11	0.042	0.16
54	0.00067	1	0	5.5e-06	0	0	0	0	0	0	0	0	0	1	0.084	0
55	0	0	0	0	5.9e-06	0.0077	0.0037	0	0.015	0.97	0.0025	0	0	9	0.38	0.29
56	0	0	1	0	5.3e-05	0	0	0	0	0	0	0.0039	0	2	0	0.16
57	0.03	0.86	0	0.00024	0.11	0	0	2.1e-05	0	7.1e-06	0	0	3.3e-06	1	0.084	0
58	0	0	0	0	0	0.13	0.23	0	5.3e-05	0.62	0.022	0	0	9	0.38	0.29
59	0	0	0.63	5.9e-05	0.28	3.3e-06	0	0	0.00075	0.0063	0	0.088	0	2	0	0.16
60	0	0	0	0.00017	8e-05	0	0	0	0	0	0	1	0	11	0.042	0.16
61	0	0	0	0	0	0.04	0.00012	0	0.22	0.74	0	0	0	9	0.38	0.29
62	0	0	0	0	0	0.062	0.003	0	0.055	0.88	8.6e-05	0	0	9	0.38	0.29
63	0	0	0	0	0	0.16	0.21	0	0.00046	0.62	0.0059	0	0	9	0.38	0.29
64	0	0	0	1	0	0	0	0	0	0	0	1.3e-05	5.6e-05	3	0.13	0.064
65	0	0	0	0	0	0.013	2.8e-05	0	0.19	0.8	1.1e-06	0	0	9	0.38	0.29
