SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster	dcf0	dcf1
0	0.034	0	0.36	0.45	0.15	0	0	0	0	0	0	0	0	0	3	0.59	0.57
1	0.0001	0.0044	0	0	0	0.0038	0	0	0	0.059	8.7e-06	0	0	0.93	13	0.13	0
2	0.4	0	0.12	0.47	0.0082	0	0	0	0	0	0	0	0	0	3	0.59	0.57
3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0.13	0.032
4	0.26	0	0.15	0.42	0.17	0	0	0	0	0	0	0	0	0	3	0.59	0.57
5	0.037	0	0.056	0.9	0.0032	0	0	0	0	0	0	0	0	0	3	0.59	0.57
6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0.064
7	0	0.064	0	0	0	0.00031	0	0	0	0.055	0	0	0	0.88	13	0.13	0
8	0.0046	0	0.8	0.15	0.043	0	0	0	0	0	0	0	0	0	2	0.57	0.48
9	0.24	0	0.1	0.44	0.22	0	0	0	0	0	0	0	0	0	3	0.59	0.57
10	0	0.0013	0	0	0	0	0	1	0	0	0	4.9e-05	0	0	7	0	0.23
11	0.49	0	0.17	0.31	0.026	0	0	0	0	0	0	0	0	0	0	0.38	0.29
12	0	0	0	0	0	0.0045	0	0	0	0	5.3e-06	0	0	1	13	0.13	0
13	0	0.00013	0	0	0	0	0	0	0.63	0.37	0	0.0003	0	0	8	0.13	0.16
14	0.31	0	0.39	0.053	0.25	0	0	0	0	0	0	0	0	0	2	0.57	0.48
15	0.15	0	0.0067	0.85	0.00022	0	0	0	0	0	0	0	0	0	3	0.59	0.57
16	0	0	0	0	0.082	0.0077	0	0	0	0	1.3e-05	0	0	0.91	13	0.13	0
17	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0.13	0.16
18	0	0	1.1e-06	0	0.069	0.018	0	0	2e-05	0	7e-05	3.2e-06	0	0.91	13	0.13	0
19	0	0	0	0	0.33	0.0016	0	0	0	0	0	0	0	0.67	13	0.13	0
20	0.64	0	0.061	0.27	0.027	0	0	0	0	0	0	0	0	0	0	0.38	0.29
21	0	0	1.8e-06	0	0.064	0.019	0	0	2.8e-05	0	0.00011	4e-06	0	0.92	13	0.13	0
22	0.0021	0	0.98	0.022	3e-06	0	0	0	0	0	0	0	0	0	2	0.57	0.48
23	0	0	0	0	0.053	0.0087	0	0	0	0	3.9e-05	0	0	0.94	13	0.13	0
24	0	0	0	0	0.12	0.0045	0	0	0	0	0	0	0	0.88	13	0.13	0
