k	loglikelihood	observations	parameters	BIC
1	-4161.67	3136	4	8355.55
2	-2239.97	3136	6	4528.23
3	-1786.84	3136	8	3638.09
4	-1692.58	3136	10	3465.66
5	-1629.22	3136	12	3355.05
6	-1558.9	3136	14	3230.5
7	-1494.08	3136	16	3116.97
8	-1440.45	3136	18	3025.81
9	-1426.96	3136	20	3014.94
10	-1398.01	3136	22	2973.13
11	-1423.79	3136	24	3040.79
12	-1369.28	3136	26	2947.89
13	-1372.98	3136	28	2971.39
14	-1358.16	3136	30	2957.84
15	-1356.57	3136	32	2970.75
16	-1355.12	3136	34	2983.96
17	-1339.58	3136	36	2968.99
18	-1346.86	3136	38	2999.65
19	-1327.46	3136	40	2976.95
20	-1332.13	3136	42	3002.38
