SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0.00025	0	0	0.46	0	0	0	0.54	0	0	0	7	0.55	0.54	0.5	0.59	0.65
1	0.00011	0	0	0.6	0	0	0	0.4	0	0	0	3	0.49	0.54	0.5	0.59	0.65
2	0.19	0	0	0.0068	0	0	0	0.8	0	0	0	7	0.55	0.54	0.5	0.59	0.65
3	0	0	0	0	0	0	0	0	0	1	0	9	0	0.15	0	0	0
4	0	0	0	0	1	0	0	0	0	0	0	4	0	0.06	0.056	0.46	0.36
5	0.25	0	0	0.063	0	0	0	0.69	0	0	0	7	0.55	0.54	0.5	0.59	0.65
6	1.2e-05	0	0	0.17	0	0	0	0.83	0	0	0	7	0.55	0.54	0.5	0.59	0.65
7	0	1	0	0	0	0	0	0	0	0	0	1	0.16	0.051	0.056	0.046	0.039
8	4.3e-05	0	0	0.89	0	0	0	0.11	0	0	0	3	0.49	0.54	0.5	0.59	0.65
9	0.98	0	0	0.00064	0	0	0	0.014	0	0	0	0	0.6	0.54	0.5	0.68	0.69
10	0	0	0	0.92	0	0	0	0.079	0	0	0	3	0.49	0.54	0.5	0.59	0.65
11	0.0048	0	0	0.38	0	0	0	0.62	0	0	0	7	0.55	0.54	0.5	0.59	0.65
12	0.026	0	0	0.47	0	0	0	0.5	0	0	0	7	0.55	0.54	0.5	0.59	0.65
13	0.84	0	0	0.002	0	0	0	0.15	0	0	0	0	0.6	0.54	0.5	0.68	0.69
14	0	0	0	0.99	0	0	0	0.013	0	0	0	3	0.49	0.54	0.5	0.59	0.65
15	0.0027	0	0	0.086	0	0	0	0.91	0	0	0	7	0.55	0.54	0.5	0.59	0.65
16	0.049	0	0	0.3	0	0	0	0.65	0	0	0	7	0.55	0.54	0.5	0.59	0.65
17	0	1	0	0	0	0	0	0	0	0	0	1	0.16	0.051	0.056	0.046	0.039
18	0	0	0	0.77	0	0	0	0.23	0	0	0	3	0.49	0.54	0.5	0.59	0.65
19	0	0	0	0.69	0	0	0	0.31	0	0	0	3	0.49	0.54	0.5	0.59	0.65
20	3.7e-05	0	0	0.66	0	0	0	0.34	0	0	0	3	0.49	0.54	0.5	0.59	0.65
21	0.0018	0	0	0.088	0	0	0	0.91	0	0	0	7	0.55	0.54	0.5	0.59	0.65
22	0	0	0	0.95	0	0	0	0.053	0	0	0	3	0.49	0.54	0.5	0.59	0.65
23	0	1	0	0	0	0	0	0	0	0	0	1	0.16	0.051	0.056	0.046	0.039
24	1	0	0	8.8e-06	0	0	0	0.0021	0	0	0	0	0.6	0.54	0.5	0.68	0.69
25	0	0	0	0.98	0	0	0	0.021	0	0	0	3	0.49	0.54	0.5	0.59	0.65
