SNV	cluster0	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	1	0	0.55	0.54	0.5	0.59	0.65
1	1	0	0.55	0.54	0.5	0.59	0.65
2	1	0	0.55	0.54	0.5	0.59	0.65
3	1	0	0.55	0.54	0.5	0.59	0.65
4	1	0	0.55	0.54	0.5	0.59	0.65
5	1	0	0.55	0.54	0.5	0.59	0.65
6	1	0	0.55	0.54	0.5	0.59	0.65
7	1	0	0.55	0.54	0.5	0.59	0.65
8	1	0	0.55	0.54	0.5	0.59	0.65
9	1	0	0.55	0.54	0.5	0.59	0.65
10	1	0	0.55	0.54	0.5	0.59	0.65
11	1	0	0.55	0.54	0.5	0.59	0.65
12	1	0	0.55	0.54	0.5	0.59	0.65
13	1	0	0.55	0.54	0.5	0.59	0.65
14	1	0	0.55	0.54	0.5	0.59	0.65
15	1	0	0.55	0.54	0.5	0.59	0.65
16	1	0	0.55	0.54	0.5	0.59	0.65
17	1	0	0.55	0.54	0.5	0.59	0.65
18	1	0	0.55	0.54	0.5	0.59	0.65
19	1	0	0.55	0.54	0.5	0.59	0.65
20	1	0	0.55	0.54	0.5	0.59	0.65
21	1	0	0.55	0.54	0.5	0.59	0.65
22	1	0	0.55	0.54	0.5	0.59	0.65
23	1	0	0.55	0.54	0.5	0.59	0.65
24	1	0	0.55	0.54	0.5	0.59	0.65
25	1	0	0.55	0.54	0.5	0.59	0.65
26	1	0	0.55	0.54	0.5	0.59	0.65
27	1	0	0.55	0.54	0.5	0.59	0.65
28	1	0	0.55	0.54	0.5	0.59	0.65
29	1	0	0.55	0.54	0.5	0.59	0.65
30	1	0	0.55	0.54	0.5	0.59	0.65
31	1	0	0.55	0.54	0.5	0.59	0.65
32	1	0	0.55	0.54	0.5	0.59	0.65
33	1	0	0.55	0.54	0.5	0.59	0.65
34	1	0	0.55	0.54	0.5	0.59	0.65
35	1	0	0.55	0.54	0.5	0.59	0.65
36	1	0	0.55	0.54	0.5	0.59	0.65
37	1	0	0.55	0.54	0.5	0.59	0.65
38	1	0	0.55	0.54	0.5	0.59	0.65
39	1	0	0.55	0.54	0.5	0.59	0.65
40	1	0	0.55	0.54	0.5	0.59	0.65
41	1	0	0.55	0.54	0.5	0.59	0.65
42	1	0	0.55	0.54	0.5	0.59	0.65
43	1	0	0.55	0.54	0.5	0.59	0.65
44	1	0	0.55	0.54	0.5	0.59	0.65
45	1	0	0.55	0.54	0.5	0.59	0.65
46	1	0	0.55	0.54	0.5	0.59	0.65
47	1	0	0.55	0.54	0.5	0.59	0.65
48	1	0	0.55	0.54	0.5	0.59	0.65
49	1	0	0.55	0.54	0.5	0.59	0.65
50	1	0	0.55	0.54	0.5	0.59	0.65
51	1	0	0.55	0.54	0.5	0.59	0.65
52	1	0	0.55	0.54	0.5	0.59	0.65
53	1	0	0.55	0.54	0.5	0.59	0.65
54	1	0	0.55	0.54	0.5	0.59	0.65
55	1	0	0.55	0.54	0.5	0.59	0.65
56	1	0	0.55	0.54	0.5	0.59	0.65
57	1	0	0.55	0.54	0.5	0.59	0.65
58	1	0	0.55	0.54	0.5	0.59	0.65
59	1	0	0.55	0.54	0.5	0.59	0.65
60	1	0	0.55	0.54	0.5	0.59	0.65
61	1	0	0.55	0.54	0.5	0.59	0.65
62	1	0	0.55	0.54	0.5	0.59	0.65
63	1	0	0.55	0.54	0.5	0.59	0.65
64	1	0	0.55	0.54	0.5	0.59	0.65
65	1	0	0.55	0.54	0.5	0.59	0.65
66	1	0	0.55	0.54	0.5	0.59	0.65
67	1	0	0.55	0.54	0.5	0.59	0.65
68	1	0	0.55	0.54	0.5	0.59	0.65
69	1	0	0.55	0.54	0.5	0.59	0.65
70	1	0	0.55	0.54	0.5	0.59	0.65
71	1	0	0.55	0.54	0.5	0.59	0.65
72	1	0	0.55	0.54	0.5	0.59	0.65
73	1	0	0.55	0.54	0.5	0.59	0.65
74	1	0	0.55	0.54	0.5	0.59	0.65
75	1	0	0.55	0.54	0.5	0.59	0.65
76	1	0	0.55	0.54	0.5	0.59	0.65
77	1	0	0.55	0.54	0.5	0.59	0.65
78	1	0	0.55	0.54	0.5	0.59	0.65
79	1	0	0.55	0.54	0.5	0.59	0.65
80	1	0	0.55	0.54	0.5	0.59	0.65
81	1	0	0.55	0.54	0.5	0.59	0.65
82	1	0	0.55	0.54	0.5	0.59	0.65
83	1	0	0.55	0.54	0.5	0.59	0.65
84	1	0	0.55	0.54	0.5	0.59	0.65
85	1	0	0.55	0.54	0.5	0.59	0.65
86	1	0	0.55	0.54	0.5	0.59	0.65
87	1	0	0.55	0.54	0.5	0.59	0.65
88	1	0	0.55	0.54	0.5	0.59	0.65
89	1	0	0.55	0.54	0.5	0.59	0.65
90	1	0	0.55	0.54	0.5	0.59	0.65
91	1	0	0.55	0.54	0.5	0.59	0.65
92	1	0	0.55	0.54	0.5	0.59	0.65
93	1	0	0.55	0.54	0.5	0.59	0.65
94	1	0	0.55	0.54	0.5	0.59	0.65
95	1	0	0.55	0.54	0.5	0.59	0.65
96	1	0	0.55	0.54	0.5	0.59	0.65
97	1	0	0.55	0.54	0.5	0.59	0.65
98	1	0	0.55	0.54	0.5	0.59	0.65
99	1	0	0.55	0.54	0.5	0.59	0.65
100	1	0	0.55	0.54	0.5	0.59	0.65
101	1	0	0.55	0.54	0.5	0.59	0.65
102	1	0	0.55	0.54	0.5	0.59	0.65
103	1	0	0.55	0.54	0.5	0.59	0.65
104	1	0	0.55	0.54	0.5	0.59	0.65
105	1	0	0.55	0.54	0.5	0.59	0.65
106	1	0	0.55	0.54	0.5	0.59	0.65
107	1	0	0.55	0.54	0.5	0.59	0.65
108	1	0	0.55	0.54	0.5	0.59	0.65
109	1	0	0.55	0.54	0.5	0.59	0.65
110	1	0	0.55	0.54	0.5	0.59	0.65
111	1	0	0.55	0.54	0.5	0.59	0.65
112	1	0	0.55	0.54	0.5	0.59	0.65
113	1	0	0.55	0.54	0.5	0.59	0.65
114	1	0	0.55	0.54	0.5	0.59	0.65
115	1	0	0.55	0.54	0.5	0.59	0.65
116	1	0	0.55	0.54	0.5	0.59	0.65
117	1	0	0.55	0.54	0.5	0.59	0.65
118	1	0	0.55	0.54	0.5	0.59	0.65
119	1	0	0.55	0.54	0.5	0.59	0.65
120	1	0	0.55	0.54	0.5	0.59	0.65
121	1	0	0.55	0.54	0.5	0.59	0.65
122	1	0	0.55	0.54	0.5	0.59	0.65
123	1	0	0.55	0.54	0.5	0.59	0.65
124	1	0	0.55	0.54	0.5	0.59	0.65
125	1	0	0.55	0.54	0.5	0.59	0.65
126	1	0	0.55	0.54	0.5	0.59	0.65
127	1	0	0.55	0.54	0.5	0.59	0.65
128	1	0	0.55	0.54	0.5	0.59	0.65
129	1	0	0.55	0.54	0.5	0.59	0.65
130	1	0	0.55	0.54	0.5	0.59	0.65
131	1	0	0.55	0.54	0.5	0.59	0.65
132	1	0	0.55	0.54	0.5	0.59	0.65
133	1	0	0.55	0.54	0.5	0.59	0.65
134	1	0	0.55	0.54	0.5	0.59	0.65
135	1	0	0.55	0.54	0.5	0.59	0.65
