SNV	cluster0	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster	dcf0	dcf1	dcf2	dcf3	dcf4
0	0.00039	0.55	0.00014	0.23	0	0	0	0	0	0	0	0	0	5.6e-05	0	0.00014	0	0	0.0086	0.21	1	0.55	0.54	0.5	0.59	0.65
1	0	0.0009	0.00012	0.11	0	0	0	0	0	0	0	0	0	0.095	0.00052	0.73	0	0	0.057	0.00034	15	0.55	0.44	0.44	0.56	0.56
2	0.21	0.57	0	3.3e-06	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0.00055	0.22	1	0.55	0.54	0.5	0.59	0.65
3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0	0.1	0	0	0
4	0	0	0	0	0	1	0	0	0	9.1e-05	0	0	0	0	0	0	0	0	0	0	5	0	0.06	0.11	0.59	0.58
5	0.29	0.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	1	0.55	0.54	0.5	0.59	0.65
6	1.6e-05	0.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27	1	0.55	0.54	0.5	0.59	0.65
7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0.054	0.051	0.056	0.14	0.078
8	0	0	0	3.8e-06	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0.49	0.36	0.39	0.46	0.51
9	0.99	0.0095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0	0.6	0.54	0.5	0.68	0.69
10	0	2.6e-05	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.9e-06	3	0.49	0.48	0.5	0.59	0.58
11	0.0016	0.13	0	0.021	0	0	0	0	0	0	0	0	0	0.086	0	0.00048	0	0	0.71	0.05	18	0.55	0.44	0.5	0.59	0.65
