k	loglikelihood	observations	parameters	BIC
1	-81283.8	17205	10	162665
2	-28685.9	17205	15	57518
3	-25017.5	17205	20	50230
4	-24238.5	17205	25	48720.8
5	-23499.9	17205	30	47292.4
6	-22674.7	17205	35	45690.8
7	-22523.9	17205	40	45437.9
8	-21176.7	17205	45	42792.3
9	-20400.2	17205	50	41288
10	-20462.3	17205	55	41461.1
11	-19609.8	17205	60	39804.8
12	-18997.5	17205	65	38629
13	-19341	17205	70	39364.6
14	-18495	17205	75	37721.5
15	-19097.4	17205	80	38975.1
16	-18701.6	17205	85	38232.1
17	-17683.8	17205	90	36245.3
18	-18354.7	17205	95	37635.9
19	-18369.7	17205	100	37714.7
20	-17313	17205	105	35650.1
